table,dataset,metric,value
offline,HotpotQA,docs,9811
offline,HotpotQA,openie_calls,19622
offline,HotpotQA,openie_input_tokens,9642510
offline,HotpotQA,openie_output_tokens,3525548
offline,HotpotQA,openie_total_tokens,13168058
offline,HotpotQA,source,run_logs/etv4_clean_mainline_qwen32b_nothink_full1000_20260512/hotpotqa/index/llm_cache/qwen3-32b-judge_cache.sqlite
offline,2WikiMultiHopQA,docs,6119
offline,2WikiMultiHopQA,openie_calls,12238
offline,2WikiMultiHopQA,openie_input_tokens,5752089
offline,2WikiMultiHopQA,openie_output_tokens,1993370
offline,2WikiMultiHopQA,openie_total_tokens,7745459
offline,2WikiMultiHopQA,source,run_logs/etv4_clean_mainline_qwen32b_nothink_full1000_20260512/2wikimultihopqa/index/llm_cache/qwen3-32b-judge_cache.sqlite
offline,MuSiQue,docs,11656
offline,MuSiQue,openie_calls,23312
offline,MuSiQue,openie_input_tokens,10949323
offline,MuSiQue,openie_output_tokens,3673819
offline,MuSiQue,openie_total_tokens,14623142
offline,MuSiQue,source,run_logs/etv4_clean_mainline_qwen32b_nothink_full1000_20260512/musique/index/llm_cache/qwen3-32b-judge_cache.sqlite
online,HotpotQA,queries,1000
online,HotpotQA,requirement_input_tokens_est,220722
online,HotpotQA,requirement_output_tokens_est,103257
online,HotpotQA,requirement_total_tokens_est,323979
online,HotpotQA,binding_calls,5610
online,HotpotQA,binding_input_tokens,1048552
online,HotpotQA,binding_output_tokens,30276
online,HotpotQA,binding_total_tokens,1078828
online,HotpotQA,aux_total_tokens_est,1402807
online,HotpotQA,binding_latency_s,627.0535
online,HotpotQA,source,run_logs/all32_etv3_etv4_pcec_gpt4omini_none_full1000_20260514/dbec_assets/etv4/evals/hotpotqa_etv4_pool100_dbec_qwen32b_stable_limit1000.json
online,2WikiMultiHopQA,queries,1000
online,2WikiMultiHopQA,requirement_input_tokens_est,216874
online,2WikiMultiHopQA,requirement_output_tokens_est,118876
online,2WikiMultiHopQA,requirement_total_tokens_est,335750
online,2WikiMultiHopQA,binding_calls,7038
online,2WikiMultiHopQA,binding_input_tokens,1093046
online,2WikiMultiHopQA,binding_output_tokens,27135
online,2WikiMultiHopQA,binding_total_tokens,1120181
online,2WikiMultiHopQA,aux_total_tokens_est,1455931
online,2WikiMultiHopQA,binding_latency_s,722.0414
online,2WikiMultiHopQA,source,run_logs/all32_etv3_etv4_pcec_gpt4omini_none_full1000_20260514/dbec_assets/etv4/evals/2wikimultihopqa_etv4_pool100_dbec_qwen32b_stable_limit1000.json
online,MuSiQue,queries,1000
online,MuSiQue,requirement_input_tokens_est,221284
online,MuSiQue,requirement_output_tokens_est,110778
online,MuSiQue,requirement_total_tokens_est,332062
online,MuSiQue,binding_calls,6817
online,MuSiQue,binding_input_tokens,1315265
online,MuSiQue,binding_output_tokens,35145
online,MuSiQue,binding_total_tokens,1350410
online,MuSiQue,aux_total_tokens_est,1682472
online,MuSiQue,binding_latency_s,721.9599
online,MuSiQue,source,run_logs/all32_etv3_etv4_pcec_gpt4omini_none_full1000_20260514/dbec_assets/etv4/evals/musique_etv4_pool100_dbec_qwen32b_stable_limit1000.json
