method,dataset,query_index,chain_broken,title_recall_at5,ExactMatch,F1
ETv3+PCEC_all32,2wikimultihopqa,0,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,1,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,2,0,1.0,0.0,0.5455
ETv3+PCEC_all32,2wikimultihopqa,3,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,4,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,5,1,0.75,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,6,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,7,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,8,1,0.75,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,9,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,10,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,11,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,12,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,13,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,14,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,15,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,16,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,17,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,18,1,0.75,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,19,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,20,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,21,0,1.0,0.0,0.6667
ETv3+PCEC_all32,2wikimultihopqa,22,0,1.0,0.0,0.6667
ETv3+PCEC_all32,2wikimultihopqa,23,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,24,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,25,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,26,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,27,0,1.0,0.0,0.6667
ETv3+PCEC_all32,2wikimultihopqa,28,0,1.0,0.0,0.5
ETv3+PCEC_all32,2wikimultihopqa,29,0,1.0,0.0,0.6667
ETv3+PCEC_all32,2wikimultihopqa,30,1,0.75,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,31,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,32,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,33,0,1.0,0.0,0.5
ETv3+PCEC_all32,2wikimultihopqa,34,0,1.0,0.0,0.2857
ETv3+PCEC_all32,2wikimultihopqa,35,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,36,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,37,1,0.75,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,38,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,39,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,40,1,0.75,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,41,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,42,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,43,1,0.75,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,44,0,1.0,0.0,0.2857
ETv3+PCEC_all32,2wikimultihopqa,45,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,46,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,47,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,48,0,1.0,0.0,0.4
ETv3+PCEC_all32,2wikimultihopqa,49,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,50,0,1.0,0.0,0.0
