method,dataset,protocol,count,chain_broken_at5,all_gold_at5,any_gold_at5,title_recall_at5,mean_gold_count,ExactMatch,F1,per_query_corr_chain_broken_vs_F1,per_query_corr_chain_broken_vs_EM,mean_F1_when_chain_intact,mean_F1_when_chain_broken,mean_EM_when_chain_intact,mean_EM_when_chain_broken,retrieval_path,reader_path
ETV4+PCEC_all32,2wikimultihopqa,Qwen32B ETV4 graph/OpenIE + Qwen32B PCEC requirement/binding + GPT-4o-mini reader,1000,0.105,0.895,1.0,0.96225,2.47,0.659,0.7468,-0.12107896591860734,-0.07015540984920003,0.7632887150837983,0.6062438095238094,0.6703910614525139,0.5619047619047619,run_logs/all32_etv3_etv4_pcec_gpt4omini_none_full1000_20260514/pcec/etv4/evals/2wikimultihopqa_pcec_native_pool_prefix4_residual1_pool100_limit1000.json,run_logs/all32_etv3_etv4_pcec_gpt4omini_none_full1000_20260514/reader_qa/etv4/reports/2wikimultihopqa_etv4_all32_pcec_gpt4omini_none_reader_qa_full1000.json
ETV4+PCEC_old8b_utility,2wikimultihopqa,qwen32b_etv4_graph + frozen/old PCEC utility + GPT-4o-mini reader,1000,0.095,0.905,1.0,0.96375,2.47,0.661,0.7472,-0.16079723728106496,-0.10659290502736116,0.767981104972375,0.5493568421052631,0.6773480662983425,0.5052631578947369,run_logs/etv4_pcec_qwen32b_gpt4omini_none_full1000_20260514/evals/2wikimultihopqa_pcec_native_pool_prefix4_residual1_pool100_limit1000.json,run_logs/etv4_pcec_qwen32b_gpt4omini_none_full1000_20260514/reader_qa/reports/2wikimultihopqa_etv4_pcec_gpt4omini_none_reader_qa_full1000.json
ETv3+PCEC_all32,2wikimultihopqa,Qwen32B graph/OpenIE + Qwen32B PCEC requirement/binding + GPT-4o-mini reader,1000,0.158,0.842,1.0,0.949,2.47,0.652,0.7379,-0.06280139480249503,0.005663658896765113,0.748877197149643,0.6792544303797469,0.6508313539192399,0.6582278481012658,run_logs/all32_etv3_etv4_pcec_gpt4omini_none_full1000_20260514/pcec/etv3/evals/2wikimultihopqa_pcec_fresh_e2e_prefix4_residual1_pool100_limit1000.json,run_logs/all32_etv3_etv4_pcec_gpt4omini_none_full1000_20260514/reader_qa/etv3/reports/2wikimultihopqa_etv3_all32_pcec_gpt4omini_none_reader_qa_full1000.json
ETv3+PCEC_no_fact_witness_old8b_utility,2wikimultihopqa,diagnostic old 8B PCEC utility + GPT-4o-mini reader,1000,0.197,0.8029999999999999,1.0,0.92775,2.47,0.64,0.7232,-0.15629989759117427,-0.08946553086331538,0.7551887920298872,0.5927883248730964,0.6612702366127023,0.5532994923857868,run_logs/pcec_no_fact_witness_qwen32b_gpt4omini_none_full1000_20260514/evals/2wikimultihopqa_pcec_fresh_e2e_prefix4_residual1_pool100_limit1000.json,run_logs/pcec_no_fact_witness_qwen32b_gpt4omini_none_full1000_20260514/reader_qa/reports/2wikimultihopqa_pcec_no_fact_witness_gpt4omini_none_reader_qa_full1000.json
ETv3+PCEC_old8b_utility,2wikimultihopqa,qwen32b_graph + frozen/old PCEC utility + GPT-4o-mini reader,1000,0.132,0.868,1.0,0.95475,2.47,0.659,0.7445,-0.09689887533804357,-0.0373177169824892,0.7596078341013818,0.6448651515151516,0.6658986175115207,0.6136363636363636,run_logs/pcec_qwen32b_graph_e2e_full1000_20260511/retrieval_reports_reader_docids/2wikimultihopqa_pcec_fresh_e2e_prefix4_residual1_pool100_limit1000.json,run_logs/evidenceflow_pcec_qwen32b_gpt4omini_none_full1000_20260514/reports/2wikimultihopqa_evidenceflow_qwen32b_gpt4omini_none_reader_qa_full1000.json
HippoRAG_valid_qwen32b_top200,2wikimultihopqa,HippoRAG valid qwen32b graph + NV-Embed-v2 + GPT-4o-mini reader top5,1000,0.4,0.6,0.999,0.8275,2.47,0.567,0.6343,-0.3512681544439058,-0.2751917208482622,0.7646824999999998,0.4386825,0.6783333333333333,0.4,run_logs/hipporag_qwen32b_valid_graph_top200_full1000_20260513_r2/pools/hipporag/2wikimultihopqa_hipporag_qwen32b_valid_graph_pool200.json,run_logs/hipporag_qwen32b_valid_graph_top200_full1000_20260513_r2/reader_qa/hipporag/2wikimultihopqa_hipporag_qwen32b_valid_graph_top200_gpt4omini_reader_top5.json
NeocorRAG_k3_old,2wikimultihopqa,completed 2026-05-01 NeocorRAG k=3 report,1000,0.498,0.502,0.967,0.74825,2.47,0.456,0.5127,,,,,,,run_logs/neocorrag_aligned_k3_full1000_20260430/2wikimultihopqa_neocorrag_k3.json,
PCEC_position_slot1_old8b,2wikimultihopqa,"position-sensitivity diagnostic, 8B reader/utility",1000,0.145,0.855,1.0,0.95,2.47,0.615,0.696,-0.19494640123937534,-0.1294281213345657,0.7303456140350872,0.4936779310344828,0.6409356725146199,0.46206896551724136,reports/pcec_m4_position_sensitivity_8b_20260511/retrieval_reports/slot1/2wikimultihopqa_pcec_m4_admitted_slot1_pool100_limit1000.json,reports/pcec_m4_position_sensitivity_8b_20260511/reader_qa/reports/2wikimultihopqa_pcec_m4_admitted_slot1_reader_qa_8b_full1000.json
PCEC_position_slot2_old8b,2wikimultihopqa,"position-sensitivity diagnostic, 8B reader/utility",1000,0.145,0.855,1.0,0.95,2.47,0.629,0.7055,-0.22801088362302216,-0.1540652979003604,0.745404444444444,0.47041034482758626,0.6596491228070176,0.4482758620689655,reports/pcec_m4_position_sensitivity_8b_20260511/retrieval_reports/slot2/2wikimultihopqa_pcec_m4_admitted_slot2_pool100_limit1000.json,reports/pcec_m4_position_sensitivity_8b_20260511/reader_qa/reports/2wikimultihopqa_pcec_m4_admitted_slot2_reader_qa_8b_full1000.json
PCEC_position_slot3_old8b,2wikimultihopqa,"position-sensitivity diagnostic, 8B reader/utility",1000,0.145,0.855,1.0,0.95,2.47,0.635,0.7091,-0.21804620225743848,-0.14792466292860515,0.7470864327485374,0.48479448275862075,0.664327485380117,0.46206896551724136,reports/pcec_m4_position_sensitivity_8b_20260511/retrieval_reports/slot3/2wikimultihopqa_pcec_m4_admitted_slot3_pool100_limit1000.json,reports/pcec_m4_position_sensitivity_8b_20260511/reader_qa/reports/2wikimultihopqa_pcec_m4_admitted_slot3_reader_qa_8b_full1000.json
PCEC_position_slot4_old8b,2wikimultihopqa,"position-sensitivity diagnostic, 8B reader/utility",1000,0.145,0.855,1.0,0.95,2.47,0.629,0.7062,-0.23282992856023516,-0.1599445307910435,0.7468116959064324,0.4669620689655173,0.6608187134502924,0.4413793103448276,reports/pcec_m4_position_sensitivity_8b_20260511/retrieval_reports/slot4/2wikimultihopqa_pcec_m4_admitted_slot4_pool100_limit1000.json,reports/pcec_m4_position_sensitivity_8b_20260511/reader_qa/reports/2wikimultihopqa_pcec_m4_admitted_slot4_reader_qa_8b_full1000.json
PropRAG_qwen32b_top200,2wikimultihopqa,PropRAG qwen32b_nothink graph + NV-Embed-v2 + GPT-4o-mini reader top5,1000,0.22,0.78,0.998,0.909,2.47,0.611,0.6909,-0.30871737224659,-0.22985348274698694,0.7615282051282045,0.4406977272727272,0.6705128205128205,0.4,run_logs/baseline_qwen32b_graph_top200_gpt4omini_full_20260512/pools/proprag/2wikimultihopqa_proprag_qwen32b_nothink_pool200.json,run_logs/baseline_qwen32b_graph_top200_gpt4omini_full_20260512/reader_qa/proprag/2wikimultihopqa_proprag_qwen32b_nothink_top200_gpt4omini_reader_top5.json
