policy,bucket,missing_gold_titles,baseline_hit_at_3,baseline_hit_at_5,baseline_hit_at_10,baseline_hit_at_20,probe_hit_at_3,probe_hit_at_5,probe_hit_at_10,probe_hit_at_20,new_hit_at_3,new_hit_at_5,new_hit_at_10,new_hit_at_20,mean_source_rank,mean_probe_rank,mean_rank_improvement,positive_score_titles,probe_recall_at_3,new_recall_at_3,probe_recall_at_5,new_recall_at_5,probe_recall_at_10,new_recall_at_10,probe_recall_at_20,new_recall_at_20,positive_score_rate
current_all,overall,96,0,1,16,33,2,9,19,37,2,9,16,17,36.020833333333336,30.385416666666668,5.635416666666667,66,0.020833333333333332,0.020833333333333332,0.09375,0.09375,0.19791666666666666,0.16666666666666666,0.3854166666666667,0.17708333333333334,0.6875
current_all,source_rank_51_99,29,0,0,0,0,1,1,3,5,1,1,3,5,73.55172413793103,47.275862068965516,26.275862068965516,20,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.10344827586206896,0.10344827586206896,0.1724137931034483,0.1724137931034483,0.6896551724137931
current_all,source_rank_0_20,35,0,1,16,33,1,6,11,21,1,6,8,1,10.942857142857143,18.685714285714287,-7.742857142857143,26,0.02857142857142857,0.02857142857142857,0.17142857142857143,0.17142857142857143,0.3142857142857143,0.22857142857142856,0.6,0.02857142857142857,0.7428571428571429
current_all,source_rank_21_50,32,0,0,0,0,0,2,5,11,0,2,5,11,29.4375,27.875,1.5625,20,0.0,0.0,0.0625,0.0625,0.15625,0.15625,0.34375,0.34375,0.625
title_strict,overall,96,0,1,16,33,2,7,17,33,2,6,8,3,36.020833333333336,35.572916666666664,0.4479166666666667,9,0.020833333333333332,0.020833333333333332,0.07291666666666667,0.0625,0.17708333333333334,0.08333333333333333,0.34375,0.03125,0.09375
title_strict,source_rank_51_99,29,0,0,0,0,1,1,2,2,1,1,2,2,73.55172413793103,69.65517241379311,3.896551724137931,2,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.06896551724137931,0.06896551724137931,0.06896551724137931,0.06896551724137931,0.06896551724137931
title_strict,source_rank_0_20,35,0,1,16,33,1,6,15,31,1,5,6,1,10.942857142857143,11.2,-0.2571428571428571,7,0.02857142857142857,0.02857142857142857,0.17142857142857143,0.14285714285714285,0.42857142857142855,0.17142857142857143,0.8857142857142857,0.02857142857142857,0.2
title_strict,source_rank_21_50,32,0,0,0,0,0,0,0,0,0,0,0,0,29.4375,31.34375,-1.90625,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
title_only,overall,96,0,1,16,33,4,9,18,34,4,9,16,10,36.020833333333336,34.385416666666664,1.6354166666666667,22,0.041666666666666664,0.041666666666666664,0.09375,0.09375,0.1875,0.16666666666666666,0.3541666666666667,0.10416666666666667,0.22916666666666666
title_only,source_rank_51_99,29,0,0,0,0,1,1,2,2,1,1,2,2,73.55172413793103,66.72413793103448,6.827586206896552,4,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.06896551724137931,0.06896551724137931,0.06896551724137931,0.06896551724137931,0.13793103448275862
title_only,source_rank_0_20,35,0,1,16,33,1,6,9,25,1,6,7,1,10.942857142857143,14.428571428571429,-3.4857142857142858,9,0.02857142857142857,0.02857142857142857,0.17142857142857143,0.17142857142857143,0.2571428571428571,0.2,0.7142857142857143,0.02857142857142857,0.2571428571428571
title_only,source_rank_21_50,32,0,0,0,0,2,2,7,7,2,2,7,7,29.4375,26.90625,2.53125,9,0.0625,0.0625,0.0625,0.0625,0.21875,0.21875,0.21875,0.21875,0.28125
demand_entity_title,overall,96,0,1,16,33,5,8,17,32,5,8,15,10,36.020833333333336,34.927083333333336,1.09375,22,0.052083333333333336,0.052083333333333336,0.08333333333333333,0.08333333333333333,0.17708333333333334,0.15625,0.3333333333333333,0.10416666666666667,0.22916666666666666
demand_entity_title,source_rank_51_99,29,0,0,0,0,0,0,2,2,0,0,2,2,73.55172413793103,66.93103448275862,6.620689655172414,4,0.0,0.0,0.0,0.0,0.06896551724137931,0.06896551724137931,0.06896551724137931,0.06896551724137931,0.13793103448275862
demand_entity_title,source_rank_0_20,35,0,1,16,33,3,6,8,23,3,6,6,1,10.942857142857143,15.714285714285714,-4.771428571428571,9,0.08571428571428572,0.08571428571428572,0.17142857142857143,0.17142857142857143,0.22857142857142856,0.17142857142857143,0.6571428571428571,0.02857142857142857,0.2571428571428571
demand_entity_title,source_rank_21_50,32,0,0,0,0,2,2,7,7,2,2,7,7,29.4375,26.9375,2.5,9,0.0625,0.0625,0.0625,0.0625,0.21875,0.21875,0.21875,0.21875,0.28125
