policy,bucket,missing_gold_titles,baseline_hit_at_3,baseline_hit_at_5,baseline_hit_at_10,baseline_hit_at_20,probe_hit_at_3,probe_hit_at_5,probe_hit_at_10,probe_hit_at_20,new_hit_at_3,new_hit_at_5,new_hit_at_10,new_hit_at_20,mean_source_rank,mean_probe_rank,mean_rank_improvement,positive_score_titles,probe_recall_at_3,new_recall_at_3,probe_recall_at_5,new_recall_at_5,probe_recall_at_10,new_recall_at_10,probe_recall_at_20,new_recall_at_20,positive_score_rate
current_all,overall,86,0,1,16,32,2,9,19,37,2,9,16,17,34.395348837209305,28.511627906976745,5.883720930232558,61,0.023255813953488372,0.023255813953488372,0.10465116279069768,0.10465116279069768,0.22093023255813954,0.18604651162790697,0.43023255813953487,0.19767441860465115,0.7093023255813954
current_all,source_rank_0_20,34,0,1,16,32,1,6,11,21,1,6,8,1,10.764705882352942,18.647058823529413,-7.882352941176471,25,0.029411764705882353,0.029411764705882353,0.17647058823529413,0.17647058823529413,0.3235294117647059,0.23529411764705882,0.6176470588235294,0.029411764705882353,0.7352941176470589
current_all,source_rank_51_99,24,0,0,0,0,1,1,3,5,1,1,3,5,73.83333333333333,46.208333333333336,27.625,17,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.125,0.125,0.20833333333333334,0.20833333333333334,0.7083333333333334
current_all,source_rank_21_50,28,0,0,0,0,0,2,5,11,0,2,5,11,29.285714285714285,25.321428571428573,3.9642857142857144,19,0.0,0.0,0.07142857142857142,0.07142857142857142,0.17857142857142858,0.17857142857142858,0.39285714285714285,0.39285714285714285,0.6785714285714286
title_strict,overall,86,0,1,16,32,2,7,17,32,2,6,8,3,34.395348837209305,33.83720930232558,0.5581395348837209,9,0.023255813953488372,0.023255813953488372,0.08139534883720931,0.06976744186046512,0.19767441860465115,0.09302325581395349,0.37209302325581395,0.03488372093023256,0.10465116279069768
title_strict,source_rank_0_20,34,0,1,16,32,1,6,15,30,1,5,6,1,10.764705882352942,11.029411764705882,-0.2647058823529412,7,0.029411764705882353,0.029411764705882353,0.17647058823529413,0.14705882352941177,0.4411764705882353,0.17647058823529413,0.8823529411764706,0.029411764705882353,0.20588235294117646
title_strict,source_rank_51_99,24,0,0,0,0,1,1,2,2,1,1,2,2,73.83333333333333,69.08333333333333,4.75,2,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
title_strict,source_rank_21_50,28,0,0,0,0,0,0,0,0,0,0,0,0,29.285714285714285,31.321428571428573,-2.0357142857142856,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
title_only,overall,86,0,1,16,32,4,9,18,34,4,9,16,10,34.395348837209305,32.348837209302324,2.046511627906977,22,0.046511627906976744,0.046511627906976744,0.10465116279069768,0.10465116279069768,0.20930232558139536,0.18604651162790697,0.3953488372093023,0.11627906976744186,0.2558139534883721
title_only,source_rank_0_20,34,0,1,16,32,1,6,9,25,1,6,7,1,10.764705882352942,14.147058823529411,-3.3823529411764706,9,0.029411764705882353,0.029411764705882353,0.17647058823529413,0.17647058823529413,0.2647058823529412,0.20588235294117646,0.7352941176470589,0.029411764705882353,0.2647058823529412
title_only,source_rank_51_99,24,0,0,0,0,1,1,2,2,1,1,2,2,73.83333333333333,65.41666666666667,8.416666666666666,4,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666
title_only,source_rank_21_50,28,0,0,0,0,2,2,7,7,2,2,7,7,29.285714285714285,26.107142857142858,3.1785714285714284,9,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.25,0.25,0.25,0.25,0.32142857142857145
demand_entity_title,overall,86,0,1,16,32,5,8,17,32,5,8,15,10,34.395348837209305,32.95348837209303,1.441860465116279,22,0.05813953488372093,0.05813953488372093,0.09302325581395349,0.09302325581395349,0.19767441860465115,0.1744186046511628,0.37209302325581395,0.11627906976744186,0.2558139534883721
demand_entity_title,source_rank_0_20,34,0,1,16,32,3,6,8,23,3,6,6,1,10.764705882352942,15.470588235294118,-4.705882352941177,9,0.08823529411764706,0.08823529411764706,0.17647058823529413,0.17647058823529413,0.23529411764705882,0.17647058823529413,0.6764705882352942,0.029411764705882353,0.2647058823529412
demand_entity_title,source_rank_51_99,24,0,0,0,0,0,0,2,2,0,0,2,2,73.83333333333333,65.66666666666667,8.166666666666666,4,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666
demand_entity_title,source_rank_21_50,28,0,0,0,0,2,2,7,7,2,2,7,7,29.285714285714285,26.142857142857142,3.142857142857143,9,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.25,0.25,0.25,0.25,0.32142857142857145
