dataset,method,n,em,f1,support_recall,support_complete,selected_count,empty_answer_rate
2Wiki,SetR-faithful,122,0.6229508196721312,0.6329690346083788,0.6270491803278688,0.0,2.5737704918032787,
2Wiki,DBEC-selective,122,0.9180327868852459,0.918039344262295,0.9241803278688525,0.7049180327868853,5.0,
2Wiki,rank_fill5,122,0.8360655737704918,0.8387978142076503,0.8770491803278688,0.5491803278688525,5.0,0.0
2Wiki,oracle_fill5,122,0.9508196721311475,0.9508196721311475,0.9795081967213115,0.9180327868852459,5.0,0.0
2Wiki,dbec_repair_fill5,122,0.9098360655737705,0.9098360655737705,0.9344262295081968,0.7459016393442623,5.0,0.0
MuSiQue,SetR-faithful,106,0.16981132075471697,0.2274172368511991,0.4481132075471698,0.0,2.358490566037736,
MuSiQue,DBEC-selective,106,0.25471698113207547,0.3093320754716981,0.6179245283018868,0.19811320754716982,5.0,
MuSiQue,rank_fill5,106,0.2830188679245283,0.33915251415251413,0.6367924528301887,0.20754716981132076,5.0,0.0
MuSiQue,oracle_fill5,106,0.4716981132075472,0.5405006942742792,0.9174528301886793,0.7358490566037735,5.0,0.0
MuSiQue,dbec_repair_fill5,106,0.22641509433962265,0.28685119911535006,0.6124213836477987,0.1509433962264151,5.0,0.0
