dataset,comparison,metric,left_mean,right_mean,n,delta_mean,ci_low,ci_high,p_delta_gt_0,ci_excludes_zero
2Wiki,rank_fill5 - SetR-faithful,em,0.8360655737704918,0.6229508196721312,122,0.21311475409836064,0.12295081967213115,0.30327868852459017,1.0,True
2Wiki,rank_fill5 - SetR-faithful,f1,0.8387978142076503,0.6329690346083788,122,0.2058287795992714,0.11928506375227689,0.2959927140255009,1.0,True
2Wiki,rank_fill5 - SetR-faithful,support_recall,0.8770491803278688,0.6270491803278688,122,0.25,0.21721311475409835,0.2827868852459016,1.0,True
2Wiki,rank_fill5 - SetR-faithful,support_complete,0.5491803278688525,0.0,122,0.5491803278688525,0.45901639344262296,0.639344262295082,1.0,True
2Wiki,oracle_fill5 - SetR-faithful,em,0.9508196721311475,0.6229508196721312,122,0.32786885245901637,0.23770491803278687,0.4180327868852459,1.0,True
2Wiki,oracle_fill5 - SetR-faithful,f1,0.9508196721311475,0.6329690346083788,122,0.31785063752276865,0.23041894353369763,0.4080145719489982,1.0,True
2Wiki,oracle_fill5 - SetR-faithful,support_recall,0.9795081967213115,0.6270491803278688,122,0.3524590163934426,0.32581967213114754,0.3790983606557377,1.0,True
2Wiki,oracle_fill5 - SetR-faithful,support_complete,0.9180327868852459,0.0,122,0.9180327868852459,0.8688524590163934,0.9672131147540983,1.0,True
2Wiki,dbec_repair_fill5 - SetR-faithful,em,0.9098360655737705,0.6229508196721312,122,0.28688524590163933,0.20491803278688525,0.3770491803278688,1.0,True
2Wiki,dbec_repair_fill5 - SetR-faithful,f1,0.9098360655737705,0.6329690346083788,122,0.2768670309653916,0.1939890710382514,0.36247723132969034,1.0,True
2Wiki,dbec_repair_fill5 - SetR-faithful,support_recall,0.9344262295081968,0.6270491803278688,122,0.3073770491803279,0.2807377049180328,0.33401639344262296,1.0,True
2Wiki,dbec_repair_fill5 - SetR-faithful,support_complete,0.7459016393442623,0.0,122,0.7459016393442623,0.6721311475409836,0.819672131147541,1.0,True
2Wiki,DBEC-selective - SetR-faithful,em,0.9180327868852459,0.6229508196721312,122,0.29508196721311475,0.21311475409836064,0.3772540983606527,1.0,True
2Wiki,DBEC-selective - SetR-faithful,f1,0.918039344262295,0.6329690346083788,122,0.2850703096539163,0.1994314389799636,0.36977632058287796,1.0,True
2Wiki,DBEC-selective - SetR-faithful,support_recall,0.9241803278688525,0.6270491803278688,122,0.29713114754098363,0.27049180327868855,0.3237704918032787,1.0,True
2Wiki,DBEC-selective - SetR-faithful,support_complete,0.7049180327868853,0.0,122,0.7049180327868853,0.6229508196721312,0.7868852459016393,1.0,True
2Wiki,oracle_fill5 - rank_fill5,em,0.9508196721311475,0.8360655737704918,122,0.11475409836065574,0.05737704918032787,0.18032786885245902,1.0,True
2Wiki,oracle_fill5 - rank_fill5,f1,0.9508196721311475,0.8387978142076503,122,0.11202185792349728,0.05737704918032787,0.1721311475409836,1.0,True
2Wiki,oracle_fill5 - rank_fill5,support_recall,0.9795081967213115,0.8770491803278688,122,0.10245901639344263,0.0778688524590164,0.12704918032786885,1.0,True
2Wiki,oracle_fill5 - rank_fill5,support_complete,0.9180327868852459,0.5491803278688525,122,0.36885245901639346,0.28688524590163933,0.45901639344262296,1.0,True
2Wiki,dbec_repair_fill5 - rank_fill5,em,0.9098360655737705,0.8360655737704918,122,0.07377049180327869,0.00819672131147541,0.13934426229508196,0.986,True
2Wiki,dbec_repair_fill5 - rank_fill5,f1,0.9098360655737705,0.8387978142076503,122,0.07103825136612023,0.00819672131147541,0.1366120218579235,0.9839,True
2Wiki,dbec_repair_fill5 - rank_fill5,support_recall,0.9344262295081968,0.8770491803278688,122,0.05737704918032787,0.028688524590163935,0.0860655737704918,1.0,True
2Wiki,dbec_repair_fill5 - rank_fill5,support_complete,0.7459016393442623,0.5491803278688525,122,0.19672131147540983,0.09836065573770492,0.29508196721311475,1.0,True
2Wiki,oracle_fill5 - DBEC-selective,em,0.9508196721311475,0.9180327868852459,122,0.03278688524590164,-0.00819672131147541,0.08196721311475409,0.8966,False
2Wiki,oracle_fill5 - DBEC-selective,f1,0.9508196721311475,0.918039344262295,122,0.03278032786885246,-0.00820327868852459,0.08194754098360656,0.8976,False
2Wiki,oracle_fill5 - DBEC-selective,support_recall,0.9795081967213115,0.9241803278688525,122,0.055327868852459015,0.036885245901639344,0.07581967213114754,1.0,True
2Wiki,oracle_fill5 - DBEC-selective,support_complete,0.9180327868852459,0.7049180327868853,122,0.21311475409836064,0.14754098360655737,0.28688524590163933,1.0,True
2Wiki,dbec_repair_fill5 - DBEC-selective,em,0.9098360655737705,0.9180327868852459,122,-0.00819672131147541,-0.05737704918032787,0.040983606557377046,0.3109,False
2Wiki,dbec_repair_fill5 - DBEC-selective,f1,0.9098360655737705,0.918039344262295,122,-0.00820327868852459,-0.05738360655737705,0.04097704918032787,0.31,False
2Wiki,dbec_repair_fill5 - DBEC-selective,support_recall,0.9344262295081968,0.9241803278688525,122,0.010245901639344262,0.0020491803278688526,0.020491803278688523,0.9954,True
2Wiki,dbec_repair_fill5 - DBEC-selective,support_complete,0.7459016393442623,0.7049180327868853,122,0.040983606557377046,0.00819672131147541,0.08196721311475409,0.9934,True
MuSiQue,rank_fill5 - SetR-faithful,em,0.2830188679245283,0.16981132075471697,106,0.11320754716981132,0.04716981132075472,0.17948113207546826,0.9996,True
MuSiQue,rank_fill5 - SetR-faithful,f1,0.33915251415251413,0.2274172368511991,106,0.11173527730131504,0.044607248097814134,0.18508719268153226,0.9994,True
MuSiQue,rank_fill5 - SetR-faithful,support_recall,0.6367924528301887,0.4481132075471698,106,0.18867924528301888,0.15015723270440254,0.22798742138364783,1.0,True
MuSiQue,rank_fill5 - SetR-faithful,support_complete,0.20754716981132076,0.0,106,0.20754716981132076,0.1320754716981132,0.2830188679245283,1.0,True
MuSiQue,oracle_fill5 - SetR-faithful,em,0.4716981132075472,0.16981132075471697,106,0.3018867924528302,0.2169811320754717,0.39622641509433965,1.0,True
MuSiQue,oracle_fill5 - SetR-faithful,f1,0.5405006942742792,0.2274172368511991,106,0.3130834574230801,0.2321839010046557,0.39620344278363145,1.0,True
MuSiQue,oracle_fill5 - SetR-faithful,support_recall,0.9174528301886793,0.4481132075471698,106,0.4693396226415095,0.434748427672956,0.5031446540880503,1.0,True
MuSiQue,oracle_fill5 - SetR-faithful,support_complete,0.7358490566037735,0.0,106,0.7358490566037735,0.6509433962264151,0.8207547169811321,1.0,True
MuSiQue,dbec_repair_fill5 - SetR-faithful,em,0.22641509433962265,0.16981132075471697,106,0.05660377358490566,-0.018867924528301886,0.1320754716981132,0.9215,False
MuSiQue,dbec_repair_fill5 - SetR-faithful,f1,0.28685119911535006,0.2274172368511991,106,0.059433962264150944,-0.007353652636671508,0.13050435413642958,0.9583,False
MuSiQue,dbec_repair_fill5 - SetR-faithful,support_recall,0.6124213836477987,0.4481132075471698,106,0.16430817610062892,0.1281446540880503,0.20204402515723272,1.0,True
MuSiQue,dbec_repair_fill5 - SetR-faithful,support_complete,0.1509433962264151,0.0,106,0.1509433962264151,0.08490566037735849,0.22641509433962265,1.0,True
MuSiQue,DBEC-selective - SetR-faithful,em,0.25471698113207547,0.16981132075471697,106,0.08490566037735849,0.009433962264150943,0.16037735849056603,0.981,True
MuSiQue,DBEC-selective - SetR-faithful,f1,0.3093320754716981,0.2274172368511991,106,0.08191483862049899,0.003922834681042234,0.1641508131176999,0.9802,True
MuSiQue,DBEC-selective - SetR-faithful,support_recall,0.6179245283018868,0.4481132075471698,106,0.16981132075471697,0.12185534591194971,0.21855345911949686,1.0,True
MuSiQue,DBEC-selective - SetR-faithful,support_complete,0.19811320754716982,0.0,106,0.19811320754716982,0.12264150943396226,0.27358490566037735,1.0,True
MuSiQue,oracle_fill5 - rank_fill5,em,0.4716981132075472,0.2830188679245283,106,0.18867924528301888,0.11320754716981132,0.27358490566037735,1.0,True
MuSiQue,oracle_fill5 - rank_fill5,f1,0.5405006942742792,0.33915251415251413,106,0.201348180121765,0.12598145172437628,0.28186642367066894,1.0,True
