pool,dataset,slice,method,n,EM,F1,R5_TITLE
PropRAG,2Wiki,all,Top-5,1000,0.575,0.6457426,0.90275
PropRAG,2Wiki,all,DBEC,1000,0.642,0.7118277000000001,0.941
PropRAG,2Wiki,all,DBEC-IG,1000,0.642,0.7118277000000001,0.941
PropRAG,2Wiki,all,DBEC-nobinding,1000,0.548,0.6119903,0.8625
PropRAG,2Wiki,all,SetR-style k20,1000,0.624,0.6936320929070929,0.9425
PropRAG,2Wiki,all,SetR-faithful,1000,0.603,0.6746146325896326,0.884
PropRAG,2Wiki,all,RankGPT-style sliding,1000,0.602,0.6658764652014652,0.91175
PropRAG,2Wiki,support_depth=2,Top-5,765,0.5019607843137255,0.5944347712418301,0.9052287581699346
PropRAG,2Wiki,support_depth=2,DBEC,765,0.5581699346405229,0.6494469281045752,0.9444444444444444
PropRAG,2Wiki,support_depth=2,DBEC-IG,765,0.5581699346405229,0.6494469281045752,0.9444444444444444
PropRAG,2Wiki,support_depth=2,DBEC-nobinding,765,0.47581699346405226,0.5594644444444445,0.8679738562091504
PropRAG,2Wiki,support_depth=2,SetR-style k20,765,0.5490196078431373,0.6396062216650452,0.949673202614379
PropRAG,2Wiki,support_depth=2,SetR-faithful,765,0.5529411764705883,0.6449573991730855,0.9150326797385621
PropRAG,2Wiki,support_depth=2,RankGPT-style sliding,765,0.5241830065359477,0.6072459240106299,0.9137254901960784
PropRAG,2Wiki,support_depth>=3,Top-5,235,0.8127659574468085,0.8127659574468085,0.8946808510638298
PropRAG,2Wiki,support_depth>=3,DBEC,235,0.9148936170212766,0.9148970212765958,0.9297872340425531
PropRAG,2Wiki,support_depth>=3,DBEC-IG,235,0.9148936170212766,0.9148970212765958,0.9297872340425531
PropRAG,2Wiki,support_depth>=3,DBEC-nobinding,235,0.7829787234042553,0.7829787234042553,0.8446808510638298
PropRAG,2Wiki,support_depth>=3,SetR-style k20,235,0.8680851063829788,0.8695035460992908,0.9191489361702128
PropRAG,2Wiki,support_depth>=3,SetR-faithful,235,0.7659574468085106,0.7711583924349882,0.7829787234042553
PropRAG,2Wiki,support_depth>=3,RankGPT-style sliding,235,0.8553191489361702,0.8567375886524823,0.9053191489361702
PropRAG,2Wiki,support_depth>=4,Top-5,235,0.8127659574468085,0.8127659574468085,0.8946808510638298
PropRAG,2Wiki,support_depth>=4,DBEC,235,0.9148936170212766,0.9148970212765958,0.9297872340425531
PropRAG,2Wiki,support_depth>=4,DBEC-IG,235,0.9148936170212766,0.9148970212765958,0.9297872340425531
PropRAG,2Wiki,support_depth>=4,DBEC-nobinding,235,0.7829787234042553,0.7829787234042553,0.8446808510638298
PropRAG,2Wiki,support_depth>=4,SetR-style k20,235,0.8680851063829788,0.8695035460992908,0.9191489361702128
PropRAG,2Wiki,support_depth>=4,SetR-faithful,235,0.7659574468085106,0.7711583924349882,0.7829787234042553
PropRAG,2Wiki,support_depth>=4,RankGPT-style sliding,235,0.8553191489361702,0.8567375886524823,0.9053191489361702
PropRAG,2Wiki,gate=bind,Top-5,698,0.504297994269341,0.5953481375358166,0.8954154727793696
PropRAG,2Wiki,gate=bind,DBEC,698,0.5974212034383954,0.6852547277936962,0.9534383954154728
PropRAG,2Wiki,gate=bind,DBEC-IG,698,0.5974212034383954,0.6852547277936962,0.9534383954154728
PropRAG,2Wiki,gate=bind,DBEC-nobinding,698,0.46275071633237824,0.5422212034383954,0.8409742120343839
PropRAG,2Wiki,gate=bind,SetR-style k20,698,0.5616045845272206,0.6517116320483083,0.9387535816618912
PropRAG,2Wiki,gate=bind,SetR-faithful,698,0.5343839541547278,0.6239963912241848,0.8660458452722063
PropRAG,2Wiki,gate=bind,RankGPT-style sliding,698,0.5401146131805158,0.6194152751101175,0.8968481375358166
PropRAG,2Wiki,gate=abstain,Top-5,302,0.7384105960264901,0.7622172185430464,0.9197019867549668
PropRAG,2Wiki,gate=abstain,DBEC,302,0.7450331125827815,0.773244701986755,0.9122516556291391
PropRAG,2Wiki,gate=abstain,DBEC-IG,302,0.7450331125827815,0.773244701986755,0.9122516556291391
PropRAG,2Wiki,gate=abstain,DBEC-nobinding,302,0.7450331125827815,0.773244701986755,0.9122516556291391
PropRAG,2Wiki,gate=abstain,SetR-style k20,302,0.7682119205298014,0.7905211050906414,0.9511589403973509
PropRAG,2Wiki,gate=abstain,SetR-faithful,302,0.7615894039735099,0.7916064619707004,0.9254966887417219
PropRAG,2Wiki,gate=abstain,RankGPT-style sliding,302,0.7450331125827815,0.7732602754125932,0.9461920529801324
PropRAG,2Wiki,support_depth=2|gate=bind,Top-5,465,0.35053763440860214,0.48721075268817204,0.8956989247311828
PropRAG,2Wiki,support_depth=2|gate=bind,DBEC,465,0.43870967741935485,0.5705526881720431,0.964516129032258
PropRAG,2Wiki,support_depth=2|gate=bind,DBEC-IG,465,0.43870967741935485,0.5705526881720431,0.964516129032258
PropRAG,2Wiki,support_depth=2|gate=bind,DBEC-nobinding,465,0.3032258064516129,0.4225169892473118,0.8387096774193549
PropRAG,2Wiki,support_depth=2|gate=bind,SetR-style k20,465,0.40860215053763443,0.5431427652395393,0.9483870967741935
PropRAG,2Wiki,support_depth=2|gate=bind,SetR-faithful,465,0.4150537634408602,0.546940341617761,0.9064516129032258
PropRAG,2Wiki,support_depth=2|gate=bind,RankGPT-style sliding,465,0.38064516129032255,0.4989645778355456,0.8924731182795699
PropRAG,2Wiki,support_depth=2|gate=abstain,Top-5,300,0.7366666666666667,0.760632,0.92
PropRAG,2Wiki,support_depth=2|gate=abstain,DBEC,300,0.7433333333333333,0.771733,0.9133333333333333
PropRAG,2Wiki,support_depth=2|gate=abstain,DBEC-IG,300,0.7433333333333333,0.771733,0.9133333333333333
PropRAG,2Wiki,support_depth=2|gate=abstain,DBEC-nobinding,300,0.7433333333333333,0.771733,0.9133333333333333
PropRAG,2Wiki,support_depth=2|gate=abstain,SetR-style k20,300,0.7666666666666667,0.7891245791245791,0.9516666666666667
PropRAG,2Wiki,support_depth=2|gate=abstain,SetR-faithful,300,0.7666666666666667,0.7968838383838384,0.9283333333333333
PropRAG,2Wiki,support_depth=2|gate=abstain,RankGPT-style sliding,300,0.7466666666666667,0.7750820105820105,0.9466666666666667
PropRAG,2Wiki,support_depth>=3|gate=bind,Top-5,233,0.8111587982832618,0.8111587982832618,0.8948497854077253
PropRAG,2Wiki,support_depth>=3|gate=bind,DBEC,233,0.9141630901287554,0.9141665236051502,0.9313304721030042
PropRAG,2Wiki,support_depth>=3|gate=bind,DBEC-IG,233,0.9141630901287554,0.9141665236051502,0.9313304721030042
PropRAG,2Wiki,support_depth>=3|gate=bind,DBEC-nobinding,233,0.7811158798283262,0.7811158798283262,0.8454935622317596
PropRAG,2Wiki,support_depth>=3|gate=bind,SetR-style k20,233,0.8669527896995708,0.8683834048640916,0.9195278969957081
PropRAG,2Wiki,support_depth>=3|gate=bind,SetR-faithful,233,0.7725321888412017,0.7777777777777778,0.7854077253218884
PropRAG,2Wiki,support_depth>=3|gate=bind,RankGPT-style sliding,233,0.8583690987124464,0.8597997138769672,0.9055793991416309
