pool,dataset,slice,comparison,metric,left_mean,right_mean,n,delta_mean,ci_low,ci_high,p_delta_gt_0,ci_excludes_zero
PropRAG,2Wiki,all,DBEC-IG - DBEC-nobinding,EM,0.642,0.548,1000,0.094,0.072,0.116,1.0,True
PropRAG,2Wiki,all,DBEC-IG - DBEC-nobinding,F1,0.7118277000000001,0.6119903,1000,0.0998374,0.0787044575,0.1211370275,1.0,True
PropRAG,2Wiki,all,DBEC-IG - DBEC-nobinding,R5_TITLE,0.941,0.8625,1000,0.0785,0.06699375,0.0905,1.0,True
PropRAG,2Wiki,all,DBEC-IG - DBEC,EM,0.642,0.642,1000,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,all,DBEC-IG - DBEC,F1,0.7118277000000001,0.7118277000000001,1000,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,all,DBEC-IG - DBEC,R5_TITLE,0.941,0.941,1000,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,all,DBEC-IG - SetR-faithful,EM,0.642,0.603,1000,0.039,0.015,0.062,0.9989,True
PropRAG,2Wiki,all,DBEC-IG - SetR-faithful,F1,0.7118277000000001,0.6746146325896326,1000,0.03721306741036741,0.015544137650127651,0.0595522111097236,0.9998,True
PropRAG,2Wiki,all,DBEC-IG - SetR-faithful,R5_TITLE,0.941,0.884,1000,0.057,0.0435,0.0705,1.0,True
PropRAG,2Wiki,all,DBEC-IG - SetR-style k20,EM,0.642,0.624,1000,0.018,-0.004,0.039,0.944,False
PropRAG,2Wiki,all,DBEC-IG - SetR-style k20,F1,0.7118277000000001,0.6936320929070929,1000,0.018195607092907094,-0.001253625375180372,0.038551504798534794,0.9647,False
PropRAG,2Wiki,all,DBEC-IG - SetR-style k20,R5_TITLE,0.941,0.9425,1000,-0.0015,-0.01225,0.009,0.3835,False
PropRAG,2Wiki,all,DBEC-IG - RankGPT-style sliding,EM,0.642,0.602,1000,0.04,0.018,0.062,0.9996,True
PropRAG,2Wiki,all,DBEC-IG - RankGPT-style sliding,F1,0.7118277000000001,0.6658764652014652,1000,0.0459512347985348,0.024464450143467643,0.06804994055555555,1.0,True
PropRAG,2Wiki,all,DBEC-IG - RankGPT-style sliding,R5_TITLE,0.941,0.91175,1000,0.02925,0.01575,0.04275,1.0,True
PropRAG,2Wiki,all,DBEC-nobinding - SetR-faithful,EM,0.548,0.603,1000,-0.055,-0.08,-0.029,0.0,True
PropRAG,2Wiki,all,DBEC-nobinding - SetR-faithful,F1,0.6119903,0.6746146325896326,1000,-0.0626243325896326,-0.08749611137085138,-0.037112459957264955,0.0,True
PropRAG,2Wiki,all,DBEC-nobinding - SetR-faithful,R5_TITLE,0.8625,0.884,1000,-0.0215,-0.0365,-0.0065,0.0016,True
PropRAG,2Wiki,support_depth=2,DBEC-IG - DBEC-nobinding,EM,0.5581699346405229,0.47581699346405226,765,0.08235294117647059,0.058823529411764705,0.10588235294117647,1.0,True
PropRAG,2Wiki,support_depth=2,DBEC-IG - DBEC-nobinding,F1,0.6494469281045752,0.5594644444444445,765,0.08998248366013073,0.0676815816993464,0.11296641176470587,1.0,True
PropRAG,2Wiki,support_depth=2,DBEC-IG - DBEC-nobinding,R5_TITLE,0.9444444444444444,0.8679738562091504,765,0.07647058823529412,0.06274509803921569,0.09019607843137255,1.0,True
PropRAG,2Wiki,support_depth=2,DBEC-IG - DBEC,EM,0.5581699346405229,0.5581699346405229,765,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,support_depth=2,DBEC-IG - DBEC,F1,0.6494469281045752,0.6494469281045752,765,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,support_depth=2,DBEC-IG - DBEC,R5_TITLE,0.9444444444444444,0.9444444444444444,765,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,support_depth=2,DBEC-IG - SetR-faithful,EM,0.5581699346405229,0.5529411764705883,765,0.00522875816993464,-0.0196078431372549,0.03137254901960784,0.6415,False
PropRAG,2Wiki,support_depth=2,DBEC-IG - SetR-faithful,F1,0.6494469281045752,0.6449573991730855,765,0.0044895289314897165,-0.018259509717950893,0.027253911420460426,0.6538,False
PropRAG,2Wiki,support_depth=2,DBEC-IG - SetR-faithful,R5_TITLE,0.9444444444444444,0.9150326797385621,765,0.029411764705882353,0.015032679738562092,0.044444444444444446,1.0,True
PropRAG,2Wiki,support_depth=2,DBEC-IG - SetR-style k20,EM,0.5581699346405229,0.5490196078431373,765,0.009150326797385621,-0.01568627450980392,0.03398692810457516,0.7507,False
PropRAG,2Wiki,support_depth=2,DBEC-IG - SetR-style k20,F1,0.6494469281045752,0.6396062216650452,765,0.00984070643952997,-0.012187463175894548,0.032019949938224414,0.8084,False
PropRAG,2Wiki,support_depth=2,DBEC-IG - SetR-style k20,R5_TITLE,0.9444444444444444,0.949673202614379,765,-0.00522875816993464,-0.01699346405228758,0.006535947712418301,0.1851,False
PropRAG,2Wiki,support_depth=2,DBEC-IG - RankGPT-style sliding,EM,0.5581699346405229,0.5241830065359477,765,0.03398692810457516,0.009150326797385621,0.06013071895424837,0.995,True
PropRAG,2Wiki,support_depth=2,DBEC-IG - RankGPT-style sliding,F1,0.6494469281045752,0.6072459240106299,765,0.042201004093945275,0.017193750855897912,0.06648744360251223,0.9996,True
PropRAG,2Wiki,support_depth=2,DBEC-IG - RankGPT-style sliding,R5_TITLE,0.9444444444444444,0.9137254901960784,765,0.03071895424836601,0.015032679738562092,0.047058823529411764,0.9999,True
PropRAG,2Wiki,support_depth=2,DBEC-nobinding - SetR-faithful,EM,0.47581699346405226,0.5529411764705883,765,-0.07712418300653595,-0.10457516339869281,-0.04967320261437908,0.0,True
PropRAG,2Wiki,support_depth=2,DBEC-nobinding - SetR-faithful,F1,0.5594644444444445,0.6449573991730855,765,-0.08549295472864099,-0.11112067940592449,-0.05948698535705398,0.0,True
PropRAG,2Wiki,support_depth=2,DBEC-nobinding - SetR-faithful,R5_TITLE,0.8679738562091504,0.9150326797385621,765,-0.047058823529411764,-0.06405228758169934,-0.03071895424836601,0.0,True
PropRAG,2Wiki,support_depth>=3,DBEC-IG - DBEC-nobinding,EM,0.9148936170212766,0.7829787234042553,235,0.13191489361702127,0.08085106382978724,0.18723404255319148,1.0,True
PropRAG,2Wiki,support_depth>=3,DBEC-IG - DBEC-nobinding,F1,0.9148970212765958,0.7829787234042553,235,0.1319182978723404,0.08085446808510638,0.18298212765957447,1.0,True
PropRAG,2Wiki,support_depth>=3,DBEC-IG - DBEC-nobinding,R5_TITLE,0.9297872340425531,0.8446808510638298,235,0.0851063829787234,0.06063829787234042,0.10957446808510639,1.0,True
PropRAG,2Wiki,support_depth>=3,DBEC-IG - DBEC,EM,0.9148936170212766,0.9148936170212766,235,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,support_depth>=3,DBEC-IG - DBEC,F1,0.9148970212765958,0.9148970212765958,235,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,support_depth>=3,DBEC-IG - DBEC,R5_TITLE,0.9297872340425531,0.9297872340425531,235,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,support_depth>=3,DBEC-IG - SetR-faithful,EM,0.9148936170212766,0.7659574468085106,235,0.14893617021276595,0.09361702127659574,0.20425531914893616,1.0,True
PropRAG,2Wiki,support_depth>=3,DBEC-IG - SetR-faithful,F1,0.9148970212765958,0.7711583924349882,235,0.14373862884160757,0.08936170212765958,0.20001029787234043,1.0,True
PropRAG,2Wiki,support_depth>=3,DBEC-IG - SetR-faithful,R5_TITLE,0.9297872340425531,0.7829787234042553,235,0.14680851063829786,0.11702127659574468,0.17553191489361702,1.0,True
PropRAG,2Wiki,support_depth>=3,DBEC-IG - SetR-style k20,EM,0.9148936170212766,0.8680851063829788,235,0.04680851063829787,0.00425531914893617,0.09361702127659574,0.9791,True
PropRAG,2Wiki,support_depth>=3,DBEC-IG - SetR-style k20,F1,0.9148970212765958,0.8695035460992908,235,0.045393475177304965,0.0014218439716312064,0.09079043971631208,0.9793,True
PropRAG,2Wiki,support_depth>=3,DBEC-IG - SetR-style k20,R5_TITLE,0.9297872340425531,0.9191489361702128,235,0.010638297872340425,-0.010638297872340425,0.030851063829787233,0.8266,False
PropRAG,2Wiki,support_depth>=3,DBEC-IG - RankGPT-style sliding,EM,0.9148936170212766,0.8553191489361702,235,0.059574468085106386,0.01702127659574468,0.10638297872340426,0.9954,True
