pool,dataset,slice,n,min_gold_doc_count,max_gold_doc_count,mean_gold_doc_count,bind_count,abstain_count,unknown_count,bind_rate,abstain_rate,title_unique_rate_mean,binding_count_mean,requirement_count_mean
PropRAG,2Wiki,all,1000,2,4,2.47,698,302,0,0.698,0.302,0.698,1.639,2.772
PropRAG,2Wiki,support_depth=2,765,2,2,2.0,465,300,0,0.6078431372549019,0.39215686274509803,0.6078431372549019,1.584313725490196,2.3973856209150326
PropRAG,2Wiki,support_depth>=3,235,4,4,4.0,233,2,0,0.9914893617021276,0.00851063829787234,0.9914893617021276,1.8170212765957447,3.991489361702128
PropRAG,2Wiki,support_depth>=4,235,4,4,4.0,233,2,0,0.9914893617021276,0.00851063829787234,0.9914893617021276,1.8170212765957447,3.991489361702128
PropRAG,2Wiki,gate=bind,698,2,4,2.667621776504298,698,0,0,1.0,0.0,1.0,1.9154727793696276,2.786532951289398
PropRAG,2Wiki,gate=abstain,302,2,4,2.013245033112583,0,302,0,0.0,1.0,0.0,1.0,2.73841059602649
PropRAG,2Wiki,support_depth=2|gate=bind,465,2,2,2.0,465,0,0,1.0,0.0,1.0,1.961290322580645,2.182795698924731
PropRAG,2Wiki,support_depth=2|gate=abstain,300,2,2,2.0,0,300,0,0.0,1.0,0.0,1.0,2.73
PropRAG,2Wiki,support_depth>=3|gate=bind,233,4,4,4.0,233,0,0,1.0,0.0,1.0,1.8240343347639485,3.9914163090128754
PropRAG,2Wiki,support_depth>=3|gate=abstain,2,4,4,4.0,0,2,0,0.0,1.0,0.0,1.0,4.0
PropRAG,2Wiki,support_depth>=4|gate=bind,233,4,4,4.0,233,0,0,1.0,0.0,1.0,1.8240343347639485,3.9914163090128754
PropRAG,2Wiki,support_depth>=4|gate=abstain,2,4,4,4.0,0,2,0,0.0,1.0,0.0,1.0,4.0
PropRAG,HotpotQA,all,1000,2,2,2.0,657,343,0,0.657,0.343,0.657,1.931,2.328
PropRAG,HotpotQA,support_depth=2,1000,2,2,2.0,657,343,0,0.657,0.343,0.657,1.931,2.328
PropRAG,HotpotQA,gate=bind,657,2,2,2.0,657,0,0,1.0,0.0,1.0,2.417047184170472,2.4398782343987824
PropRAG,HotpotQA,gate=abstain,343,2,2,2.0,0,343,0,0.0,1.0,0.0,1.0,2.1137026239067054
PropRAG,HotpotQA,support_depth=2|gate=bind,657,2,2,2.0,657,0,0,1.0,0.0,1.0,2.417047184170472,2.4398782343987824
PropRAG,HotpotQA,support_depth=2|gate=abstain,343,2,2,2.0,0,343,0,0.0,1.0,0.0,1.0,2.1137026239067054
PropRAG,MuSiQue,all,1000,2,4,2.648,371,629,0,0.371,0.629,0.47773438300000004,1.369,2.496
PropRAG,MuSiQue,support_depth=2,518,2,2,2.0,212,306,0,0.4092664092664093,0.5907335907335908,0.4425353938223939,1.3629343629343629,2.054054054054054
PropRAG,MuSiQue,support_depth>=3,482,3,4,3.3443983402489628,159,323,0,0.32987551867219916,0.6701244813278008,0.5155623423236515,1.3755186721991701,2.970954356846473
PropRAG,MuSiQue,support_depth>=4,166,4,4,4.0,52,114,0,0.3132530120481928,0.6867469879518072,0.5729800240963855,1.5481927710843373,3.2771084337349397
PropRAG,MuSiQue,gate=bind,371,2,4,2.568733153638814,371,0,0,1.0,0.0,0.9997304582210242,1.994609164420485,2.5256064690026956
PropRAG,MuSiQue,gate=abstain,629,2,4,2.694753577106518,0,629,0,0.0,1.0,0.16984798569157394,1.0,2.478537360890302
PropRAG,MuSiQue,support_depth=2|gate=bind,212,2,2,2.0,212,0,0,1.0,0.0,1.0,1.8867924528301887,2.1556603773584904
PropRAG,MuSiQue,support_depth=2|gate=abstain,306,2,2,2.0,0,306,0,0.0,1.0,0.056318084967320256,1.0,1.9836601307189543
PropRAG,MuSiQue,support_depth>=3|gate=bind,159,3,4,3.3270440251572326,159,0,0,1.0,0.0,0.9993710691823899,2.138364779874214,3.018867924528302
PropRAG,MuSiQue,support_depth>=3|gate=abstain,323,3,4,3.3529411764705883,0,323,0,0.0,1.0,0.2774026284829721,1.0,2.9473684210526314
PropRAG,MuSiQue,support_depth>=4|gate=bind,52,4,4,4.0,52,0,0,1.0,0.0,1.0,2.75,3.4038461538461537
PropRAG,MuSiQue,support_depth>=4|gate=abstain,114,4,4,4.0,0,114,0,0.0,1.0,0.3781989824561403,1.0,3.219298245614035
