dataset,feature,n_strong,n_abstain_helpful,n_bind_helpful,auc_abstain,auc_abs_distance,direction,abstain_mean,bind_mean,mean_diff_abstain_minus_bind
2Wiki,candidate_count_max,159,23,136,0.5855179028132992,0.08551790281329918,high=>abstain,2.130434782608696,1.7720588235294117,0.3583759590792841
2Wiki,bind_conf_candidate_simplicity,159,23,136,0.41464194373401536,0.08535805626598464,high=>bind,0.644927536231884,0.7485060690943044,-0.10357853286242036
2Wiki,low_ambiguity,159,23,136,0.41464194373401536,0.08535805626598464,high=>bind,0.644927536231884,0.7485060690943044,-0.10357853286242036
2Wiki,binding_count,159,23,136,0.5824808184143222,0.0824808184143222,high=>abstain,2.260869565217391,2.411764705882353,-0.15089514066496168
2Wiki,binding_count_unpruned,159,23,136,0.5824808184143222,0.0824808184143222,high=>abstain,2.260869565217391,2.411764705882353,-0.15089514066496168
2Wiki,candidate_count_mean,159,23,136,0.5693734015345269,0.06937340153452687,high=>abstain,1.6956521739130435,1.5968137254901962,0.09883844842284728
2Wiki,duplicate_entity_count,159,23,136,0.5684143222506394,0.06841432225063937,high=>abstain,0.4782608695652174,0.21323529411764705,0.2650255754475703
2Wiki,multi_candidate_req_count,159,23,136,0.5684143222506394,0.06841432225063937,high=>abstain,0.6086956521739131,0.47794117647058826,0.13075447570332482
2Wiki,unmatched_entity_count,159,23,136,0.5604219948849105,0.06042199488491051,high=>abstain,2.9130434782608696,2.448529411764706,0.46451406649616356
2Wiki,skipped_anchor_count,159,23,136,0.5548273657289002,0.054827365728900235,high=>abstain,0.21739130434782608,0.125,0.09239130434782608
2Wiki,bind_conf_composite_primary,159,23,136,0.4453324808184143,0.05466751918158569,high=>bind,0.7759906035992993,0.8084748768925433,-0.03248427329324399
2Wiki,single_candidate_req_count,159,23,136,0.4454923273657289,0.05450767263427109,high=>bind,0.782608695652174,0.9411764705882353,-0.15856777493606133
2Wiki,dep_margin_min_diagnostic,159,23,136,0.4459718670076726,0.05402813299232739,high=>bind,0.5834716521739131,0.6695919632352941,-0.08612031106138107
2Wiki,empty_response_rate,159,23,136,0.44725063938618925,0.05274936061381075,high=>bind,0.5478260869565218,0.5894607843137255,-0.04163469735720371
2Wiki,raw_entity_count,159,23,136,0.552269820971867,0.052269820971867054,high=>abstain,6.173913043478261,5.125,1.0489130434782608
2Wiki,match_rate,159,23,136,0.4485294117647059,0.0514705882352941,high=>bind,0.6068880394967352,0.662723046754587,-0.05583500725785184
2Wiki,candidate_count_total,159,23,136,0.546994884910486,0.04699488491048598,high=>abstain,2.5652173913043477,2.3308823529411766,0.23433503836317104
2Wiki,matched_entity_count,159,23,136,0.546994884910486,0.04699488491048598,high=>abstain,2.5652173913043477,2.338235294117647,0.22698209718670048
2Wiki,bind_conf_composite_with_margin_diagnostic,159,23,136,0.454923273657289,0.04507672634271098,high=>bind,0.7618427437490046,0.7910499774944268,-0.029207233745422223
2Wiki,bind_conf_margin_diagnostic,159,23,136,0.4592391304347826,0.040760869565217406,high=>bind,0.7052513043478261,0.7213503799019608,-0.0160990755541347
2Wiki,dep_margin_mean_diagnostic,159,23,136,0.4592391304347826,0.040760869565217406,high=>bind,0.7052513043478261,0.7213503799019608,-0.0160990755541347
2Wiki,bind_conf_match_quality,159,23,136,0.46131713554987214,0.03868286445012786,high=>bind,0.6480689600254818,0.6860251781135102,-0.037956218088028404
2Wiki,multi_candidate_rate,159,23,136,0.5380434782608695,0.03804347826086951,high=>abstain,0.3695652173913043,0.34068627450980393,0.02887894288150039
