split,score_name,threshold,dataset,n,em,f1,title_recall,null_rate,delta_f1_vs_daec,delta_em_vs_daec,delta_title_recall_vs_daec,delta_f1_vs_nobind,macro_f1,macro_delta_f1_vs_daec
all,bind_conf_composite_primary,0.0,2Wiki,1000,0.642,0.7118277,0.941,0.0,0.0,0.0,0.0,0.09983739999999997,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.0,HotpotQA,1000,0.62,0.7473044,0.9625,0.0,0.0,0.0,0.0,0.008566799999999986,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.0,MuSiQue,1000,0.337,0.4358931,0.7611666666666667,0.0,0.0,0.0,0.0,-0.009920399999999996,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.01,2Wiki,1000,0.642,0.7118277,0.941,0.221,0.0,0.0,0.0,0.09983739999999997,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.01,HotpotQA,1000,0.62,0.7473044,0.9625,0.098,0.0,0.0,0.0,0.008566799999999986,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.01,MuSiQue,1000,0.337,0.4358931,0.7611666666666667,0.212,0.0,0.0,0.0,-0.009920399999999996,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.02,2Wiki,1000,0.642,0.7118277,0.941,0.237,0.0,0.0,0.0,0.09983739999999997,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.02,HotpotQA,1000,0.62,0.7473044,0.9625,0.129,0.0,0.0,0.0,0.008566799999999986,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.02,MuSiQue,1000,0.337,0.4358931,0.7611666666666667,0.228,0.0,0.0,0.0,-0.009920399999999996,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.03,2Wiki,1000,0.642,0.7118277,0.941,0.242,0.0,0.0,0.0,0.09983739999999997,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.03,HotpotQA,1000,0.62,0.7473044,0.9625,0.14,0.0,0.0,0.0,0.008566799999999986,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.03,MuSiQue,1000,0.337,0.4358931,0.7611666666666667,0.232,0.0,0.0,0.0,-0.009920399999999996,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.04,2Wiki,1000,0.642,0.7118277,0.941,0.257,0.0,0.0,0.0,0.09983739999999997,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.04,HotpotQA,1000,0.62,0.7473044,0.9625,0.16,0.0,0.0,0.0,0.008566799999999986,0.6316750666666666,0.0
