split,threshold,dataset,f1,em,title_recall,delta_f1_vs_daec,delta_em_vs_daec,delta_title_recall_vs_daec,delta_f1_vs_nobind,null_rate
all,0.8,2Wiki,0.7089547,0.639,0.9395,-0.0028729999999999034,-0.0030000000000000027,-0.0014999999999999458,0.09696440000000006,0.312
all,0.8,HotpotQA,0.7493044,0.622,0.9625,0.0020000000000000018,0.0020000000000000018,0.0,0.010566799999999987,0.366
all,0.8,MuSiQue,0.4514938,0.35,0.7728333333333334,0.015600700000000023,0.012999999999999956,0.011666666666666714,0.005680300000000027,0.605
all,0.81,2Wiki,0.7089547,0.639,0.9395,-0.0028729999999999034,-0.0030000000000000027,-0.0014999999999999458,0.09696440000000006,0.312
all,0.81,HotpotQA,0.7493044,0.622,0.9625,0.0020000000000000018,0.0020000000000000018,0.0,0.010566799999999987,0.372
all,0.81,MuSiQue,0.4525938,0.352,0.7728333333333334,0.016700700000000013,0.014999999999999958,0.011666666666666714,0.006780300000000017,0.625
all,0.82,2Wiki,0.7089547,0.639,0.9395,-0.0028729999999999034,-0.0030000000000000027,-0.0014999999999999458,0.09696440000000006,0.312
all,0.82,HotpotQA,0.7493044,0.622,0.9625,0.0020000000000000018,0.0020000000000000018,0.0,0.010566799999999987,0.372
all,0.82,MuSiQue,0.4525938,0.352,0.7728333333333334,0.016700700000000013,0.014999999999999958,0.011666666666666714,0.006780300000000017,0.625
all,0.83,2Wiki,0.7089547,0.639,0.9395,-0.0028729999999999034,-0.0030000000000000027,-0.0014999999999999458,0.09696440000000006,0.312
all,0.83,HotpotQA,0.7493044,0.622,0.9625,0.0020000000000000018,0.0020000000000000018,0.0,0.010566799999999987,0.372
all,0.83,MuSiQue,0.4525938,0.352,0.7728333333333334,0.016700700000000013,0.014999999999999958,0.011666666666666714,0.006780300000000017,0.625
all,0.84,2Wiki,0.7089547,0.639,0.9395,-0.0028729999999999034,-0.0030000000000000027,-0.0014999999999999458,0.09696440000000006,0.312
all,0.84,HotpotQA,0.7493044,0.622,0.9625,0.0020000000000000018,0.0020000000000000018,0.0,0.010566799999999987,0.372
all,0.84,MuSiQue,0.4535938,0.353,0.77375,0.017700700000000014,0.01599999999999996,0.01258333333333339,0.007780300000000018,0.633
all,0.85,2Wiki,0.7089547,0.639,0.9395,-0.0028729999999999034,-0.0030000000000000027,-0.0014999999999999458,0.09696440000000006,0.312
all,0.85,HotpotQA,0.7493044,0.622,0.9625,0.0020000000000000018,0.0020000000000000018,0.0,0.010566799999999987,0.372
all,0.85,MuSiQue,0.4535938,0.353,0.77375,0.017700700000000014,0.01599999999999996,0.01258333333333339,0.007780300000000018,0.633
