dataset,comparison,metric,n,delta_mean,ci_low,ci_high,p_delta_gt_0,ci_excludes_zero
2Wiki,DAEC-selective - DAEC,EM,1000,0.0,0.0,0.0,0.0,False
2Wiki,DAEC-selective - DAEC,F1,1000,0.0,0.0,0.0,0.0,False
2Wiki,DAEC-selective - Nobind,EM,1000,0.094,0.072,0.116,1.0,True
2Wiki,DAEC-selective - Nobind,F1,1000,0.0998374,0.0791497725,0.12158840249999998,1.0,True
2Wiki,DAEC-selective - SetR-style k20,EM,1000,0.018,-0.004,0.04,0.9396,False
2Wiki,DAEC-selective - SetR-style k20,F1,1000,0.018195607092907094,-0.0018929320604395596,0.037930776584804086,0.9637,False
2Wiki,DAEC - Nobind,EM,1000,0.094,0.072,0.116,1.0,True
2Wiki,DAEC - Nobind,F1,1000,0.0998374,0.078139935,0.12160887,1.0,True
HotpotQA,DAEC-selective - DAEC,EM,1000,0.0,0.0,0.0,0.0,False
HotpotQA,DAEC-selective - DAEC,F1,1000,0.0,0.0,0.0,0.0,False
HotpotQA,DAEC-selective - Nobind,EM,1000,0.004,-0.01,0.018,0.6881,False
HotpotQA,DAEC-selective - Nobind,F1,1000,0.008566800000000001,-0.0038811849999999992,0.021051844999999996,0.9096,False
HotpotQA,DAEC-selective - SetR-style k20,EM,1000,-0.009,-0.025,0.007,0.1217,False
HotpotQA,DAEC-selective - SetR-style k20,F1,1000,-0.007870657570568408,-0.02254184192363536,0.006582108110321043,0.1424,False
HotpotQA,DAEC - Nobind,EM,1000,0.004,-0.01,0.018,0.6879,False
HotpotQA,DAEC - Nobind,F1,1000,0.008566800000000001,-0.0041682249999999985,0.0212003325,0.9058,False
MuSiQue,DAEC-selective - DAEC,EM,1000,0.016,0.006,0.027,0.999,True
MuSiQue,DAEC-selective - DAEC,F1,1000,0.018914999999999998,0.007649152500000002,0.030883612499999994,0.9996,True
MuSiQue,DAEC-selective - Nobind,EM,1000,0.01,-0.006,0.026,0.8773,False
MuSiQue,DAEC-selective - Nobind,F1,1000,0.0089946,-0.0052741125000000015,0.023819439999999997,0.8849,False
MuSiQue,DAEC-selective - SetR-style k20,EM,1000,-0.024,-0.047,-0.001,0.02,True
MuSiQue,DAEC-selective - SetR-style k20,F1,1000,-0.02124798635430617,-0.04427830896311205,0.001788694049946442,0.0345,False
MuSiQue,DAEC - Nobind,EM,1000,-0.006,-0.024,0.013,0.2439,False
MuSiQue,DAEC - Nobind,F1,1000,-0.009920400000000001,-0.028465617500000002,0.008066794999999993,0.1387,False
