pool,dataset,comparison,metric,left_mean,right_mean,n,delta_mean,ci_low,ci_high,p_delta_gt_0,ci_excludes_zero
Dense,2Wiki,DAEC-selective - Top-5,EM,0.516,0.455,1000,0.061,0.034,0.087,1.0,True
Dense,2Wiki,DAEC-selective - Top-5,F1,0.5798495,0.498431,1000,0.08141849999999999,0.055565172499999996,0.107555865,1.0,True
Dense,2Wiki,DAEC-selective - Top-5,R5_TITLE,0.81775,0.72475,1000,0.093,0.07875,0.1075,1.0,True
Dense,2Wiki,DAEC - Top-5,EM,0.516,0.455,1000,0.061,0.035,0.087,1.0,True
Dense,2Wiki,DAEC - Top-5,F1,0.5798495,0.498431,1000,0.08141849999999999,0.05616385,0.10738038500000001,1.0,True
Dense,2Wiki,DAEC - Top-5,R5_TITLE,0.81775,0.72475,1000,0.093,0.0785,0.10725,1.0,True
Dense,2Wiki,DAEC-selective - DAEC,EM,0.516,0.516,1000,0.0,0.0,0.0,0.0,False
Dense,2Wiki,DAEC-selective - DAEC,F1,0.5798495,0.5798495,1000,0.0,0.0,0.0,0.0,False
Dense,2Wiki,DAEC-selective - DAEC,R5_TITLE,0.81775,0.81775,1000,0.0,0.0,0.0,0.0,False
Dense,HotpotQA,DAEC-selective - Top-5,EM,0.624,0.595,1000,0.029,0.013,0.045,1.0,True
Dense,HotpotQA,DAEC-selective - Top-5,F1,0.7483379000000001,0.7105728,1000,0.0377651,0.023431265000000003,0.052698802499999996,1.0,True
Dense,HotpotQA,DAEC-selective - Top-5,R5_TITLE,0.9545,0.9315,1000,0.023,0.016,0.0305,1.0,True
Dense,HotpotQA,DAEC - Top-5,EM,0.624,0.595,1000,0.029,0.013,0.045,0.9998,True
Dense,HotpotQA,DAEC - Top-5,F1,0.7483379000000001,0.7105728,1000,0.0377651,0.0232452125,0.05297923999999999,1.0,True
Dense,HotpotQA,DAEC - Top-5,R5_TITLE,0.9545,0.9315,1000,0.023,0.016,0.0305,1.0,True
Dense,HotpotQA,DAEC-selective - DAEC,EM,0.624,0.624,1000,0.0,0.0,0.0,0.0,False
Dense,HotpotQA,DAEC-selective - DAEC,F1,0.7483379000000001,0.7483379000000001,1000,0.0,0.0,0.0,0.0,False
Dense,HotpotQA,DAEC-selective - DAEC,R5_TITLE,0.9545,0.9545,1000,0.0,0.0,0.0,0.0,False
Dense,MuSiQue,DAEC-selective - Top-5,EM,0.308,0.298,1000,0.01,-0.011,0.03,0.8146,False
Dense,MuSiQue,DAEC-selective - Top-5,F1,0.4001588,0.3895872000000001,1000,0.0105716,-0.009726885000000001,0.030518865,0.8454,False
