pool,dataset,method,n,EM,F1,R5_TITLE
Dense,2Wiki,Top-5,1000,0.455,0.498431,0.72475
Dense,2Wiki,DAEC,1000,0.516,0.5798495,0.81775
Dense,2Wiki,DAEC-selective,1000,0.516,0.5798495,0.81775
Dense,2Wiki,SetR-style k20,1000,0.514,0.565491391941392,0.77975
Dense,HotpotQA,Top-5,1000,0.595,0.7105728,0.9315
Dense,HotpotQA,DAEC,1000,0.624,0.7483379000000001,0.9545
Dense,HotpotQA,DAEC-selective,1000,0.624,0.7483379000000001,0.9545
Dense,HotpotQA,SetR-style k20,1000,0.627,0.7470461975417084,0.9615
Dense,MuSiQue,Top-5,1000,0.298,0.3895872000000001,0.6860833333333333
Dense,MuSiQue,DAEC,1000,0.304,0.3917697,0.71875
Dense,MuSiQue,DAEC-selective,1000,0.308,0.4001588,0.7273333333333333
Dense,MuSiQue,SetR-style k20,1000,0.31,0.41075882608103975,0.7305
HippoRAG,2Wiki,Top-5,1000,0.524,0.5850156999999999,0.832
HippoRAG,2Wiki,DAEC,1000,0.572,0.6431403,0.9015
HippoRAG,2Wiki,DAEC-selective,1000,0.572,0.6431403,0.9015
HippoRAG,2Wiki,SetR-style k20,1000,0.572,0.6408704323454324,0.878
HippoRAG,HotpotQA,Top-5,1000,0.577,0.7010463,0.924
HippoRAG,HotpotQA,DAEC,1000,0.62,0.7403479000000001,0.952
HippoRAG,HotpotQA,DAEC-selective,1000,0.62,0.7403479000000001,0.952
HippoRAG,HotpotQA,SetR-style k20,1000,0.625,0.7491136126429471,0.964
HippoRAG,MuSiQue,Top-5,1000,0.311,0.3947078,0.6995833333333332
HippoRAG,MuSiQue,DAEC,1000,0.317,0.41420320000000005,0.7261666666666666
HippoRAG,MuSiQue,DAEC-selective,1000,0.328,0.420583,0.7335
HippoRAG,MuSiQue,SetR-style k20,1000,0.339,0.43905616206196235,0.74075
PropRAG,2Wiki,Top-5,1000,0.575,0.6457426,0.90275
PropRAG,2Wiki,DAEC,1000,0.642,0.7118277000000001,0.941
PropRAG,2Wiki,DAEC-selective,1000,0.642,0.7118277000000001,0.941
PropRAG,2Wiki,SetR-style k20,1000,0.624,0.6936320929070929,0.9425
PropRAG,HotpotQA,Top-5,1000,0.595,0.7227198,0.952
PropRAG,HotpotQA,DAEC,1000,0.62,0.7473044,0.9625
PropRAG,HotpotQA,DAEC-selective,1000,0.62,0.7473044,0.9625
PropRAG,HotpotQA,SetR-style k20,1000,0.629,0.7551750575705685,0.9735
PropRAG,MuSiQue,Top-5,1000,0.33,0.42663599999999996,0.73775
PropRAG,MuSiQue,DAEC,1000,0.337,0.4358931,0.7611666666666668
PropRAG,MuSiQue,DAEC-selective,1000,0.353,0.45480810000000005,0.7745
PropRAG,MuSiQue,SetR-style k20,1000,0.377,0.4760560863543062,0.7836666666666666
