pool,dataset,comparison,metric,left_mean,right_mean,n,delta_mean,ci_low,ci_high,p_delta_gt_0,ci_excludes_zero
Dense,2Wiki,DAEC-selective - SetR-style k20,EM,0.516,0.514,1000,0.002,-0.023,0.027,0.5478,False
Dense,2Wiki,DAEC-selective - SetR-style k20,F1,0.5798495,0.565491391941392,1000,0.014358108058608059,-0.010540057280219782,0.03870173939255188,0.8731,False
Dense,2Wiki,DAEC-selective - SetR-style k20,R5_TITLE,0.81775,0.77975,1000,0.038,0.02375,0.052,1.0,True
Dense,2Wiki,DAEC - SetR-style k20,EM,0.516,0.514,1000,0.002,-0.023,0.027,0.5388,False
Dense,2Wiki,DAEC - SetR-style k20,F1,0.5798495,0.565491391941392,1000,0.014358108058608059,-0.010162035891330889,0.039495770024420014,0.8764,False
Dense,2Wiki,DAEC - SetR-style k20,R5_TITLE,0.81775,0.77975,1000,0.038,0.024,0.05225,1.0,True
Dense,2Wiki,SetR-style k20 - Top-5,EM,0.514,0.455,1000,0.059,0.040975000000000025,0.078,1.0,True
Dense,2Wiki,SetR-style k20 - Top-5,F1,0.565491391941392,0.498431,1000,0.06706039194139195,0.048424413806471306,0.08639259106837606,1.0,True
Dense,2Wiki,SetR-style k20 - Top-5,R5_TITLE,0.77975,0.72475,1000,0.055,0.04525,0.06525,1.0,True
Dense,2Wiki,DAEC-selective - Top-5,EM,0.516,0.455,1000,0.061,0.035,0.087,1.0,True
Dense,2Wiki,DAEC-selective - Top-5,F1,0.5798495,0.498431,1000,0.08141849999999999,0.0559621675,0.10753555499999999,1.0,True
Dense,2Wiki,DAEC-selective - Top-5,R5_TITLE,0.81775,0.72475,1000,0.093,0.079,0.10725,1.0,True
Dense,HotpotQA,DAEC-selective - SetR-style k20,EM,0.624,0.627,1000,-0.003,-0.02,0.014,0.3444,False
Dense,HotpotQA,DAEC-selective - SetR-style k20,F1,0.7483379000000001,0.7470461975417084,1000,0.001291702458291622,-0.013876838484411189,0.016388920878628595,0.5677,False
Dense,HotpotQA,DAEC-selective - SetR-style k20,R5_TITLE,0.9545,0.9615,1000,-0.007,-0.016,0.002,0.0538,False
Dense,HotpotQA,DAEC - SetR-style k20,EM,0.624,0.627,1000,-0.003,-0.02,0.014,0.3448,False
Dense,HotpotQA,DAEC - SetR-style k20,F1,0.7483379000000001,0.7470461975417084,1000,0.001291702458291622,-0.013871352633186384,0.016494857814881192,0.5622,False
Dense,HotpotQA,DAEC - SetR-style k20,R5_TITLE,0.9545,0.9615,1000,-0.007,-0.016,0.002,0.0558,False
Dense,HotpotQA,SetR-style k20 - Top-5,EM,0.627,0.595,1000,0.032,0.016,0.048,1.0,True
Dense,HotpotQA,SetR-style k20 - Top-5,F1,0.7470461975417084,0.7105728,1000,0.03647339754170838,0.021225366161536266,0.0511553666854731,1.0,True
Dense,HotpotQA,SetR-style k20 - Top-5,R5_TITLE,0.9615,0.9315,1000,0.03,0.021,0.0395,1.0,True
Dense,HotpotQA,DAEC-selective - Top-5,EM,0.624,0.595,1000,0.029,0.013,0.045,0.9997,True
Dense,HotpotQA,DAEC-selective - Top-5,F1,0.7483379000000001,0.7105728,1000,0.0377651,0.02357241,0.0523187575,1.0,True
Dense,HotpotQA,DAEC-selective - Top-5,R5_TITLE,0.9545,0.9315,1000,0.023,0.016,0.0305,1.0,True
Dense,MuSiQue,DAEC-selective - SetR-style k20,EM,0.308,0.31,1000,-0.002,-0.026,0.022,0.4165,False
Dense,MuSiQue,DAEC-selective - SetR-style k20,F1,0.4001588,0.41075882608103975,1000,-0.010600026081039701,-0.03323575130401246,0.012511109737506214,0.188,False
Dense,MuSiQue,DAEC-selective - SetR-style k20,R5_TITLE,0.7273333333333333,0.7305,1000,-0.0031666666666666675,-0.01583333333333333,0.0095,0.3211,False
Dense,MuSiQue,DAEC - SetR-style k20,EM,0.304,0.31,1000,-0.006,-0.029,0.017,0.2943,False
Dense,MuSiQue,DAEC - SetR-style k20,F1,0.3917697,0.41075882608103975,1000,-0.0189891260810397,-0.04315514513887901,0.004569217602042777,0.0558,False
Dense,MuSiQue,DAEC - SetR-style k20,R5_TITLE,0.71875,0.7305,1000,-0.011750000000000002,-0.026083333333333337,0.0023354166666666376,0.0521,False
Dense,MuSiQue,SetR-style k20 - Top-5,EM,0.31,0.298,1000,0.012,-0.009,0.033,0.8522,False
Dense,MuSiQue,SetR-style k20 - Top-5,F1,0.41075882608103975,0.3895872000000001,1000,0.021171626081039705,-0.0006485152783190285,0.04312575410407188,0.971,False
Dense,MuSiQue,SetR-style k20 - Top-5,R5_TITLE,0.7305,0.6860833333333333,1000,0.044416666666666674,0.03208333333333334,0.05683541666666664,1.0,True
Dense,MuSiQue,DAEC-selective - Top-5,EM,0.308,0.298,1000,0.01,-0.011,0.031,0.8166,False
Dense,MuSiQue,DAEC-selective - Top-5,F1,0.4001588,0.3895872000000001,1000,0.0105716,-0.009527935,0.030504764999999975,0.8505,False
Dense,MuSiQue,DAEC-selective - Top-5,R5_TITLE,0.7273333333333333,0.6860833333333333,1000,0.04125,0.03116666666666667,0.05183333333333333,1.0,True
HippoRAG,2Wiki,DAEC-selective - SetR-style k20,EM,0.572,0.572,1000,0.0,-0.023,0.024,0.4842,False
HippoRAG,2Wiki,DAEC-selective - SetR-style k20,F1,0.6431403,0.6408704323454324,1000,0.002269867654567654,-0.02060860613303363,0.025078551665556663,0.5903,False
HippoRAG,2Wiki,DAEC-selective - SetR-style k20,R5_TITLE,0.9015,0.878,1000,0.0235,0.01075,0.03575,0.9999,True
HippoRAG,2Wiki,DAEC - SetR-style k20,EM,0.572,0.572,1000,0.0,-0.024,0.024,0.4827,False
HippoRAG,2Wiki,DAEC - SetR-style k20,F1,0.6431403,0.6408704323454324,1000,0.002269867654567654,-0.020349740112387608,0.0254680083075258,0.5812,False
HippoRAG,2Wiki,DAEC - SetR-style k20,R5_TITLE,0.9015,0.878,1000,0.0235,0.011,0.036,0.9997,True
HippoRAG,2Wiki,SetR-style k20 - Top-5,EM,0.572,0.524,1000,0.048,0.03,0.066,1.0,True
HippoRAG,2Wiki,SetR-style k20 - Top-5,F1,0.6408704323454324,0.5850156999999999,1000,0.055854732345432354,0.038445366107781105,0.07394913557387055,1.0,True
HippoRAG,2Wiki,SetR-style k20 - Top-5,R5_TITLE,0.878,0.832,1000,0.046,0.03625,0.056,1.0,True
HippoRAG,2Wiki,DAEC-selective - Top-5,EM,0.572,0.524,1000,0.048,0.023,0.073,0.9998,True
HippoRAG,2Wiki,DAEC-selective - Top-5,F1,0.6431403,0.5850156999999999,1000,0.058124600000000005,0.0331165675,0.08356452249999997,1.0,True
HippoRAG,2Wiki,DAEC-selective - Top-5,R5_TITLE,0.9015,0.832,1000,0.0695,0.05625,0.0825,1.0,True
HippoRAG,HotpotQA,DAEC-selective - SetR-style k20,EM,0.62,0.625,1000,-0.005,-0.021,0.011,0.2511,False
HippoRAG,HotpotQA,DAEC-selective - SetR-style k20,F1,0.7403479000000001,0.7491136126429471,1000,-0.00876571264294701,-0.023401083902097223,0.005603644477626774,0.1188,False
HippoRAG,HotpotQA,DAEC-selective - SetR-style k20,R5_TITLE,0.952,0.964,1000,-0.012,-0.0215,-0.0025,0.0056,True
HippoRAG,HotpotQA,DAEC - SetR-style k20,EM,0.62,0.625,1000,-0.005,-0.021,0.011,0.2515,False
HippoRAG,HotpotQA,DAEC - SetR-style k20,F1,0.7403479000000001,0.7491136126429471,1000,-0.00876571264294701,-0.022702624119525984,0.005395468373126693,0.1092,False
HippoRAG,HotpotQA,DAEC - SetR-style k20,R5_TITLE,0.952,0.964,1000,-0.012,-0.0215,-0.002487500000000182,0.0067,True
HippoRAG,HotpotQA,SetR-style k20 - Top-5,EM,0.625,0.577,1000,0.048,0.032,0.064,1.0,True
HippoRAG,HotpotQA,SetR-style k20 - Top-5,F1,0.7491136126429471,0.7010463,1000,0.04806731264294701,0.032659677519313327,0.06383290928726673,1.0,True
HippoRAG,HotpotQA,SetR-style k20 - Top-5,R5_TITLE,0.964,0.924,1000,0.04,0.0295,0.051,1.0,True
HippoRAG,HotpotQA,DAEC-selective - Top-5,EM,0.62,0.577,1000,0.043,0.026,0.061,1.0,True
HippoRAG,HotpotQA,DAEC-selective - Top-5,F1,0.7403479000000001,0.7010463,1000,0.0393016,0.024037872499999998,0.055060479999999995,1.0,True
HippoRAG,HotpotQA,DAEC-selective - Top-5,R5_TITLE,0.952,0.924,1000,0.028,0.019,0.037,1.0,True
HippoRAG,MuSiQue,DAEC-selective - SetR-style k20,EM,0.328,0.339,1000,-0.011,-0.035,0.012,0.1648,False
HippoRAG,MuSiQue,DAEC-selective - SetR-style k20,F1,0.420583,0.43905616206196235,1000,-0.01847316206196239,-0.041062002976309485,0.003934601885779632,0.0539,False
HippoRAG,MuSiQue,DAEC-selective - SetR-style k20,R5_TITLE,0.7335,0.74075,1000,-0.00725,-0.02075,0.006333333333333332,0.1409,False
HippoRAG,MuSiQue,DAEC - SetR-style k20,EM,0.317,0.339,1000,-0.022,-0.045,0.001,0.027,False
HippoRAG,MuSiQue,DAEC - SetR-style k20,F1,0.41420320000000005,0.43905616206196235,1000,-0.02485296206196239,-0.04740574147128223,-0.0020344768733583673,0.0161,True
HippoRAG,MuSiQue,DAEC - SetR-style k20,R5_TITLE,0.7261666666666666,0.74075,1000,-0.014583333333333332,-0.02875,-0.00033125000000002917,0.0226,True
HippoRAG,MuSiQue,SetR-style k20 - Top-5,EM,0.339,0.311,1000,0.028,0.005,0.05,0.9919,True
HippoRAG,MuSiQue,SetR-style k20 - Top-5,F1,0.43905616206196235,0.3947078,1000,0.04434836206196239,0.021983603354405988,0.06705475323798045,0.9999,True
HippoRAG,MuSiQue,SetR-style k20 - Top-5,R5_TITLE,0.74075,0.6995833333333332,1000,0.041166666666666664,0.02725,0.05475,1.0,True
HippoRAG,MuSiQue,DAEC-selective - Top-5,EM,0.328,0.311,1000,0.017,-0.004,0.038,0.9349,False
HippoRAG,MuSiQue,DAEC-selective - Top-5,F1,0.420583,0.3947078,1000,0.0258752,0.005422672500000003,0.04626171999999999,0.9923,True
HippoRAG,MuSiQue,DAEC-selective - Top-5,R5_TITLE,0.7335,0.6995833333333332,1000,0.03391666666666667,0.02283333333333333,0.045,1.0,True
PropRAG,2Wiki,DAEC-selective - SetR-style k20,EM,0.642,0.624,1000,0.018,-0.004,0.04,0.9402,False
PropRAG,2Wiki,DAEC-selective - SetR-style k20,F1,0.7118277000000001,0.6936320929070929,1000,0.018195607092907094,-0.0012896981746031756,0.03837580614801864,0.9666,False
PropRAG,2Wiki,DAEC-selective - SetR-style k20,R5_TITLE,0.941,0.9425,1000,-0.0015,-0.012,0.00875,0.3825,False
PropRAG,2Wiki,DAEC - SetR-style k20,EM,0.642,0.624,1000,0.018,-0.003,0.039024999999999636,0.9468,False
PropRAG,2Wiki,DAEC - SetR-style k20,F1,0.7118277000000001,0.6936320929070929,1000,0.018195607092907094,-0.0017194889604839586,0.03834414864052615,0.9641,False
PropRAG,2Wiki,DAEC - SetR-style k20,R5_TITLE,0.941,0.9425,1000,-0.0015,-0.012,0.00875,0.3831,False
PropRAG,2Wiki,SetR-style k20 - Top-5,EM,0.624,0.575,1000,0.049,0.032,0.067,1.0,True
PropRAG,2Wiki,SetR-style k20 - Top-5,F1,0.6936320929070929,0.6457426,1000,0.047889492907092907,0.03177984485292485,0.06406379579032077,1.0,True
PropRAG,2Wiki,SetR-style k20 - Top-5,R5_TITLE,0.9425,0.90275,1000,0.03975,0.03075,0.04875,1.0,True
PropRAG,2Wiki,DAEC-selective - Top-5,EM,0.642,0.575,1000,0.067,0.044,0.09,1.0,True
PropRAG,2Wiki,DAEC-selective - Top-5,F1,0.7118277000000001,0.6457426,1000,0.0660851,0.04392022500000001,0.08828954500000001,1.0,True
PropRAG,2Wiki,DAEC-selective - Top-5,R5_TITLE,0.941,0.90275,1000,0.03825,0.0265,0.05,1.0,True
PropRAG,HotpotQA,DAEC-selective - SetR-style k20,EM,0.62,0.629,1000,-0.009,-0.025,0.007,0.1246,False
PropRAG,HotpotQA,DAEC-selective - SetR-style k20,F1,0.7473044,0.7551750575705685,1000,-0.007870657570568408,-0.022554059419048443,0.006700661602302055,0.1355,False
PropRAG,HotpotQA,DAEC-selective - SetR-style k20,R5_TITLE,0.9625,0.9735,1000,-0.011,-0.02,-0.002,0.0062,True
