pilot_slice,policy,missing_gold_titles,queries,expanded_recall_at_5,expanded_recall_at_10,expanded_recall_at_20,expanded_recall_at_50,expanded_recall_at_100,final_new_at_5,pool_absent_recovery_at_100,mean_retrieval_calls,mean_slot_coverage,mean_rank_improvement_vs_source
source_pool_absent,fixed_pool_top100,25,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
source_pool_absent,rank_expansion,25,19,0.08,0.12,0.16,0.2,0.28,0.08,0.28,1.0,0.0,0.0
source_pool_absent,independent_demand,25,19,0.08,0.08,0.16,0.28,0.28,0.08,0.28,3.12,1.0,0.0
source_pool_absent,context_iterative_lite,25,19,0.08,0.12,0.12,0.12,0.12,0.08,0.12,4.0,0.0,0.0
source_pool_absent,dbir_det,25,19,0.08,0.08,0.12,0.12,0.12,0.08,0.12,3.12,1.0,0.0
source_visible_not_rank_or_dbec,fixed_pool_top100,86,62,0.03488372093023256,0.20930232558139536,0.45348837209302323,0.7558139534883721,1.0,0.023255813953488372,0.0,0.0,0.0,3.895348837209302
source_visible_not_rank_or_dbec,rank_expansion,86,62,0.05813953488372093,0.06976744186046512,0.09302325581395349,0.1511627906976744,0.20930232558139536,0.05813953488372093,0.0,1.0,0.0,-10.11111111111111
source_visible_not_rank_or_dbec,independent_demand,86,62,0.023255813953488372,0.046511627906976744,0.09302325581395349,0.09302325581395349,0.09302325581395349,0.023255813953488372,0.0,2.9302325581395348,0.997093023255814,19.0
source_visible_not_rank_or_dbec,context_iterative_lite,86,62,0.05813953488372093,0.06976744186046512,0.18604651162790697,0.19767441860465115,0.19767441860465115,0.05813953488372093,0.0,4.0,0.0,1.7647058823529411
source_visible_not_rank_or_dbec,dbir_det,86,62,0.023255813953488372,0.046511627906976744,0.1511627906976744,0.18604651162790697,0.18604651162790697,0.023255813953488372,0.0,2.9302325581395348,1.0,3.25
