pilot_slice,policy,missing_gold_titles,queries,expanded_recall_at_5,expanded_recall_at_10,expanded_recall_at_20,expanded_recall_at_50,expanded_recall_at_100,final_new_at_5,pool_absent_recovery_at_100,mean_retrieval_calls,mean_slot_coverage,mean_rank_improvement_vs_source
source_pool_absent,fixed_pool_top100,25,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
source_pool_absent,rank_expansion,25,19,0.08,0.12,0.16,0.2,0.28,0.08,0.28,1.0,0.0,0.0
source_pool_absent,independent_demand,25,19,0.08,0.08,0.16,0.28,0.28,0.08,0.28,3.12,1.0,0.0
source_pool_absent,context_iterative_lite,25,19,0.08,0.12,0.12,0.12,0.12,0.08,0.12,4.0,0.0,0.0
source_pool_absent,dbir_det,25,19,0.08,0.08,0.12,0.12,0.12,0.08,0.12,3.12,1.0,0.0
source_visible_not_rank_or_dbec,fixed_pool_top100,96,72,0.03125,0.1875,0.4375,0.7291666666666666,1.0,0.020833333333333332,0.0,0.0,0.0,3.96875
source_visible_not_rank_or_dbec,rank_expansion,96,72,0.052083333333333336,0.07291666666666667,0.09375,0.14583333333333334,0.20833333333333334,0.052083333333333336,0.0,1.0,0.0,-7.4
source_visible_not_rank_or_dbec,independent_demand,96,72,0.020833333333333332,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.020833333333333332,0.0,2.9479166666666665,0.9973958333333334,19.0
source_visible_not_rank_or_dbec,context_iterative_lite,96,72,0.052083333333333336,0.07291666666666667,0.17708333333333334,0.19791666666666666,0.19791666666666666,0.052083333333333336,0.0,4.0,0.0,4.526315789473684
source_visible_not_rank_or_dbec,dbir_det,96,72,0.020833333333333332,0.041666666666666664,0.13541666666666666,0.16666666666666666,0.16666666666666666,0.020833333333333332,0.0,2.9479166666666665,1.0,3.25
