qid,query_idx,query_type,category,hard_negative_type,candidate_index,title,rank,rank_bucket,q_doc_cosine,answer_in_doc,bridge_entity_in_doc,question_token_coverage
83bf3b5a0bd911eba7f7acde48001122,0,compositional,rank_retained_non_gold,,1,Teutberga,2.0,outside,0.32264983654022217,0.0,0.0,0.16666666666666666
83bf3b5a0bd911eba7f7acde48001122,0,compositional,rank_retained_non_gold,,2,"Bertha, daughter of Lothair II",3.0,outside,0.5402637720108032,0.0,0.0,0.16666666666666666
83bf3b5a0bd911eba7f7acde48001122,0,compositional,rank_removed_non_gold,,4,Waldrada of Lotharingia,5.0,outside,0.15708106756210327,0.0,0.0,0.16666666666666666
83bf3b5a0bd911eba7f7acde48001122,0,compositional,selector_added_non_gold,low_signal_deep_negative,5,Theobald of Arles,6.0,6-10,0.21177726984024048,0.0,0.0,0.16666666666666666
a80d84e7096d11ebbdb0ac1f6bf848b6,1,comparison,rank_removed_non_gold,,2,John Jaffer Janardhanan,3.0,outside,-0.1568807065486908,0.0,0.0,0.0
a80d84e7096d11ebbdb0ac1f6bf848b6,1,comparison,rank_retained_non_gold,,3,Kishore Sahu,4.0,outside,0.4355913996696472,0.0,0.0,0.3
a80d84e7096d11ebbdb0ac1f6bf848b6,1,comparison,rank_removed_non_gold,,4,Aansoo Ban Gaye Phool,5.0,outside,0.3117119073867798,0.0,0.0,0.1
a80d84e7096d11ebbdb0ac1f6bf848b6,1,comparison,selector_added_non_gold,low_signal_deep_negative,13,Poola Rangadu,14.0,11-20,0.012018360197544098,0.0,0.0,0.3
a80d84e7096d11ebbdb0ac1f6bf848b6,1,comparison,selector_added_non_gold,low_signal_deep_negative,15,Hrishikesh Mukherjee,16.0,11-20,0.14326101541519165,0.0,0.0,0.2
2dc690ba0bdc11eba7f7acde48001122,2,compositional,rank_retained_non_gold,,1,Carly Rae Jepsen,2.0,outside,0.3349195122718811,0.0,0.0,0.5
2dc690ba0bdc11eba7f7acde48001122,2,compositional,rank_retained_non_gold,,2,Did It On'em,3.0,outside,0.24908967316150665,0.0,1.0,0.5
2dc690ba0bdc11eba7f7acde48001122,2,compositional,rank_retained_non_gold,,3,Andrew Allen (singer),4.0,outside,0.23111839592456818,0.0,0.0,0.1
2dc690ba0bdc11eba7f7acde48001122,2,compositional,rank_removed_non_gold,,4,Dip (song),5.0,outside,0.12643001973628998,0.0,1.0,0.5
2dc690ba0bdc11eba7f7acde48001122,2,compositional,selector_added_non_gold,semantic_hard_negative,8,Yella Beezy,9.0,6-10,0.3180680274963379,0.0,0.0,0.3
462bb642099211ebbdb0ac1f6bf848b6,3,comparison,rank_removed_non_gold,,2,"Ampelakia, Evros",3.0,outside,0.27774956822395325,1.0,0.0,0.3
462bb642099211ebbdb0ac1f6bf848b6,3,comparison,rank_retained_non_gold,,3,Radisele,4.0,outside,0.3375775218009949,0.0,0.0,0.5
462bb642099211ebbdb0ac1f6bf848b6,3,comparison,rank_removed_non_gold,,4,Where Was I,5.0,outside,0.06413625925779343,0.0,0.0,0.0
462bb642099211ebbdb0ac1f6bf848b6,3,comparison,selector_added_non_gold,answer_string_distractor,5,Qaleh-ye Zaras,6.0,6-10,0.06126148998737335,1.0,1.0,0.3
462bb642099211ebbdb0ac1f6bf848b6,3,comparison,selector_added_non_gold,bridge_entity_distractor,6,"Gohar, Iran",7.0,6-10,0.3654055893421173,0.0,1.0,0.2
a1cdb240085811ebbd5bac1f6bf848b6,4,bridge_comparison,rank_removed_non_gold,,3,Altid ballade,4.0,outside,0.2547184228897095,0.0,1.0,0.5555555555555556
a1cdb240085811ebbd5bac1f6bf848b6,4,bridge_comparison,selector_added_non_gold,low_signal_deep_negative,6,Bjarne Henning-Jensen,7.0,6-10,0.22923313081264496,0.0,0.0,0.16666666666666666
6718770a087311ebbd66ac1f6bf848b6,5,bridge_comparison,rank_removed_non_gold,,3,Toto and Cleopatra,4.0,outside,-0.17368867993354797,0.0,0.0,0.07142857142857142
6718770a087311ebbd66ac1f6bf848b6,5,bridge_comparison,selector_added_non_gold,lexical_hard_negative,8,Victor Sjöström,9.0,6-10,0.15509268641471863,0.0,0.0,0.35714285714285715
7f7046d308f711ebbdaaac1f6bf848b6,6,comparison,rank_removed_non_gold,,2,Dugès,3.0,outside,0.13457772135734558,0.0,0.0,0.0
7f7046d308f711ebbdaaac1f6bf848b6,6,comparison,rank_retained_non_gold,,3,Jonny Greenwood,4.0,outside,0.21546444296836853,0.0,0.0,0.45454545454545453
7f7046d308f711ebbdaaac1f6bf848b6,6,comparison,rank_removed_non_gold,,4,Where Was I,5.0,outside,0.0894084945321083,0.0,0.0,0.09090909090909091
7f7046d308f711ebbdaaac1f6bf848b6,6,comparison,selector_added_non_gold,lexical_hard_negative,5,Sammy Hagar,6.0,6-10,0.1326303333044052,0.0,0.0,0.36363636363636365
7f7046d308f711ebbdaaac1f6bf848b6,6,comparison,selector_added_non_gold,lexical_hard_negative,12,Svante Stensson Sture,13.0,11-20,0.1790226399898529,0.0,0.0,0.36363636363636365
9fe6a6760baf11ebab90acde48001122,7,inference,rank_retained_non_gold,,2,Dáire Drechlethan,3.0,outside,0.06442448496818542,0.0,0.0,0.375
9fe6a6760baf11ebab90acde48001122,7,inference,rank_removed_non_gold,,3,Takayama Tomoteru,4.0,outside,0.3213427662849426,0.0,0.0,0.0
9fe6a6760baf11ebab90acde48001122,7,inference,rank_removed_non_gold,,4,Amy of Garmoran,5.0,outside,0.464649498462677,0.0,0.0,0.375
9fe6a6760baf11ebab90acde48001122,7,inference,selector_added_non_gold,lexical_hard_negative,6,Comgall mac Domangairt,7.0,6-10,0.1017175167798996,0.0,0.0,0.125
9fe6a6760baf11ebab90acde48001122,7,inference,selector_added_non_gold,lexical_hard_negative,9,Domnall mac Caustantín,10.0,6-10,0.229649156332016,0.0,0.0,0.375
551e024408a611ebbd7fac1f6bf848b6,8,bridge_comparison,rank_removed_non_gold,,3,Spring Handicap,4.0,outside,0.05160357058048248,0.0,0.0,0.3125
551e024408a611ebbd7fac1f6bf848b6,8,bridge_comparison,rank_retained_non_gold,,4,Safe (2012 film),5.0,outside,0.16873903572559357,0.0,0.0,0.25
551e024408a611ebbd7fac1f6bf848b6,8,bridge_comparison,selector_added_non_gold,lexical_hard_negative,8,Luke Goss,9.0,6-10,0.145445317029953,0.0,0.0,0.4375
33f51d7e0bde11eba7f7acde48001122,9,compositional,rank_retained_non_gold,,1,Lasse Hallström,2.0,outside,0.2797833979129791,0.0,0.0,0.4444444444444444
33f51d7e0bde11eba7f7acde48001122,9,compositional,rank_removed_non_gold,,3,Tiger Cage (film),4.0,outside,0.02754489704966545,0.0,0.0,0.4444444444444444
33f51d7e0bde11eba7f7acde48001122,9,compositional,rank_retained_non_gold,,4,Wisit Sasanatieng,5.0,outside,0.23206624388694763,1.0,0.0,0.5555555555555556
33f51d7e0bde11eba7f7acde48001122,9,compositional,selector_added_non_gold,lexical_hard_negative,11,Juan Bustillo Oro,12.0,11-20,0.2716118097305298,0.0,0.0,0.4444444444444444
914b452c0bdc11eba7f7acde48001122,10,compositional,rank_retained_non_gold,,2,Pál Gábor,3.0,outside,0.2523147761821747,0.0,0.0,0.4166666666666667
914b452c0bdc11eba7f7acde48001122,10,compositional,rank_retained_non_gold,,3,Rachel Feldman,4.0,outside,0.2885022759437561,0.0,0.0,0.3333333333333333
914b452c0bdc11eba7f7acde48001122,10,compositional,rank_removed_non_gold,,4,Claude Weisz,5.0,outside,0.1577916443347931,0.0,0.0,0.3333333333333333
914b452c0bdc11eba7f7acde48001122,10,compositional,selector_added_non_gold,lexical_hard_negative,11,Place of birth,12.0,11-20,0.4691975712776184,0.0,0.0,0.5
d6898f78089511ebbd75ac1f6bf848b6,11,comparison,rank_retained_non_gold,,2,Michał Przysiężny,3.0,outside,0.17340020835399628,0.0,0.0,0.2
d6898f78089511ebbd75ac1f6bf848b6,11,comparison,rank_retained_non_gold,,3,Princess Maria of Greece and Denmark,4.0,outside,0.21272768080234528,0.0,0.0,0.4
d6898f78089511ebbd75ac1f6bf848b6,11,comparison,rank_removed_non_gold,,4,Abdul-Vahed Niyazov,5.0,outside,0.3217339515686035,0.0,0.0,0.0
d6898f78089511ebbd75ac1f6bf848b6,11,comparison,selector_added_non_gold,lexical_hard_negative,17,Andrey Vilkitsky,18.0,11-20,0.23909319937229156,0.0,0.0,0.4
006d81bc0bde11eba7f7acde48001122,12,compositional,rank_retained_non_gold,,1,Something Worth Leaving Behind (song),2.0,outside,-0.1016353964805603,1.0,0.0,0.36363636363636365
006d81bc0bde11eba7f7acde48001122,12,compositional,rank_retained_non_gold,,2,Forever Everyday,3.0,outside,0.06531654298305511,1.0,0.0,0.2727272727272727
006d81bc0bde11eba7f7acde48001122,12,compositional,rank_retained_non_gold,,3,You've Got a Good Love Comin' (song),4.0,outside,0.14899654686450958,1.0,0.0,0.2727272727272727
006d81bc0bde11eba7f7acde48001122,12,compositional,rank_removed_non_gold,,4,Andrea Corr,5.0,outside,0.5505838394165039,0.0,0.0,0.6363636363636364
006d81bc0bde11eba7f7acde48001122,12,compositional,selector_added_gold,,5,Ryan Adams,6.0,6-10,0.2061004936695099,1.0,1.0,0.2727272727272727
f5e3b9ca0bdb11eba7f7acde48001122,13,compositional,rank_retained_non_gold,,1,Fred Foster,2.0,outside,0.288260281085968,0.0,1.0,0.6363636363636364
f5e3b9ca0bdb11eba7f7acde48001122,13,compositional,rank_retained_non_gold,,2,Janis Joplin,3.0,outside,0.33198678493499756,0.0,0.0,0.7272727272727273
f5e3b9ca0bdb11eba7f7acde48001122,13,compositional,rank_retained_non_gold,,4,Semi-Tough,5.0,outside,0.024144664406776428,0.0,0.0,0.45454545454545453
265daf200bdc11eba7f7acde48001122,14,compositional,rank_removed_non_gold,,1,The Private Life of Louis XIV,2.0,outside,0.08833318203687668,0.0,0.0,0.3
