dataset,query_idx,step,out_position,out_title,in_position,in_title,objective_gain,retriever_rank_loss,adjusted_gain
2wikimultihopqa,3,1,1,Ismail I,11,Abdul-Vahed Niyazov,0.060463,0.552764,0.060463
2wikimultihopqa,5,1,1,Charlie Day,6,John Francis Dillon (director),0.25,0.527638,0.25
2wikimultihopqa,5,2,3,Heart (1987 film),31,Fernando Cortés,0.224133,0.643216,0.224133
2wikimultihopqa,6,1,1,Eric XIV of Sweden,27,Jeff Barlow,0.021799,0.633166,0.021799
2wikimultihopqa,7,1,2,Dáire Drechlethan,36,John Templeton (botanist),0.333333,0.673367,0.333333
2wikimultihopqa,8,1,3,The Umbrella Coup,21,Frank Launder,0.25,0.592965,0.25
2wikimultihopqa,18,1,3,The Past of Mary Holmes,65,Clarence Brown,0.25,0.81407,0.25
2wikimultihopqa,30,1,3,Victor Sjöström,21,William Duncan (actor),0.18272,0.592965,0.18272
2wikimultihopqa,31,1,2,"Otto I, Count of Burgundy",20,"Frederick I, Holy Roman Emperor",0.5,0.592965,0.5
2wikimultihopqa,34,1,1,Anthony Mann,56,David Bradley (director),0.5,0.778894,0.5
2wikimultihopqa,35,1,2,Ola Isene,42,Edward Francis Burney,0.004759,0.703518,0.004759
2wikimultihopqa,37,1,3,Werner Herzog,21,Georges Lautner,0.14912,0.592965,0.14912
2wikimultihopqa,39,1,1,Margaret of Masovia,92,Health and intelligence,0.037685,0.959799,0.037685
2wikimultihopqa,41,1,3,Henry King (director),21,Lina Wertmüller,0.149921,0.592965,0.149921
2wikimultihopqa,42,1,2,Harold D. Schuster,17,Charles Arthur Tabberer,0.008343,0.577889,0.008343
2wikimultihopqa,43,1,1,Alex Cox,11,Juzo Itami,0.25,0.552764,0.25
2wikimultihopqa,46,1,1,Low Deep T,87,Place of birth,0.016148,0.934673,0.016148
2wikimultihopqa,51,1,2,"John George II, Duke of Saxe-Eisenach",13,Duke Alexander of Württemberg (1804–1885),0.017333,0.557789,0.017333
2wikimultihopqa,54,1,1,Antonio Rinaldi (cinematographer),53,"Derek Moore-Brabazon, 2nd Baron Brabazon of Tara",3.9e-05,0.763819,3.9e-05
2wikimultihopqa,57,1,3,Bertrand Tavernier,16,Laurent Tirard,0.25,0.567839,0.25
2wikimultihopqa,58,1,1,Elvis Presley,7,"Karl, Prince of Leiningen",0.000594,0.532663,0.000594
2wikimultihopqa,59,1,1,Joseph Ferdinand of Bavaria,9,Infanta María de la Paz of Spain,0.5,0.542714,0.5
2wikimultihopqa,66,1,3,"Love, Honor, and Oh Baby!",29,Charles Lamont,0.248009,0.633166,0.248009
2wikimultihopqa,68,1,1,Friday the 13th (1916 film),64,Invasion of the Neptune Men,0.031466,0.819095,0.031466
2wikimultihopqa,72,1,1,Salin Mibaya,78,Place of birth,0.049056,0.889447,0.049056
2wikimultihopqa,73,1,4,The I Inside,5,The Room,0.074535,0.507538,0.074535
2wikimultihopqa,73,2,1,The Room (film),6,In the Room,2e-06,0.527638,2e-06
2wikimultihopqa,74,1,1,Frederic Zelnik,13,Marco Ferreri,0.25,0.562814,0.25
2wikimultihopqa,74,2,3,The Marriage of Krechinsky,14,Konrad Wolf,0.25,0.557789,0.25
2wikimultihopqa,75,1,3,Return to Return to Nuke 'Em High AKA Volume 2,20,Po-Chih Leong,0.25,0.58794,0.25
2wikimultihopqa,76,1,2,Pirates of the Coast,17,A House of Sand,0.017259,0.577889,0.017259
2wikimultihopqa,77,1,3,Dead Man's Eyes,21,Melville W. Brown,0.236027,0.592965,0.236027
2wikimultihopqa,79,1,2,Aarno Sulkanen,8,Nina Cook Silitch,0.005578,0.532663,0.005578
2wikimultihopqa,81,1,2,Alberto Falcón,29,William Rose Benét,0.004326,0.638191,0.004326
2wikimultihopqa,82,1,1,"Albert, Count of Chiny",8,Nicholas the Small,0.5,0.537688,0.5
2wikimultihopqa,86,1,2,Tifanie Christun,32,William Rose Benét,0.005198,0.653266,0.005198
2wikimultihopqa,87,1,1,Andrea Bianchi,21,Aleksander Ford,0.17386,0.603015,0.17386
2wikimultihopqa,88,1,2,Carolina Sanchez,13,Abdul-Vahed Niyazov,0.003484,0.557789,0.003484
2wikimultihopqa,93,1,3,Stanley Kwan,26,Yvan Chiffre,0.25,0.61809,0.25
2wikimultihopqa,94,1,1,Alexander the Great,21,Socrates,0.5,0.603015,0.5
2wikimultihopqa,95,1,1,DJ Clue,5,Nomi Ruiz,0.5,0.522613,0.5
2wikimultihopqa,96,1,1,Gus Meins,16,Chloé Robichaud,0.25,0.577889,0.25
2wikimultihopqa,96,2,3,Johnny on the Run,24,Walter Hugo Khouri,0.19534,0.60804,0.19534
2wikimultihopqa,97,1,2,Ek Hi Bhool,74,George Pearson (filmmaker),0.25,0.864322,0.25
2wikimultihopqa,98,1,3,The Wedding Chest,10,Henry King (director),0.25,0.537688,0.25
2wikimultihopqa,100,1,1,Anna of Brunswick-Grubenhagen-Einbeck,9,"Albert III, Duke of Bavaria",0.333333,0.542714,0.333333
2wikimultihopqa,100,2,2,Margaret Paleologa,17,"Maximilian II Emanuel, Elector of Bavaria",0.333333,0.577889,0.333333
2wikimultihopqa,101,1,3,Daleks' Invasion Earth 2150 A.D.,7,Gordon Flemyng,0.25,0.522613,0.25
2wikimultihopqa,102,1,2,Such a Little Pirate,6,The Pirate (1984 film),0.005527,0.522613,0.005527
2wikimultihopqa,103,1,1,Harold D. Schuster,63,Reunion (1936 film),0.010688,0.81407,0.010688
2wikimultihopqa,108,1,2,Shahadat Chowdhury,22,Wang Shusen,0.000714,0.603015,0.000714
2wikimultihopqa,111,1,1,Ray Nazarro,5,Henry Hathaway,0.25,0.522613,0.25
2wikimultihopqa,111,2,3,Bury Me Not on the Lone Prairie (film),60,Ray Taylor (director),0.246801,0.788945,0.246801
2wikimultihopqa,112,1,1,Bertrand Tavernier,56,Claude Weisz,0.25,0.778894,0.25
2wikimultihopqa,113,1,1,Machu Kunturi,54,Boy or Girl?,0.034838,0.768844,0.034838
2wikimultihopqa,116,1,2,Mark Pellington,6,Do You Believe?,0.002609,0.522613,0.002609
2wikimultihopqa,118,1,3,Sam Wood,12,Roland Joffé,0.233523,0.547739,0.233523
2wikimultihopqa,121,1,1,Dinu Cocea,20,Richard Sale (director),0.25,0.59799,0.25
2wikimultihopqa,121,2,3,My Wife's Enemy,59,Elisabeta Bostan,0.25,0.78392,0.25
2wikimultihopqa,123,1,1,Thomas Morse,8,Amedeo Escobar,0.5,0.537688,0.5
2wikimultihopqa,126,1,2,Dáire Drechlethan,38,John Templeton (botanist),0.333333,0.683417,0.333333
2wikimultihopqa,127,1,1,Ralph L. Thomas,58,El Festín de Satanás,0.008039,0.788945,0.008039
2wikimultihopqa,128,1,1,Marie Émilie de Joly de Choin,36,"John George II, Duke of Saxe-Eisenach",0.333333,0.678392,0.333333
