dataset,method,queries,support_recall_at_5,support_complete_at_5,parse_ok_rate,prompt_no_think_rate,mean_selected_count
2Wiki,dbec_selective,1000,0.941,0.863,,,
2Wiki,rankgpt_rank5_no_think,1000,0.8965,0.787,1.0,1.0,4.975
2Wiki,rankgpt_select5_no_think,1000,0.88525,0.752,1.0,1.0,4.999
2Wiki,setr_faithful,1000,0.9425,0.855,,,
2Wiki,source_order,1000,0.90275,0.772,,,
HotpotQA,dbec_selective,1000,0.9625,0.93,,,
HotpotQA,rankgpt_rank5_no_think,1000,0.866,0.762,1.0,1.0,4.986
HotpotQA,rankgpt_select5_no_think,1000,0.85,0.733,1.0,1.0,4.995
HotpotQA,setr_faithful,1000,0.9735,0.949,,,
HotpotQA,source_order,1000,0.952,0.907,,,
MuSiQue,dbec_selective,1000,0.774499999999999,0.527,,,
MuSiQue,rankgpt_rank5_no_think,1000,0.6581666666666669,0.374,1.0,1.0,4.989
MuSiQue,rankgpt_select5_no_think,1000,0.6520833333333331,0.366,1.0,1.0,4.999
MuSiQue,setr_faithful,1000,0.7836666666666655,0.542,,,
MuSiQue,source_order,1000,0.7377499999999994,0.483,,,
