dataset,method,queries,support_recall_at_5,support_complete_at_5,parse_ok_rate,prompt_no_think_rate,mean_selected_count
2Wiki,dbec_selective,1000,0.941,0.863,,,
2Wiki,rankgpt_rank5_no_think,1000,0.80225,0.59,1.0,1.0,4.968
2Wiki,rankgpt_select5_no_think,1000,0.822,0.625,1.0,1.0,4.994
2Wiki,setr_faithful,1000,0.9425,0.855,,,
2Wiki,source_order,1000,0.90275,0.772,,,
HotpotQA,dbec_selective,1000,0.9625,0.93,,,
HotpotQA,rankgpt_rank5_no_think,1000,0.7655,0.57,1.0,1.0,4.979
HotpotQA,rankgpt_select5_no_think,1000,0.7775,0.606,1.0,1.0,4.996
HotpotQA,setr_faithful,1000,0.9735,0.949,,,
HotpotQA,source_order,1000,0.952,0.907,,,
MuSiQue,dbec_selective,1000,0.774499999999999,0.527,,,
MuSiQue,rankgpt_rank5_no_think,1000,0.5878333333333333,0.27,1.0,1.0,4.985
MuSiQue,rankgpt_select5_no_think,1000,0.612333333333334,0.321,1.0,1.0,5.0
MuSiQue,setr_faithful,1000,0.7836666666666655,0.542,,,
MuSiQue,source_order,1000,0.7377499999999994,0.483,,,
