dataset,method,queries,support_recall_at_5,support_complete_at_5,parse_ok_rate,prompt_no_think_rate,mean_selected_count
2Wiki,dbec_selective,100,0.94,0.89,,,
2Wiki,rankgpt_rank5_no_think,100,0.8175,0.6,1.0,1.0,4.96
2Wiki,rankgpt_select5_no_think,100,0.8575,0.71,1.0,1.0,5.0
2Wiki,setr_faithful,100,0.96,0.9,,,
2Wiki,source_order,100,0.935,0.85,,,
HotpotQA,dbec_selective,100,0.95,0.9,,,
HotpotQA,rankgpt_rank5_no_think,100,0.8,0.63,1.0,1.0,4.96
HotpotQA,rankgpt_select5_no_think,100,0.775,0.61,1.0,1.0,5.0
HotpotQA,setr_faithful,100,0.97,0.94,,,
HotpotQA,source_order,100,0.945,0.89,,,
MuSiQue,dbec_selective,100,0.7508333333333331,0.47,,,
MuSiQue,rankgpt_rank5_no_think,100,0.5716666666666668,0.29,1.0,1.0,4.97
MuSiQue,rankgpt_select5_no_think,100,0.5983333333333334,0.35,1.0,1.0,5.0
MuSiQue,setr_faithful,100,0.7633333333333333,0.47,,,
MuSiQue,source_order,100,0.695,0.4,,,
