dataset,method,queries,support_recall_at_5,support_complete_at_5,parse_ok_rate,prompt_no_think_rate,mean_selected_count
2Wiki,dbec_selective,5,0.85,0.6,,,
2Wiki,rankgpt_rank5_no_think,5,0.85,0.6,1.0,1.0,5.0
2Wiki,rankgpt_select5_no_think,5,0.85,0.6,1.0,1.0,5.0
2Wiki,setr_faithful,5,0.9,0.8,,,
2Wiki,source_order,5,0.9,0.8,,,
HotpotQA,dbec_selective,5,1.0,1.0,,,
HotpotQA,rankgpt_rank5_no_think,5,1.0,1.0,1.0,1.0,5.0
HotpotQA,rankgpt_select5_no_think,5,0.9,0.8,1.0,1.0,5.0
HotpotQA,setr_faithful,5,1.0,1.0,,,
HotpotQA,source_order,5,1.0,1.0,,,
MuSiQue,dbec_selective,5,0.9,0.8,,,
MuSiQue,rankgpt_rank5_no_think,5,0.7333333333333333,0.6,1.0,1.0,5.0
MuSiQue,rankgpt_select5_no_think,5,0.8333333333333333,0.6,1.0,1.0,5.0
MuSiQue,setr_faithful,5,0.8333333333333333,0.6,,,
MuSiQue,source_order,5,0.6333333333333333,0.4,,,
