dataset,slice,n,min_gold_doc_count,max_gold_doc_count,mean_gold_doc_count,comparison,metric,left_mean,right_mean,delta_mean,ci_low,ci_high,p_delta_gt_0,ci_excludes_zero
2Wiki,all,1000,2,4,2.47,DAEC-selective - RankGPT-style sliding,EM,0.642,0.602,0.04,0.018,0.062,0.9998,True
2Wiki,all,1000,2,4,2.47,DAEC-selective - RankGPT-style sliding,F1,0.7118277000000001,0.6658764652014652,0.0459512347985348,0.023970974584859583,0.06723131434065935,1.0,True
2Wiki,all,1000,2,4,2.47,DAEC-selective - RankGPT-style sliding,R5_TITLE,0.941,0.91175,0.02925,0.01575,0.043,1.0,True
2Wiki,all,1000,2,4,2.47,SetR-faithful - RankGPT-style sliding,EM,0.603,0.602,0.001,-0.022,0.024,0.5161,False
2Wiki,all,1000,2,4,2.47,SetR-faithful - RankGPT-style sliding,F1,0.6746146325896326,0.6658764652014652,0.008738167388167387,-0.014101029942279943,0.03189951659451659,0.7708,False
2Wiki,all,1000,2,4,2.47,SetR-faithful - RankGPT-style sliding,R5_TITLE,0.884,0.91175,-0.02775,-0.042,-0.01375,0.0001,True
2Wiki,all,1000,2,4,2.47,DAEC-selective - SetR-faithful,EM,0.642,0.603,0.039,0.015,0.063,0.9994,True
2Wiki,all,1000,2,4,2.47,DAEC-selective - SetR-faithful,F1,0.7118277000000001,0.6746146325896326,0.03721306741036741,0.015432672370684873,0.05930198444777444,0.9995,True
2Wiki,all,1000,2,4,2.47,DAEC-selective - SetR-faithful,R5_TITLE,0.941,0.884,0.057,0.04325,0.07075,1.0,True
2Wiki,gold_doc_count=2,765,2,2,2.0,DAEC-selective - RankGPT-style sliding,EM,0.5581699346405229,0.5241830065359477,0.03398692810457516,0.00784313725490196,0.06013071895424837,0.9941,True
2Wiki,gold_doc_count=2,765,2,2,2.0,DAEC-selective - RankGPT-style sliding,F1,0.6494469281045752,0.6072459240106299,0.042201004093945275,0.017592310864516746,0.06709452013454954,0.9998,True
2Wiki,gold_doc_count=2,765,2,2,2.0,DAEC-selective - RankGPT-style sliding,R5_TITLE,0.9444444444444444,0.9137254901960784,0.03071895424836601,0.01437908496732026,0.047058823529411764,0.9998,True
2Wiki,gold_doc_count=2,765,2,2,2.0,SetR-faithful - RankGPT-style sliding,EM,0.5529411764705883,0.5241830065359477,0.02875816993464052,0.006535947712418301,0.05228758169934641,0.9929,True
2Wiki,gold_doc_count=2,765,2,2,2.0,SetR-faithful - RankGPT-style sliding,F1,0.6449573991730855,0.6072459240106299,0.03771147516245555,0.014417730054984956,0.06131136764470095,0.9998,True
2Wiki,gold_doc_count=2,765,2,2,2.0,SetR-faithful - RankGPT-style sliding,R5_TITLE,0.9150326797385621,0.9137254901960784,0.00130718954248366,-0.01437908496732026,0.01699346405228758,0.5438,False
2Wiki,gold_doc_count=2,765,2,2,2.0,DAEC-selective - SetR-faithful,EM,0.5581699346405229,0.5529411764705883,0.00522875816993464,-0.0196078431372549,0.030065359477124184,0.6476,False
2Wiki,gold_doc_count=2,765,2,2,2.0,DAEC-selective - SetR-faithful,F1,0.6494469281045752,0.6449573991730855,0.0044895289314897165,-0.01847834280715653,0.02726778697772815,0.6454,False
2Wiki,gold_doc_count=2,765,2,2,2.0,DAEC-selective - SetR-faithful,R5_TITLE,0.9444444444444444,0.9150326797385621,0.029411764705882353,0.01437908496732026,0.044444444444444446,0.9999,True
2Wiki,gold_doc_count>=3,235,4,4,4.0,DAEC-selective - RankGPT-style sliding,EM,0.9148936170212766,0.8553191489361702,0.059574468085106386,0.01276595744680851,0.10638297872340426,0.9942,True
