dataset,comparison,metric,left_mean,right_mean,n,delta_mean,ci_low,ci_high,p_delta_gt_0,ci_excludes_zero
2Wiki,DAEC-selective - RankGPT-style sliding,EM,0.642,0.602,1000,0.04,0.017,0.063,0.9995,True
2Wiki,DAEC-selective - RankGPT-style sliding,F1,0.7118277000000001,0.6658764652014652,1000,0.0459512347985348,0.02435153598595849,0.06741990259768009,1.0,True
2Wiki,DAEC-selective - RankGPT-style sliding,R5_TITLE,0.941,0.91175,1000,0.02925,0.01575,0.043,1.0,True
2Wiki,SetR-faithful - RankGPT-style sliding,EM,0.603,0.602,1000,0.001,-0.022,0.024,0.5145,False
2Wiki,SetR-faithful - RankGPT-style sliding,F1,0.6746146325896326,0.6658764652014652,1000,0.008738167388167387,-0.013852050865800868,0.031641787518037506,0.7732,False
2Wiki,SetR-faithful - RankGPT-style sliding,R5_TITLE,0.884,0.91175,1000,-0.02775,-0.04225,-0.01375,0.0,True
2Wiki,DAEC-selective - SetR-faithful,EM,0.642,0.603,1000,0.039,0.016,0.063,0.9996,True
2Wiki,DAEC-selective - SetR-faithful,F1,0.7118277000000001,0.6746146325896326,1000,0.03721306741036741,0.014884901784881784,0.059836945659340654,0.9996,True
2Wiki,DAEC-selective - SetR-faithful,R5_TITLE,0.941,0.884,1000,0.057,0.0435,0.0705,1.0,True
HotpotQA,DAEC-selective - RankGPT-style sliding,EM,0.62,0.566,1000,0.054,0.033,0.075,1.0,True
HotpotQA,DAEC-selective - RankGPT-style sliding,F1,0.7473044,0.6844810404765513,1000,0.0628233595234487,0.041799097311542945,0.08375577119117639,1.0,True
HotpotQA,DAEC-selective - RankGPT-style sliding,R5_TITLE,0.9625,0.8805,1000,0.082,0.0665,0.097,1.0,True
HotpotQA,SetR-faithful - RankGPT-style sliding,EM,0.625,0.566,1000,0.059,0.037,0.081,1.0,True
HotpotQA,SetR-faithful - RankGPT-style sliding,F1,0.7434934946890055,0.6844810404765513,1000,0.05901245421245421,0.038003276723276726,0.08023920815295815,1.0,True
HotpotQA,SetR-faithful - RankGPT-style sliding,R5_TITLE,0.9245,0.8805,1000,0.044,0.0275,0.0605,1.0,True
HotpotQA,DAEC-selective - SetR-faithful,EM,0.62,0.625,1000,-0.005,-0.025,0.015,0.292,False
HotpotQA,DAEC-selective - SetR-faithful,F1,0.7473044,0.7434934946890055,1000,0.003810905310994474,-0.014907778174033569,0.022137890190997513,0.6522,False
HotpotQA,DAEC-selective - SetR-faithful,R5_TITLE,0.9625,0.9245,1000,0.038,0.025,0.051,1.0,True
MuSiQue,DAEC-selective - RankGPT-style sliding,EM,0.353,0.319,1000,0.034,0.005,0.062,0.9895,True
MuSiQue,DAEC-selective - RankGPT-style sliding,F1,0.45480810000000005,0.40930187867687867,1000,0.045506221323121314,0.018495152376936788,0.07328228784016635,0.9994,True
MuSiQue,DAEC-selective - RankGPT-style sliding,R5_TITLE,0.7745,0.6630833333333332,1000,0.11141666666666666,0.09241666666666666,0.13083333333333333,1.0,True
MuSiQue,SetR-faithful - RankGPT-style sliding,EM,0.344,0.319,1000,0.025,0.0,0.051,0.9699,False
MuSiQue,SetR-faithful - RankGPT-style sliding,F1,0.44665059935764273,0.40930187867687867,1000,0.03734872068076402,0.01170513625671714,0.06252544632246837,0.9983,True
MuSiQue,SetR-faithful - RankGPT-style sliding,R5_TITLE,0.6909166666666667,0.6630833333333332,1000,0.02783333333333333,0.009666666666666667,0.045502083333333304,0.9995,True
MuSiQue,DAEC-selective - SetR-faithful,EM,0.353,0.344,1000,0.009,-0.018,0.036,0.7286,False
MuSiQue,DAEC-selective - SetR-faithful,F1,0.45480810000000005,0.44665059935764273,1000,0.008157500642357299,-0.0180470514166982,0.03455787703660374,0.7253,False
MuSiQue,DAEC-selective - SetR-faithful,R5_TITLE,0.7745,0.6909166666666667,1000,0.08358333333333334,0.06641666666666667,0.10100208333333331,1.0,True
