dataset,bucket,missing_gold_titles,missing_gold_title_rate,mean_setr_f1,mean_dbec_f1,mean_delta_f1_dbec_minus_setr
2Wiki,gold_recovered_by_dbec_final,151,0.8296703296703297,0.6364974245768947,0.9470198675496688,0.3105224429727741
2Wiki,gold_in_binding_candidates_not_selected,17,0.09340659340659341,0.4117647058823529,0.8235764705882352,0.4118117647058824
2Wiki,gold_absent_from_source_pool,10,0.054945054945054944,0.6,0.8,0.2
2Wiki,gold_source_only_not_rank_or_dbec,3,0.016483516483516484,0.3333333333333333,1.0,0.6666666666666666
2Wiki,gold_in_rank_fill_not_dbec,1,0.005494505494505495,0.0,0.0,0.0
HotpotQA,gold_recovered_by_dbec_final,27,0.84375,0.5822412155745489,0.6665444444444445,0.08430322886989554
HotpotQA,gold_source_only_not_rank_or_dbec,5,0.15625,0.17019607843137255,0.41332,0.24312392156862744
MuSiQue,gold_source_only_not_rank_or_dbec,96,0.47058823529411764,0.196875,0.21354166666666666,0.016666666666666666
MuSiQue,gold_recovered_by_dbec_final,77,0.37745098039215685,0.19255506398363542,0.38735064935064933,0.19479558536701394
MuSiQue,gold_absent_from_source_pool,25,0.12254901960784313,0.22,0.32,0.1
MuSiQue,gold_in_rank_fill_not_dbec,4,0.0196078431372549,0.225,0.25,0.024999999999999994
MuSiQue,gold_in_binding_candidates_not_selected,2,0.00980392156862745,0.0,0.25,0.25
