dataset,primary_bucket,queries,query_rate,mean_missing_gold_count,mean_rank_fill5_recovered_missing_count,mean_binding_candidate_recovered_missing_count,mean_dbec_final_recovered_missing_count,mean_dbec_replaced_rank_gold_count,near_title_substitution_rate,mean_setr_f1,mean_dbec_f1,mean_delta_f1_dbec_minus_setr
2Wiki,all_missing_gold_recovered_by_dbec,92,0.7540983606557377,1.423913043478261,1.0217391304347827,1.141304347826087,1.423913043478261,0.0,0.010869565217391304,0.6871980676328503,0.9456521739130435,0.2584541062801932
2Wiki,gold_in_binding_candidates_not_selected,17,0.13934426229508196,1.7647058823529411,1.2352941176470589,1.588235294117647,0.7058823529411765,0.6470588235294118,0.0,0.4117647058823529,0.8235764705882352,0.4118117647058824
2Wiki,gold_absent_from_source_pool,10,0.08196721311475409,1.5,0.4,0.2,0.5,0.0,0.2,0.6,0.8,0.2
2Wiki,gold_source_only_not_rank_or_dbec,3,0.02459016393442623,2.0,1.0,0.6666666666666666,1.0,0.0,0.0,0.3333333333333333,1.0,0.6666666666666666
HotpotQA,all_missing_gold_recovered_by_dbec,27,0.84375,1.0,0.9259259259259259,0.25925925925925924,1.0,0.0,0.25925925925925924,0.5822412155745489,0.6665444444444445,0.08430322886989554
HotpotQA,gold_source_only_not_rank_or_dbec,5,0.15625,1.0,0.0,0.0,0.0,0.0,0.0,0.17019607843137255,0.41332,0.24312392156862744
MuSiQue,gold_source_only_not_rank_or_dbec,62,0.5849056603773585,1.967741935483871,0.41935483870967744,0.04838709677419355,0.4838709677419355,0.016129032258064516,0.1774193548387097,0.1967741935483871,0.23709677419354838,0.04032258064516129
MuSiQue,all_missing_gold_recovered_by_dbec,26,0.24528301886792453,1.5384615384615385,1.3461538461538463,0.07692307692307693,1.5384615384615385,0.0,0.11538461538461539,0.2502395040856579,0.46496923076923075,0.21472972668357285
MuSiQue,gold_absent_from_source_pool,15,0.14150943396226415,2.3333333333333335,0.13333333333333333,0.26666666666666666,0.4,0.0,0.0,0.3,0.4,0.1
MuSiQue,gold_in_rank_fill_not_dbec,3,0.02830188679245283,2.3333333333333335,1.0,0.0,0.3333333333333333,1.0,0.0,0.3,0.0,-0.3
