dataset,variant,baseline,metric,rank_quota,max_repairs,min_gain,branch_policy,n,delta_mean,ci_low,ci_high,p_delta_gt_0,ci_excludes_zero
2Wiki,rq1_mr1_g000_branchoff,rank_fill5,support_recall,1,1,0.0,off,122,0.040983606557377046,0.020491803278688523,0.06352459016393443,1.0,True
2Wiki,rq1_mr1_g000_branchoff,dbec_selective,support_recall,1,1,0.0,off,122,-0.006147540983606557,-0.02459016393442623,0.014344262295081968,0.2278,False
2Wiki,rq1_mr1_g000_branchoff,rank_fill5,support_complete,1,1,0.0,off,122,0.14754098360655737,0.06557377049180328,0.22950819672131148,0.9999,True
2Wiki,rq1_mr1_g000_branchoff,dbec_selective,support_complete,1,1,0.0,off,122,-0.00819672131147541,-0.07377049180327869,0.05737704918032787,0.358,False
2Wiki,rq1_mr1_g000_branchoff,rank_fill5,support_hit_count,1,1,0.0,off,122,0.16393442622950818,0.08196721311475409,0.2540983606557377,1.0,True
2Wiki,rq1_mr1_g000_branchoff,dbec_selective,support_hit_count,1,1,0.0,off,122,-0.02459016393442623,-0.09836065573770492,0.05737704918032787,0.234,False
2Wiki,rq1_mr1_g000_branchstrict,rank_fill5,support_recall,1,1,0.0,strict,122,0.040983606557377046,0.020491803278688523,0.06352459016393443,1.0,True
2Wiki,rq1_mr1_g000_branchstrict,dbec_selective,support_recall,1,1,0.0,strict,122,-0.006147540983606557,-0.02459016393442623,0.014344262295081968,0.2283,False
2Wiki,rq1_mr1_g000_branchstrict,rank_fill5,support_complete,1,1,0.0,strict,122,0.14754098360655737,0.06557377049180328,0.22950819672131148,0.9996,True
2Wiki,rq1_mr1_g000_branchstrict,dbec_selective,support_complete,1,1,0.0,strict,122,-0.00819672131147541,-0.07377049180327869,0.05737704918032787,0.3546,False
2Wiki,rq1_mr1_g000_branchstrict,rank_fill5,support_hit_count,1,1,0.0,strict,122,0.16393442622950818,0.08196721311475409,0.2540983606557377,1.0,True
2Wiki,rq1_mr1_g000_branchstrict,dbec_selective,support_hit_count,1,1,0.0,strict,122,-0.02459016393442623,-0.09836065573770492,0.04918032786885246,0.2305,False
2Wiki,rq1_mr1_g003_branchoff,rank_fill5,support_recall,1,1,0.03,off,122,0.040983606557377046,0.020491803278688523,0.06147540983606557,0.9999,True
2Wiki,rq1_mr1_g003_branchoff,dbec_selective,support_recall,1,1,0.03,off,122,-0.006147540983606557,-0.02459016393442623,0.012295081967213115,0.2215,False
2Wiki,rq1_mr1_g003_branchoff,rank_fill5,support_complete,1,1,0.03,off,122,0.14754098360655737,0.06557377049180328,0.22950819672131148,0.9998,True
2Wiki,rq1_mr1_g003_branchoff,dbec_selective,support_complete,1,1,0.03,off,122,-0.00819672131147541,-0.07377049180327869,0.05737704918032787,0.3531,False
2Wiki,rq1_mr1_g003_branchoff,rank_fill5,support_hit_count,1,1,0.03,off,122,0.16393442622950818,0.08196721311475409,0.2540983606557377,0.9997,True
2Wiki,rq1_mr1_g003_branchoff,dbec_selective,support_hit_count,1,1,0.03,off,122,-0.02459016393442623,-0.09836065573770492,0.05737704918032787,0.2261,False
2Wiki,rq1_mr1_g003_branchstrict,rank_fill5,support_recall,1,1,0.03,strict,122,0.040983606557377046,0.020491803278688523,0.06352459016393443,0.9999,True
2Wiki,rq1_mr1_g003_branchstrict,dbec_selective,support_recall,1,1,0.03,strict,122,-0.006147540983606557,-0.02459016393442623,0.012295081967213115,0.228,False
2Wiki,rq1_mr1_g003_branchstrict,rank_fill5,support_complete,1,1,0.03,strict,122,0.14754098360655737,0.06557377049180328,0.22950819672131148,0.9996,True
2Wiki,rq1_mr1_g003_branchstrict,dbec_selective,support_complete,1,1,0.03,strict,122,-0.00819672131147541,-0.07377049180327869,0.05737704918032787,0.3534,False
2Wiki,rq1_mr1_g003_branchstrict,rank_fill5,support_hit_count,1,1,0.03,strict,122,0.16393442622950818,0.08196721311475409,0.2540983606557377,1.0,True
2Wiki,rq1_mr1_g003_branchstrict,dbec_selective,support_hit_count,1,1,0.03,strict,122,-0.02459016393442623,-0.09836065573770492,0.05737704918032787,0.2302,False
2Wiki,rq1_mr1_g005_branchoff,rank_fill5,support_recall,1,1,0.05,off,122,0.040983606557377046,0.020491803278688523,0.06352459016393443,0.9999,True
2Wiki,rq1_mr1_g005_branchoff,dbec_selective,support_recall,1,1,0.05,off,122,-0.006147540983606557,-0.02459016393442623,0.014344262295081968,0.2328,False
2Wiki,rq1_mr1_g005_branchoff,rank_fill5,support_complete,1,1,0.05,off,122,0.14754098360655737,0.07377049180327869,0.22950819672131148,0.9997,True
2Wiki,rq1_mr1_g005_branchoff,dbec_selective,support_complete,1,1,0.05,off,122,-0.00819672131147541,-0.07377049180327869,0.05737704918032787,0.3527,False
2Wiki,rq1_mr1_g005_branchoff,rank_fill5,support_hit_count,1,1,0.05,off,122,0.16393442622950818,0.08196721311475409,0.2459016393442623,0.9999,True
2Wiki,rq1_mr1_g005_branchoff,dbec_selective,support_hit_count,1,1,0.05,off,122,-0.02459016393442623,-0.09836065573770492,0.05737704918032787,0.236,False
2Wiki,rq1_mr1_g005_branchstrict,rank_fill5,support_recall,1,1,0.05,strict,122,0.040983606557377046,0.018442622950819672,0.06352459016393443,1.0,True
2Wiki,rq1_mr1_g005_branchstrict,dbec_selective,support_recall,1,1,0.05,strict,122,-0.006147540983606557,-0.02459016393442623,0.012295081967213115,0.2256,False
2Wiki,rq1_mr1_g005_branchstrict,rank_fill5,support_complete,1,1,0.05,strict,122,0.14754098360655737,0.06557377049180328,0.22950819672131148,0.9998,True
2Wiki,rq1_mr1_g005_branchstrict,dbec_selective,support_complete,1,1,0.05,strict,122,-0.00819672131147541,-0.07377049180327869,0.05737704918032787,0.357,False
2Wiki,rq1_mr1_g005_branchstrict,rank_fill5,support_hit_count,1,1,0.05,strict,122,0.16393442622950818,0.08196721311475409,0.2459016393442623,0.9999,True
2Wiki,rq1_mr1_g005_branchstrict,dbec_selective,support_hit_count,1,1,0.05,strict,122,-0.02459016393442623,-0.09836065573770492,0.04918032786885246,0.2313,False
