dataset,variant,baseline,metric,n,delta_mean,ci_low,ci_high,p_delta_gt_0,ci_excludes_zero
2Wiki,rq1_mr1_g010_branchstrict,setr,em,122,0.3114754098360656,0.22950819672131148,0.39344262295081966,1.0,True
2Wiki,rq1_mr1_g010_branchstrict,setr,f1,122,0.30145719489981787,0.21675774134790526,0.38524590163934425,1.0,True
2Wiki,rq1_mr1_g010_branchstrict,dbec,em,122,0.01639344262295082,-0.03278688524590164,0.06557377049180328,0.6814,False
2Wiki,rq1_mr1_g010_branchstrict,dbec,f1,122,0.01638688524590164,-0.03279344262295082,0.0655672131147541,0.6811,False
2Wiki,rq1_mr1_g010_branchstrict,rank_fill5,em,122,0.09836065573770492,0.04918032786885246,0.1557377049180328,1.0,True
2Wiki,rq1_mr1_g010_branchstrict,rank_fill5,f1,122,0.09562841530054646,0.04644808743169399,0.15027322404371588,1.0,True
2Wiki,rq1_mr2_g010_branchstrict,setr,em,122,0.3114754098360656,0.22131147540983606,0.4016393442622951,1.0,True
2Wiki,rq1_mr2_g010_branchstrict,setr,f1,122,0.30145719489981787,0.21402550091074682,0.38979963570127507,1.0,True
2Wiki,rq1_mr2_g010_branchstrict,dbec,em,122,0.01639344262295082,-0.03278688524590164,0.06557377049180328,0.6866,False
2Wiki,rq1_mr2_g010_branchstrict,dbec,f1,122,0.01638688524590164,-0.03279344262295082,0.06557377049180328,0.6872,False
2Wiki,rq1_mr2_g010_branchstrict,rank_fill5,em,122,0.09836065573770492,0.040983606557377046,0.16393442622950818,0.9994,True
2Wiki,rq1_mr2_g010_branchstrict,rank_fill5,f1,122,0.09562841530054646,0.03825136612021858,0.15846994535519127,0.9997,True
2Wiki,rq1_mr3_g010_branchstrict,setr,em,122,0.3114754098360656,0.22950819672131148,0.4016393442622951,1.0,True
2Wiki,rq1_mr3_g010_branchstrict,setr,f1,122,0.30145719489981787,0.21584699453551912,0.39071038251366125,1.0,True
2Wiki,rq1_mr3_g010_branchstrict,dbec,em,122,0.01639344262295082,-0.03278688524590164,0.06557377049180328,0.6894,False
2Wiki,rq1_mr3_g010_branchstrict,dbec,f1,122,0.01638688524590164,-0.03279344262295082,0.0655672131147541,0.6817,False
2Wiki,rq1_mr3_g010_branchstrict,rank_fill5,em,122,0.09836065573770492,0.040983606557377046,0.16393442622950818,0.9995,True
2Wiki,rq1_mr3_g010_branchstrict,rank_fill5,f1,122,0.09562841530054646,0.03825136612021858,0.16120218579234974,0.9993,True
HotpotQA,rq1_mr1_g010_branchstrict,setr,em,32,0.0625,-0.0625,0.1875,0.7815,False
HotpotQA,rq1_mr1_g010_branchstrict,setr,f1,32,0.10912114845938377,0.013970588235294117,0.2259878326330531,0.9909,True
HotpotQA,rq1_mr1_g010_branchstrict,dbec,em,32,0.0,-0.09375,0.09375,0.3481,False
HotpotQA,rq1_mr1_g010_branchstrict,dbec,f1,32,2.186355311357968e-06,-0.09374751602564102,0.09375080128205128,0.5918,False
HotpotQA,rq1_mr2_g010_branchstrict,setr,em,32,0.0625,-0.0625,0.1875,0.7722,False
HotpotQA,rq1_mr2_g010_branchstrict,setr,f1,32,0.10912114845938377,0.013965773809523813,0.2217283788515406,0.9921,True
HotpotQA,rq1_mr2_g010_branchstrict,dbec,em,32,0.0,-0.09375,0.09375,0.3473,False
HotpotQA,rq1_mr2_g010_branchstrict,dbec,f1,32,2.186355311357968e-06,-0.09374637133699634,0.09375114468864469,0.5828,False
HotpotQA,rq1_mr3_g010_branchstrict,setr,em,32,0.0625,-0.0625,0.1875,0.7764,False
HotpotQA,rq1_mr3_g010_branchstrict,setr,f1,32,0.10912114845938377,0.014268207282913165,0.22450192577030798,0.9916,True
HotpotQA,rq1_mr3_g010_branchstrict,dbec,em,32,0.0,-0.09375,0.09375,0.3447,False
HotpotQA,rq1_mr3_g010_branchstrict,dbec,f1,32,2.186355311357968e-06,-0.09374707074175825,0.09375114468864469,0.5913,False
MuSiQue,rq1_mr1_g010_branchstrict,setr,em,106,0.05660377358490566,0.0,0.12264150943396226,0.9529,False
MuSiQue,rq1_mr1_g010_branchstrict,setr,f1,106,0.06477987421383646,0.006166545718432507,0.12484397677793904,0.9855,True
MuSiQue,rq1_mr1_g010_branchstrict,dbec,em,106,-0.02830188679245283,-0.09433962264150944,0.02830188679245283,0.1474,False
MuSiQue,rq1_mr1_g010_branchstrict,dbec,f1,106,-0.017134964406662522,-0.08072760030064276,0.043752175081208065,0.2977,False
MuSiQue,rq1_mr1_g010_branchstrict,rank_fill5,em,106,-0.05660377358490566,-0.11320754716981132,0.0,0.0139,False
MuSiQue,rq1_mr1_g010_branchstrict,rank_fill5,f1,106,-0.04695540308747856,-0.10327365637507147,0.0051179245283018765,0.0382,False
MuSiQue,rq1_mr2_g010_branchstrict,setr,em,106,0.05660377358490566,0.0,0.12264150943396226,0.9508,False
MuSiQue,rq1_mr2_g010_branchstrict,setr,f1,106,0.06477987421383646,0.0069182389937106886,0.12825471698113206,0.9865,True
MuSiQue,rq1_mr2_g010_branchstrict,dbec,em,106,-0.02830188679245283,-0.08490566037735849,0.02830188679245283,0.1417,False
MuSiQue,rq1_mr2_g010_branchstrict,dbec,f1,106,-0.017134964406662522,-0.07931240712903449,0.04276833186467615,0.3085,False
MuSiQue,rq1_mr2_g010_branchstrict,rank_fill5,em,106,-0.05660377358490566,-0.11320754716981132,0.0,0.0158,False
MuSiQue,rq1_mr2_g010_branchstrict,rank_fill5,f1,106,-0.04695540308747856,-0.10121605202973127,0.00491745283018867,0.0384,False
MuSiQue,rq1_mr3_g010_branchstrict,setr,em,106,0.05660377358490566,0.0,0.12264150943396226,0.9504,False
MuSiQue,rq1_mr3_g010_branchstrict,setr,f1,106,0.06477987421383646,0.006603773584905662,0.12830491049830667,0.9859,True
MuSiQue,rq1_mr3_g010_branchstrict,dbec,em,106,-0.02830188679245283,-0.09433962264150944,0.02830188679245283,0.1417,False
MuSiQue,rq1_mr3_g010_branchstrict,dbec,f1,106,-0.017134964406662522,-0.08093874585320339,0.04547818292556498,0.3048,False
MuSiQue,rq1_mr3_g010_branchstrict,rank_fill5,em,106,-0.05660377358490566,-0.11320754716981132,0.0,0.0147,False
MuSiQue,rq1_mr3_g010_branchstrict,rank_fill5,f1,106,-0.04695540308747856,-0.10170132933104632,0.005776157804459668,0.0392,False
