dataset,slice,n,min_gold_doc_count,max_gold_doc_count,mean_gold_doc_count,comparison,metric,left_mean,right_mean,delta_mean,ci_low,ci_high,p_delta_gt_0,ci_excludes_zero
2Wiki,all,1000,2,4,2.47,DAEC-selective - SetR-style k20,EM,0.642,0.624,0.018,-0.004,0.039,0.94,False
2Wiki,all,1000,2,4,2.47,DAEC-selective - SetR-style k20,F1,0.7118277000000001,0.6936320929070929,0.018195607092907094,-0.0016816074247974224,0.03806788415528916,0.9637,False
2Wiki,all,1000,2,4,2.47,DAEC-selective - SetR-style k20,R5_TITLE,0.941,0.9425,-0.0015,-0.012,0.00875,0.3853,False
2Wiki,all,1000,2,4,2.47,DAEC-selective - Top5,EM,0.642,0.575,0.067,0.044,0.09,1.0,True
2Wiki,all,1000,2,4,2.47,DAEC-selective - Top5,F1,0.7118277000000001,0.6457426,0.0660851,0.044632780000000004,0.0880403875,1.0,True
2Wiki,all,1000,2,4,2.47,DAEC-selective - Top5,R5_TITLE,0.941,0.90275,0.03825,0.0265,0.05,1.0,True
2Wiki,all,1000,2,4,2.47,DAEC-selective - IRCoT-style local,EM,0.642,0.564,0.078,0.052,0.104,1.0,True
2Wiki,all,1000,2,4,2.47,DAEC-selective - IRCoT-style local,F1,0.7118277000000001,0.6293160256410256,0.08251167435897436,0.056886562258852254,0.10791261130036629,1.0,True
2Wiki,all,1000,2,4,2.47,DAEC-selective - IRCoT-style local,R5_TITLE,0.941,0.878,0.063,0.04824375000000001,0.07775,1.0,True
2Wiki,all,1000,2,4,2.47,DAEC-selective - LLM-direct title,EM,0.642,0.519,0.123,0.096,0.15,1.0,True
2Wiki,all,1000,2,4,2.47,DAEC-selective - LLM-direct title,F1,0.7118277000000001,0.5696894078144078,0.14213829218559218,0.11525415238400488,0.16892551845543344,1.0,True
2Wiki,all,1000,2,4,2.47,DAEC-selective - LLM-direct title,R5_TITLE,0.941,0.81675,0.12425,0.10725,0.14075,1.0,True
2Wiki,all,1000,2,4,2.47,DAEC-selective - LLM-direct snippet128,EM,0.642,0.588,0.054,0.029,0.079,1.0,True
2Wiki,all,1000,2,4,2.47,DAEC-selective - LLM-direct snippet128,F1,0.7118277000000001,0.6535053634274223,0.058322336572577745,0.03530585039754364,0.08177092335559864,1.0,True
2Wiki,all,1000,2,4,2.47,DAEC-selective - LLM-direct snippet128,R5_TITLE,0.941,0.88875,0.05225,0.0375,0.06725,1.0,True
2Wiki,gold_doc_count=2,765,2,2,2.0,DAEC-selective - SetR-style k20,EM,0.5581699346405229,0.5490196078431373,0.009150326797385621,-0.01568627450980392,0.03398692810457516,0.75,False
2Wiki,gold_doc_count=2,765,2,2,2.0,DAEC-selective - SetR-style k20,F1,0.6494469281045752,0.6396062216650452,0.00984070643952997,-0.011913245713981007,0.0324832911369676,0.807,False
2Wiki,gold_doc_count=2,765,2,2,2.0,DAEC-selective - SetR-style k20,R5_TITLE,0.9444444444444444,0.949673202614379,-0.00522875816993464,-0.01699346405228758,0.006535947712418301,0.1773,False
2Wiki,gold_doc_count=2,765,2,2,2.0,DAEC-selective - Top5,EM,0.5581699346405229,0.5019607843137255,0.05620915032679739,0.03137254901960784,0.08235294117647059,1.0,True
2Wiki,gold_doc_count=2,765,2,2,2.0,DAEC-selective - Top5,F1,0.6494469281045752,0.5944347712418301,0.0550121568627451,0.031132937908496732,0.0792673954248366,1.0,True
2Wiki,gold_doc_count=2,765,2,2,2.0,DAEC-selective - Top5,R5_TITLE,0.9444444444444444,0.9052287581699346,0.0392156862745098,0.025490196078431372,0.052941176470588235,1.0,True
2Wiki,gold_doc_count=2,765,2,2,2.0,DAEC-selective - IRCoT-style local,EM,0.5581699346405229,0.5163398692810458,0.04183006535947712,0.01437908496732026,0.06928104575163399,0.9978,True
2Wiki,gold_doc_count=2,765,2,2,2.0,DAEC-selective - IRCoT-style local,F1,0.6494469281045752,0.6013468122291652,0.04810011587540999,0.02062147216835452,0.07512295901266489,0.9998,True
2Wiki,gold_doc_count=2,765,2,2,2.0,DAEC-selective - IRCoT-style local,R5_TITLE,0.9444444444444444,0.9183006535947712,0.026143790849673203,0.00980392156862745,0.043137254901960784,0.9984,True
2Wiki,gold_doc_count=2,765,2,2,2.0,DAEC-selective - LLM-direct title,EM,0.5581699346405229,0.4666666666666667,0.0915032679738562,0.06143790849673202,0.12156862745098039,1.0,True
2Wiki,gold_doc_count=2,765,2,2,2.0,DAEC-selective - LLM-direct title,F1,0.6494469281045752,0.5321181179024316,0.11732881020214353,0.08893002549737845,0.1463349313206764,1.0,True
2Wiki,gold_doc_count=2,765,2,2,2.0,DAEC-selective - LLM-direct title,R5_TITLE,0.9444444444444444,0.838562091503268,0.10588235294117647,0.0869281045751634,0.12483660130718954,1.0,True
2Wiki,gold_doc_count=2,765,2,2,2.0,DAEC-selective - LLM-direct snippet128,EM,0.5581699346405229,0.5137254901960784,0.044444444444444446,0.01699346405228758,0.07320261437908497,0.9992,True
2Wiki,gold_doc_count=2,765,2,2,2.0,DAEC-selective - LLM-direct snippet128,F1,0.6494469281045752,0.5984306942150079,0.05101623388956722,0.024528442094216604,0.07748149428204329,0.9998,True
2Wiki,gold_doc_count=2,765,2,2,2.0,DAEC-selective - LLM-direct snippet128,R5_TITLE,0.9444444444444444,0.8921568627450981,0.05228758169934641,0.034640522875816995,0.06993464052287582,1.0,True
2Wiki,gold_doc_count>=3,235,4,4,4.0,DAEC-selective - SetR-style k20,EM,0.9148936170212766,0.8680851063829788,0.04680851063829787,0.00425531914893617,0.09361702127659574,0.9757,True
2Wiki,gold_doc_count>=3,235,4,4,4.0,DAEC-selective - SetR-style k20,F1,0.9148970212765958,0.8695035460992908,0.045393475177304965,0.0014252482269503563,0.08936851063829787,0.9787,True
2Wiki,gold_doc_count>=3,235,4,4,4.0,DAEC-selective - SetR-style k20,R5_TITLE,0.9297872340425531,0.9191489361702128,0.010638297872340425,-0.010638297872340425,0.031914893617021274,0.8163,False
2Wiki,gold_doc_count>=3,235,4,4,4.0,DAEC-selective - Top5,EM,0.9148936170212766,0.8127659574468085,0.10212765957446808,0.05106382978723404,0.15319148936170213,1.0,True
2Wiki,gold_doc_count>=3,235,4,4,4.0,DAEC-selective - Top5,F1,0.9148970212765958,0.8127659574468085,0.10213106382978722,0.05106723404255319,0.15320170212765954,1.0,True
2Wiki,gold_doc_count>=3,235,4,4,4.0,DAEC-selective - Top5,R5_TITLE,0.9297872340425531,0.8946808510638298,0.035106382978723406,0.01276595744680851,0.0574468085106383,0.9984,True
2Wiki,gold_doc_count>=3,235,4,4,4.0,DAEC-selective - IRCoT-style local,EM,0.9148936170212766,0.7191489361702128,0.19574468085106383,0.13617021276595745,0.25957446808510637,1.0,True
2Wiki,gold_doc_count>=3,235,4,4,4.0,DAEC-selective - IRCoT-style local,F1,0.9148970212765958,0.7203647416413373,0.19453227963525835,0.1349612158054711,0.25835866261398177,1.0,True
2Wiki,gold_doc_count>=3,235,4,4,4.0,DAEC-selective - IRCoT-style local,R5_TITLE,0.9297872340425531,0.7468085106382979,0.1829787234042553,0.15425531914893617,0.21170212765957447,1.0,True
2Wiki,gold_doc_count>=3,235,4,4,4.0,DAEC-selective - LLM-direct title,EM,0.9148936170212766,0.6893617021276596,0.225531914893617,0.16595744680851063,0.2851063829787234,1.0,True
