dataset,comparison,metric,left_mean,right_mean,n,delta_mean,ci_low,ci_high,p_delta_gt_0,ci_excludes_zero
2Wiki,DAEC - Top5,EM,0.642,0.575,1000,0.067,0.044,0.09,1.0,True
2Wiki,DAEC - Top5,F1,0.7118277000000001,0.6457426,1000,0.0660851,0.044245129999999994,0.08780324999999999,1.0,True
2Wiki,DAEC - Top5,R5_TITLE,0.941,0.90275,1000,0.03825,0.0265,0.04975,1.0,True
2Wiki,DAEC-selective - Top5,EM,0.642,0.575,1000,0.067,0.044,0.09,1.0,True
2Wiki,DAEC-selective - Top5,F1,0.7118277000000001,0.6457426,1000,0.0660851,0.04386452,0.0879446175,1.0,True
2Wiki,DAEC-selective - Top5,R5_TITLE,0.941,0.90275,1000,0.03825,0.0265,0.04975,1.0,True
2Wiki,DAEC-selective - DAEC,EM,0.642,0.642,1000,0.0,0.0,0.0,0.0,False
2Wiki,DAEC-selective - DAEC,F1,0.7118277000000001,0.7118277000000001,1000,0.0,0.0,0.0,0.0,False
2Wiki,DAEC-selective - DAEC,R5_TITLE,0.941,0.941,1000,0.0,0.0,0.0,0.0,False
2Wiki,DAEC - SetR-style k20,EM,0.642,0.624,1000,0.018,-0.004,0.039,0.9439,False
2Wiki,DAEC - SetR-style k20,F1,0.7118277000000001,0.6936320929070929,1000,0.018195607092907094,-0.0015006864374514366,0.038278333918026416,0.9637,False
2Wiki,DAEC - SetR-style k20,R5_TITLE,0.941,0.9425,1000,-0.0015,-0.012,0.00875,0.3877,False
2Wiki,DAEC-selective - SetR-style k20,EM,0.642,0.624,1000,0.018,-0.003,0.04,0.9417,False
2Wiki,DAEC-selective - SetR-style k20,F1,0.7118277000000001,0.6936320929070929,1000,0.018195607092907094,-0.0018699163031412993,0.038075682674270174,0.9629,False
2Wiki,DAEC-selective - SetR-style k20,R5_TITLE,0.941,0.9425,1000,-0.0015,-0.01175,0.00875,0.3841,False
2Wiki,DAEC - IRCoT-style local,EM,0.642,0.564,1000,0.078,0.052,0.104,1.0,True
2Wiki,DAEC - IRCoT-style local,F1,0.7118277000000001,0.6293160256410256,1000,0.08251167435897436,0.05752610165750916,0.10783258531746032,1.0,True
