dataset,method,n,EM,F1,R5_TITLE,R10_TITLE
2Wiki,DAEC-selective,1000,0.642,0.7118277000000001,0.941,0.941
2Wiki,SetR-faithful,1000,0.603,0.6746146325896326,0.884,0.884
2Wiki,SetR-Fill@5,1000,0.624,0.6936320929070929,0.9425,0.9425
2Wiki,SetR-Fill@10,1000,0.642,0.711387937062937,0.9425,0.95475
2Wiki,Top-10 retriever,1000,0.624,0.6962410395160394,0.90275,0.93925
HotpotQA,DAEC-selective,1000,0.62,0.7473044,0.9625,0.9625
HotpotQA,SetR-faithful,1000,0.625,0.7434934946890055,0.9245,0.9245
HotpotQA,SetR-Fill@5,1000,0.629,0.7551750575705685,0.9735,0.9735
HotpotQA,SetR-Fill@10,1000,0.62,0.7400006977800322,0.9735,0.989
HotpotQA,Top-10 retriever,1000,0.618,0.7448610873904218,0.952,0.9855
MuSiQue,DAEC-selective,1000,0.353,0.45480810000000005,0.7745,0.7745
MuSiQue,SetR-faithful,1000,0.344,0.44665059935764273,0.6909166666666667,0.6909166666666667
MuSiQue,SetR-Fill@5,1000,0.377,0.4760560863543062,0.7836666666666666,0.7836666666666666
MuSiQue,SetR-Fill@10,1000,0.399,0.5035189784625398,0.7836666666666666,0.8533333333333333
MuSiQue,Top-10 retriever,1000,0.378,0.4828470871891564,0.73775,0.8288333333333333
