dataset,slice,comparison,metric,left_mean,right_mean,n,delta_mean,ci_low,ci_high,p_delta_gt_0,ci_excludes_zero
2Wiki,all,DAEC-selective - SetR-faithful,EM,0.642,0.603,1000,0.039,0.016,0.062,0.9993,True
2Wiki,all,DAEC-selective - SetR-faithful,F1,0.7118277000000001,0.6746146325896326,1000,0.03721306741036741,0.015596322591575092,0.05967040303668553,0.9994,True
2Wiki,all,DAEC-selective - SetR-faithful,R5_TITLE,0.941,0.884,1000,0.057,0.043493750000000005,0.07000624999999991,1.0,True
2Wiki,all,DAEC-selective - SetR-faithful,R10_TITLE,0.941,0.884,1000,0.057,0.0435,0.0705,1.0,True
2Wiki,all,DAEC-selective - SetR-Fill@5,EM,0.642,0.624,1000,0.018,-0.004,0.04,0.9426,False
2Wiki,all,DAEC-selective - SetR-Fill@5,F1,0.7118277000000001,0.6936320929070929,1000,0.018195607092907094,-0.00210214763986014,0.038472650606338095,0.9638,False
2Wiki,all,DAEC-selective - SetR-Fill@5,R5_TITLE,0.941,0.9425,1000,-0.0015,-0.01175,0.00875,0.3797,False
2Wiki,all,DAEC-selective - SetR-Fill@5,R10_TITLE,0.941,0.9425,1000,-0.0015,-0.012,0.00875,0.3738,False
2Wiki,all,DAEC-selective - SetR-Fill@10,EM,0.642,0.642,1000,0.0,-0.021,0.021,0.4907,False
2Wiki,all,DAEC-selective - SetR-Fill@10,F1,0.7118277000000001,0.711387937062937,1000,0.0004397629370629361,-0.018723429395604396,0.019769901889776884,0.5213,False
2Wiki,all,DAEC-selective - SetR-Fill@10,R5_TITLE,0.941,0.9425,1000,-0.0015,-0.012,0.009,0.3777,False
2Wiki,all,DAEC-selective - SetR-Fill@10,R10_TITLE,0.941,0.95475,1000,-0.01375,-0.024,-0.004,0.0031,True
2Wiki,all,DAEC-selective - Top-10 retriever,EM,0.642,0.624,1000,0.018,-0.003,0.039,0.948,False
2Wiki,all,DAEC-selective - Top-10 retriever,F1,0.7118277000000001,0.6962410395160394,1000,0.015586660483960487,-0.0038546684951159945,0.03494684635031634,0.942,False
2Wiki,all,DAEC-selective - Top-10 retriever,R5_TITLE,0.941,0.90275,1000,0.03825,0.0265,0.05,1.0,True
2Wiki,all,DAEC-selective - Top-10 retriever,R10_TITLE,0.941,0.93925,1000,0.00175,-0.00875,0.012,0.6248,False
2Wiki,all,SetR-faithful - SetR-Fill@5,EM,0.603,0.624,1000,-0.021,-0.04,-0.003,0.0095,True
2Wiki,all,SetR-faithful - SetR-Fill@5,F1,0.6746146325896326,0.6936320929070929,1000,-0.01901746031746032,-0.03721990079365079,-0.0014967658730158733,0.0174,True
2Wiki,all,SetR-faithful - SetR-Fill@5,R5_TITLE,0.884,0.9425,1000,-0.0585,-0.068,-0.0495,0.0,True
2Wiki,all,SetR-faithful - SetR-Fill@5,R10_TITLE,0.884,0.9425,1000,-0.0585,-0.06775,-0.0495,0.0,True
2Wiki,all,SetR-faithful - SetR-Fill@10,EM,0.603,0.642,1000,-0.039,-0.059,-0.019,0.0,True
2Wiki,all,SetR-faithful - SetR-Fill@10,F1,0.6746146325896326,0.711387937062937,1000,-0.03677330447330447,-0.05675395743145743,-0.01737943181818182,0.0,True
2Wiki,all,SetR-faithful - SetR-Fill@10,R5_TITLE,0.884,0.9425,1000,-0.0585,-0.06775,-0.04925,0.0,True
2Wiki,all,SetR-faithful - SetR-Fill@10,R10_TITLE,0.884,0.95475,1000,-0.07075,-0.0815,-0.06075,0.0,True
2Wiki,all,SetR-Fill@5 - SetR-Fill@10,EM,0.624,0.642,1000,-0.018,-0.033,-0.002,0.0094,True
2Wiki,all,SetR-Fill@5 - SetR-Fill@10,F1,0.6936320929070929,0.711387937062937,1000,-0.017755844155844157,-0.03233789321789322,-0.0035109992784992847,0.0072,True
2Wiki,all,SetR-Fill@5 - SetR-Fill@10,R5_TITLE,0.9425,0.9425,1000,0.0,0.0,0.0,0.0,False
2Wiki,all,SetR-Fill@5 - SetR-Fill@10,R10_TITLE,0.9425,0.95475,1000,-0.01225,-0.01675,-0.00825,0.0,True
2Wiki,all,SetR-Fill@10 - Top-10 retriever,EM,0.642,0.624,1000,0.018,0.006,0.03,0.9974,True
2Wiki,all,SetR-Fill@10 - Top-10 retriever,F1,0.711387937062937,0.6962410395160394,1000,0.015146897546897546,0.0035934613997113994,0.027252155483405476,0.9941,True
2Wiki,all,SetR-Fill@10 - Top-10 retriever,R5_TITLE,0.9425,0.90275,1000,0.03975,0.0305,0.04925,1.0,True
2Wiki,all,SetR-Fill@10 - Top-10 retriever,R10_TITLE,0.95475,0.93925,1000,0.0155,0.0105,0.021,1.0,True
2Wiki,gold_doc_count>=3,DAEC-selective - SetR-faithful,EM,0.9148936170212766,0.7659574468085106,235,0.14893617021276595,0.09361702127659574,0.20425531914893616,1.0,True
2Wiki,gold_doc_count>=3,DAEC-selective - SetR-faithful,F1,0.9148970212765958,0.7711583924349882,235,0.14373862884160757,0.08936170212765958,0.20047621749408984,1.0,True
2Wiki,gold_doc_count>=3,DAEC-selective - SetR-faithful,R5_TITLE,0.9297872340425531,0.7829787234042553,235,0.14680851063829786,0.11702127659574468,0.17553191489361702,1.0,True
2Wiki,gold_doc_count>=3,DAEC-selective - SetR-faithful,R10_TITLE,0.9297872340425531,0.7829787234042553,235,0.14680851063829786,0.11808510638297873,0.17553191489361702,1.0,True
2Wiki,gold_doc_count>=3,DAEC-selective - SetR-Fill@5,EM,0.9148936170212766,0.8680851063829788,235,0.04680851063829787,0.00425531914893617,0.09361702127659574,0.9771,True
2Wiki,gold_doc_count>=3,DAEC-selective - SetR-Fill@5,F1,0.9148970212765958,0.8695035460992908,235,0.045393475177304965,1.0212765957445683e-05,0.08941043971631155,0.9794,True
2Wiki,gold_doc_count>=3,DAEC-selective - SetR-Fill@5,R5_TITLE,0.9297872340425531,0.9191489361702128,235,0.010638297872340425,-0.011702127659574468,0.031914893617021274,0.8245,False
2Wiki,gold_doc_count>=3,DAEC-selective - SetR-Fill@5,R10_TITLE,0.9297872340425531,0.9191489361702128,235,0.010638297872340425,-0.011702127659574468,0.031914893617021274,0.8214,False
2Wiki,gold_doc_count>=3,DAEC-selective - SetR-Fill@10,EM,0.9148936170212766,0.8978723404255319,235,0.01702127659574468,-0.02553191489361702,0.059574468085106386,0.7536,False
2Wiki,gold_doc_count>=3,DAEC-selective - SetR-Fill@10,F1,0.9148970212765958,0.8990881458966565,235,0.01580887537993921,-0.025528510638297874,0.05835866261398177,0.7717,False
2Wiki,gold_doc_count>=3,DAEC-selective - SetR-Fill@10,R5_TITLE,0.9297872340425531,0.9191489361702128,235,0.010638297872340425,-0.011702127659574468,0.031914893617021274,0.816,False
2Wiki,gold_doc_count>=3,DAEC-selective - SetR-Fill@10,R10_TITLE,0.9297872340425531,0.9414893617021277,235,-0.011702127659574468,-0.030851063829787233,0.007446808510638298,0.1038,False
2Wiki,gold_doc_count>=3,DAEC-selective - Top-10 retriever,EM,0.9148936170212766,0.8936170212765957,235,0.02127659574468085,-0.01702127659574468,0.059574468085106386,0.8232,False
2Wiki,gold_doc_count>=3,DAEC-selective - Top-10 retriever,F1,0.9148970212765958,0.8960486322188449,235,0.01884838905775076,-0.020655246200607904,0.058380498480242946,0.8275,False
2Wiki,gold_doc_count>=3,DAEC-selective - Top-10 retriever,R5_TITLE,0.9297872340425531,0.8946808510638298,235,0.035106382978723406,0.01276595744680851,0.0574468085106383,0.999,True
2Wiki,gold_doc_count>=3,DAEC-selective - Top-10 retriever,R10_TITLE,0.9297872340425531,0.926595744680851,235,0.0031914893617021275,-0.015957446808510637,0.02127659574468085,0.6144,False
2Wiki,gold_doc_count>=3,SetR-faithful - SetR-Fill@5,EM,0.7659574468085106,0.8680851063829788,235,-0.10212765957446808,-0.15319148936170213,-0.05106382978723404,0.0,True
2Wiki,gold_doc_count>=3,SetR-faithful - SetR-Fill@5,F1,0.7711583924349882,0.8695035460992908,235,-0.0983451536643026,-0.14940898345153666,-0.04728132387706856,0.0,True
2Wiki,gold_doc_count>=3,SetR-faithful - SetR-Fill@5,R5_TITLE,0.7829787234042553,0.9191489361702128,235,-0.13617021276595745,-0.1595744680851064,-0.11382978723404255,0.0,True
2Wiki,gold_doc_count>=3,SetR-faithful - SetR-Fill@5,R10_TITLE,0.7829787234042553,0.9191489361702128,235,-0.13617021276595745,-0.16063829787234044,-0.1127659574468085,0.0,True
2Wiki,gold_doc_count>=3,SetR-faithful - SetR-Fill@10,EM,0.7659574468085106,0.8978723404255319,235,-0.13191489361702127,-0.18723404255319148,-0.08085106382978724,0.0,True
2Wiki,gold_doc_count>=3,SetR-faithful - SetR-Fill@10,F1,0.7711583924349882,0.8990881458966565,235,-0.12792975346166835,-0.1825075987841945,-0.07639311043566363,0.0,True
2Wiki,gold_doc_count>=3,SetR-faithful - SetR-Fill@10,R5_TITLE,0.7829787234042553,0.9191489361702128,235,-0.13617021276595745,-0.1595744680851064,-0.1127659574468085,0.0,True
2Wiki,gold_doc_count>=3,SetR-faithful - SetR-Fill@10,R10_TITLE,0.7829787234042553,0.9414893617021277,235,-0.15851063829787235,-0.18404255319148935,-0.13404255319148936,0.0,True
2Wiki,gold_doc_count>=3,SetR-Fill@5 - SetR-Fill@10,EM,0.8680851063829788,0.8978723404255319,235,-0.029787234042553193,-0.06382978723404255,0.0,0.0229,False
2Wiki,gold_doc_count>=3,SetR-Fill@5 - SetR-Fill@10,F1,0.8695035460992908,0.8990881458966565,235,-0.029584599797365756,-0.0624113475177305,0.0016210739614994914,0.0317,False
2Wiki,gold_doc_count>=3,SetR-Fill@5 - SetR-Fill@10,R5_TITLE,0.9191489361702128,0.9191489361702128,235,0.0,0.0,0.0,0.0,False
2Wiki,gold_doc_count>=3,SetR-Fill@5 - SetR-Fill@10,R10_TITLE,0.9191489361702128,0.9414893617021277,235,-0.022340425531914895,-0.03297872340425532,-0.01276595744680851,0.0,True
2Wiki,gold_doc_count>=3,SetR-Fill@10 - Top-10 retriever,EM,0.8978723404255319,0.8936170212765957,235,0.00425531914893617,-0.02127659574468085,0.029787234042553193,0.563,False
2Wiki,gold_doc_count>=3,SetR-Fill@10 - Top-10 retriever,F1,0.8990881458966565,0.8960486322188449,235,0.0030395136778115497,-0.021899696048632202,0.02735562310030395,0.558,False
2Wiki,gold_doc_count>=3,SetR-Fill@10 - Top-10 retriever,R5_TITLE,0.9191489361702128,0.8946808510638298,235,0.02446808510638298,0.01276595744680851,0.03723404255319149,1.0,True
2Wiki,gold_doc_count>=3,SetR-Fill@10 - Top-10 retriever,R10_TITLE,0.9414893617021277,0.926595744680851,235,0.014893617021276596,0.006382978723404255,0.023404255319148935,1.0,True
HotpotQA,all,DAEC-selective - SetR-faithful,EM,0.62,0.625,1000,-0.005,-0.025,0.015,0.2964,False
HotpotQA,all,DAEC-selective - SetR-faithful,F1,0.7473044,0.7434934946890055,1000,0.003810905310994474,-0.01477983043583953,0.022758582279775588,0.6478,False
HotpotQA,all,DAEC-selective - SetR-faithful,R5_TITLE,0.9625,0.9245,1000,0.038,0.0255,0.0505,1.0,True
HotpotQA,all,DAEC-selective - SetR-faithful,R10_TITLE,0.9625,0.9245,1000,0.038,0.025,0.0505,1.0,True
HotpotQA,all,DAEC-selective - SetR-Fill@5,EM,0.62,0.629,1000,-0.009,-0.025,0.007,0.1231,False
HotpotQA,all,DAEC-selective - SetR-Fill@5,F1,0.7473044,0.7551750575705685,1000,-0.007870657570568408,-0.022601200529114848,0.006409348523289569,0.1463,False
HotpotQA,all,DAEC-selective - SetR-Fill@5,R5_TITLE,0.9625,0.9735,1000,-0.011,-0.02,-0.0025,0.006,True
HotpotQA,all,DAEC-selective - SetR-Fill@5,R10_TITLE,0.9625,0.9735,1000,-0.011,-0.02,-0.002,0.0066,True
HotpotQA,all,DAEC-selective - SetR-Fill@10,EM,0.62,0.62,1000,0.0,-0.018,0.018,0.4827,False
HotpotQA,all,DAEC-selective - SetR-Fill@10,F1,0.7473044,0.7400006977800322,1000,0.007303702219967854,-0.009100388802016695,0.02332602185657394,0.8098,False
HotpotQA,all,DAEC-selective - SetR-Fill@10,R5_TITLE,0.9625,0.9735,1000,-0.011,-0.0195,-0.002,0.0078,True
HotpotQA,all,DAEC-selective - SetR-Fill@10,R10_TITLE,0.9625,0.989,1000,-0.0265,-0.035,-0.0185,0.0,True
HotpotQA,all,DAEC-selective - Top-10 retriever,EM,0.62,0.618,1000,0.002,-0.015,0.019,0.5651,False
HotpotQA,all,DAEC-selective - Top-10 retriever,F1,0.7473044,0.7448610873904218,1000,0.0024433126095782434,-0.012853911359347568,0.018043907539665355,0.6351,False
HotpotQA,all,DAEC-selective - Top-10 retriever,R5_TITLE,0.9625,0.952,1000,0.0105,0.0035,0.0175,0.9987,True
HotpotQA,all,DAEC-selective - Top-10 retriever,R10_TITLE,0.9625,0.9855,1000,-0.023,-0.0315,-0.0155,0.0,True
HotpotQA,all,SetR-faithful - SetR-Fill@5,EM,0.625,0.629,1000,-0.004,-0.02,0.012,0.3005,False
HotpotQA,all,SetR-faithful - SetR-Fill@5,F1,0.7434934946890055,0.7551750575705685,1000,-0.011681562881562883,-0.026656622405372407,0.0032784677822177808,0.0634,False
HotpotQA,all,SetR-faithful - SetR-Fill@5,R5_TITLE,0.9245,0.9735,1000,-0.049,-0.0585,-0.04,0.0,True
HotpotQA,all,SetR-faithful - SetR-Fill@5,R10_TITLE,0.9245,0.9735,1000,-0.049,-0.0585,-0.04,0.0,True
HotpotQA,all,SetR-faithful - SetR-Fill@10,EM,0.625,0.62,1000,0.005,-0.014,0.024024999999999637,0.682,False
HotpotQA,all,SetR-faithful - SetR-Fill@10,F1,0.7434934946890055,0.7400006977800322,1000,0.003492796908973378,-0.013824040420363951,0.021022585572107632,0.6578,False
HotpotQA,all,SetR-faithful - SetR-Fill@10,R5_TITLE,0.9245,0.9735,1000,-0.049,-0.059,-0.04,0.0,True
HotpotQA,all,SetR-faithful - SetR-Fill@10,R10_TITLE,0.9245,0.989,1000,-0.0645,-0.075,-0.054,0.0,True
HotpotQA,all,SetR-Fill@5 - SetR-Fill@10,EM,0.629,0.62,1000,0.009,-0.007,0.025,0.8488,False
HotpotQA,all,SetR-Fill@5 - SetR-Fill@10,F1,0.7551750575705685,0.7400006977800322,1000,0.015174359790536263,0.0009347666263475103,0.02988140092750387,0.9816,True
