dataset,slice,recovery_label,n,mean_gold_doc_count,mean_setr_selected_count,count_under_select_rate,setr_support_recall,dbec_support_recall,delta_support_recall,setr_complete_rate,dbec_complete_rate,setr_incomplete_to_dbec_complete_rate,dbec_recovered_any_missing_rate,dbec_recovered_all_missing_rate,mean_setr_missing_count,mean_dbec_recovered_missing_count,setr_f1,dbec_f1,delta_f1,delta_f1_ci_low,delta_f1_ci_high,delta_f1_ci_excludes_zero
2Wiki,all,dbec_recovers_none,53,2.452830188679245,2.5283018867924527,0.39622641509433965,0.5424528301886793,0.5330188679245284,-0.009433962264150943,0.0,0.0,0.0,0.0,0.0,1.0377358490566038,0.0,0.2402229845626072,0.2859849056603774,0.04576192109777015,-0.024856698113207547,0.12058751429388223,False
2Wiki,all,dbec_recovers_some_missing,24,3.75,2.875,0.8333333333333334,0.4375,0.71875,0.28125,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.4444444444444444,0.8194458333333333,0.37500138888888895,0.16667083333333332,0.5833333333333334,True
2Wiki,all,dbec_recovers_all_missing,189,3.1534391534391535,2.613756613756614,0.6137566137566137,0.5859788359788359,0.9801587301587301,0.3941798941798942,0.0,0.9417989417989417,0.9417989417989417,1.0,1.0,1.2222222222222223,1.2222222222222223,0.4909318048206937,0.7752301587301588,0.28429835390946506,0.21792842298647855,0.35300087448559664,True
2Wiki,gold_doc_count=2,dbec_recovers_none,41,2.0,2.3658536585365852,0.2682926829268293,0.4878048780487805,0.47560975609756095,-0.012195121951219513,0.0,0.0,0.0,0.0,0.0,1.024390243902439,0.0,0.13980044345898004,0.15015609756097562,0.010355654101995567,-0.058556648189209165,0.07156025314116778,False
2Wiki,gold_doc_count=2,dbec_recovers_some_missing,3,2.0,3.3333333333333335,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.2222222222222222,0.2222333333333333,1.1111111111109887e-05,0.0,3.333333333332966e-05,False
2Wiki,gold_doc_count=2,dbec_recovers_all_missing,80,2.0,2.2375,0.3,0.4875,0.975,0.4875,0.0,0.95,0.95,1.0,1.0,1.025,1.025,0.1945486111111111,0.54398125,0.34943263888888887,0.2548383263888889,0.4488713645833333,True
2Wiki,gold_doc_count>=4,dbec_recovers_none,12,4.0,3.0833333333333335,0.8333333333333334,0.7291666666666666,0.7291666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0833333333333333,0.0,0.5833333333333334,0.7500666666666667,0.16673333333333332,0.0,0.4166666666666667,False
2Wiki,gold_doc_count>=4,dbec_recovers_some_missing,21,4.0,2.8095238095238093,0.9523809523809523,0.5,0.75,0.25,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.47619047619047616,0.9047619047619048,0.42857142857142855,0.23809523809523808,0.6190476190476191,True
2Wiki,gold_doc_count>=4,dbec_recovers_all_missing,109,4.0,2.889908256880734,0.8440366972477065,0.658256880733945,0.9839449541284404,0.3256880733944954,0.0,0.9357798165137615,0.9357798165137615,1.0,1.0,1.3669724770642202,1.3669724770642202,0.7084607543323139,0.944954128440367,0.23649337410805302,0.14780835881753313,0.32721712538226305,True
2Wiki,SetR count-underselected,dbec_recovers_none,21,2.9523809523809526,1.9047619047619047,1.0,0.6071428571428571,0.6071428571428571,0.0,0.0,0.0,0.0,0.0,0.0,1.0476190476190477,0.0,0.2857142857142857,0.3809904761904762,0.09527619047619047,0.0,0.23813333333333334,False
