dataset,slice,n,mean_gold_doc_count,mean_setr_selected_count,count_under_select_rate,setr_support_recall,dbec_support_recall,delta_support_recall,setr_complete_rate,dbec_complete_rate,setr_incomplete_to_dbec_complete_rate,dbec_recovered_any_missing_rate,dbec_recovered_all_missing_rate,mean_setr_missing_count,mean_dbec_recovered_missing_count,setr_f1,dbec_f1,delta_f1,delta_f1_ci_low,delta_f1_ci_high,delta_f1_ci_excludes_zero
2Wiki,all,1000,2.47,2.577,0.157,0.884,0.941,0.057,0.734,0.863,0.178,0.213,0.189,0.334,0.255,0.6746146325896326,0.7118277,0.03721306741036741,0.015372067895715397,0.059461769739427225,True
2Wiki,gold_doc_count=2,765,2.0,2.3254901960784315,0.0457516339869281,0.9150326797385621,0.9444444444444444,0.029411764705882353,0.8379084967320262,0.8993464052287582,0.09934640522875816,0.1084967320261438,0.10457516339869281,0.16993464052287582,0.1111111111111111,0.6449573991730855,0.6494469281045752,0.0044895289314897165,-0.018497249479278888,0.026584584702153326,False
2Wiki,gold_doc_count>=4,235,4.0,3.3957446808510636,0.5191489361702127,0.7829787234042553,0.9297872340425531,0.14680851063829786,0.39574468085106385,0.7446808510638298,0.4340425531914894,0.5531914893617021,0.46382978723404256,0.8680851063829788,0.723404255319149,0.7711583924349882,0.9148970212765958,0.14373862884160757,0.08841947990543735,0.19954896453900692,True
2Wiki,SetR count-underselected,157,3.554140127388535,2.2229299363057327,1.0,0.5987261146496815,0.8996815286624203,0.30095541401273884,0.0,0.6878980891719745,0.6878980891719745,0.8662420382165605,0.7388535031847133,1.3821656050955413,1.1146496815286624,0.534377211606511,0.794643949044586,0.26026673743807505,0.18613853326256194,0.3354563959660297,True
2Wiki,gold_doc_count>=4 and SetR count-underselected,122,4.0,2.5737704918032787,1.0,0.6270491803278688,0.9241803278688525,0.29713114754098363,0.0,0.7049180327868853,0.7049180327868853,0.9180327868852459,0.7540983606557377,1.4918032786885247,1.2377049180327868,0.6329690346083788,0.918039344262295,0.2850703096539163,0.2003772495446266,0.3715914207650274,True
HotpotQA,all,1000,2.0,2.74,0.032,0.9265,0.9625,0.036,0.857,0.93,0.117,0.125,0.123,0.146,0.125,0.7434934946890055,0.7473044,0.003810905310994474,-0.014934621100094433,0.022727713105993592,False
HotpotQA,SetR count-underselected,32,2.0,1.0,1.0,0.484375,0.90625,0.421875,0.0,0.8125,0.8125,0.84375,0.84375,1.0,0.84375,0.5178591628959276,0.626978125,0.10911896210407239,-0.022619212740384614,0.24999799479166665,False
MuSiQue,all,1000,2.648,3.622,0.13,0.6978333333333333,0.7745,0.07666666666666667,0.407,0.527,0.19,0.348,0.233,0.89,0.407,0.4466505993576427,0.4548081,0.008157500642357299,-0.017880616911889285,0.03443429225255136,False
MuSiQue,gold_doc_count=2,518,2.0,3.1969111969111967,0.04633204633204633,0.8021235521235521,0.8774131274131274,0.07528957528957529,0.6351351351351351,0.7722007722007722,0.22007722007722008,0.2548262548262548,0.2335907335907336,0.39575289575289574,0.2644787644787645,0.5544229475952165,0.5524675675675675,-0.0019553800276489344,-0.03915467227875841,0.033888731580202135,False
MuSiQue,gold_doc_count>=3,482,3.3443983402489628,4.078838174273859,0.21991701244813278,0.5857538035961273,0.6639004149377593,0.07814661134163209,0.16182572614107885,0.26348547717842324,0.15767634854771784,0.44813278008298757,0.23236514522821577,1.4211618257261411,0.5601659751037344,0.3308288641147729,0.3498545643153527,0.019025700200579764,-0.02058350774644468,0.05859604362999901,False
MuSiQue,SetR count-underselected,130,3.1769230769230767,2.1076923076923078,1.0,0.45384615384615384,0.65,0.19615384615384615,0.0,0.2692307692307692,0.2692307692307692,0.5769230769230769,0.3076923076923077,1.7615384615384615,0.7076923076923077,0.23543251620174696,0.31738923076923076,0.08195671456748378,0.01319964285714286,0.15478137693716532,True
MuSiQue,gold_doc_count>=3 and SetR count-underselected,106,3.443396226415094,2.358490566037736,1.0,0.4481132075471698,0.6179245283018868,0.169811320754717,0.0,0.19811320754716982,0.19811320754716982,0.5660377358490566,0.24528301886792453,1.9245283018867925,0.7264150943396226,0.2274172368511991,0.3093320754716981,0.08191483862049899,0.004087303027161517,0.16352597363328492,True
