dataset,slice,support_transition,n,mean_gold_doc_count,mean_setr_selected_count,count_under_select_rate,setr_support_recall,dbec_support_recall,delta_support_recall,setr_complete_rate,dbec_complete_rate,setr_incomplete_to_dbec_complete_rate,dbec_recovered_any_missing_rate,dbec_recovered_all_missing_rate,mean_setr_missing_count,mean_dbec_recovered_missing_count,setr_f1,dbec_f1,delta_f1,delta_f1_ci_low,delta_f1_ci_high,delta_f1_ci_excludes_zero
2Wiki,all,SetR complete -> DBEC complete,685,2.2131386861313866,2.502189781021898,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7576524691853159,0.7409356204379562,-0.016716848747359694,-0.034278231290607204,0.0007598964377066513,False
2Wiki,all,SetR complete -> DBEC incomplete,49,2.816326530612245,3.3877551020408165,0.0,1.0,0.5153061224489796,-0.4846938775510204,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8048590864917395,0.4682530612244898,-0.33660602526724975,-0.48762713070942665,-0.18681504616132172,True
2Wiki,all,SetR incomplete -> DBEC complete,178,3.146067415730337,2.6292134831460676,0.6067415730337079,0.5856741573033708,1.0,0.4143258426966292,0.0,1.0,1.0,1.0,1.0,1.2191011235955056,1.2191011235955056,0.4867821473158552,0.8006657303370787,0.3138835830212235,0.2493746598002497,0.3805794756554307,True
2Wiki,all,SetR incomplete -> DBEC incomplete,88,2.909090909090909,2.602272727272727,0.5568181818181818,0.5198863636363636,0.5994318181818182,0.07954545454545454,0.0,0.0,0.0,0.3977272727272727,0.125,1.3295454545454546,0.4318181818181818,0.33565197428833793,0.4411806818181818,0.10552870752984389,0.018527353937098263,0.19508670454545451,True
2Wiki,gold_doc_count=2,SetR complete -> DBEC complete,612,2.0,2.302287581699346,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7369149369149369,0.7182040849673202,-0.018710851947616652,-0.037147001808558185,-0.0003172022911728884,True
2Wiki,gold_doc_count=2,SetR complete -> DBEC incomplete,29,2.0,2.896551724137931,0.0,1.0,0.39655172413793105,-0.603448275862069,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7047619047619048,0.23946206896551725,-0.4652998357963875,-0.6724189901477833,-0.24055651477832518,True
2Wiki,gold_doc_count=2,SetR incomplete -> DBEC complete,76,2.0,2.263157894736842,0.2894736842105263,0.4868421052631579,1.0,0.5131578947368421,0.0,1.0,1.0,1.0,1.0,1.0263157894736843,1.0263157894736843,0.2014985380116959,0.5726118421052632,0.3711133040935673,0.2700235745614035,0.47389250365497076,True
2Wiki,gold_doc_count=2,SetR incomplete -> DBEC incomplete,48,2.0,2.375,0.2708333333333333,0.4583333333333333,0.4791666666666667,0.020833333333333332,0.0,0.0,0.0,0.14583333333333334,0.08333333333333333,1.0833333333333333,0.14583333333333334,0.138510101010101,0.14214791666666668,0.0036378156565656586,-0.05871177241161617,0.05763724747474744,False
2Wiki,gold_doc_count>=4,SetR complete -> DBEC complete,73,4.0,4.178082191780822,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9315068493150684,0.9315068493150684,0.0,-0.0547945205479452,0.0547945205479452,False
2Wiki,gold_doc_count>=4,SetR complete -> DBEC incomplete,20,4.0,4.1,0.0,1.0,0.6875,-0.3125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.8,-0.15,-0.3,0.0,False
2Wiki,gold_doc_count>=4,SetR incomplete -> DBEC complete,102,4.0,2.9019607843137254,0.8431372549019608,0.6593137254901961,1.0,0.34068627450980393,0.0,1.0,1.0,1.0,1.0,1.3627450980392157,1.3627450980392157,0.6993464052287581,0.9705882352941176,0.2712418300653595,0.18954248366013074,0.3594771241830066,True
2Wiki,gold_doc_count>=4,SetR incomplete -> DBEC incomplete,40,4.0,2.875,0.9,0.59375,0.74375,0.15,0.0,0.0,0.0,0.7,0.175,1.625,0.775,0.5722222222222222,0.80002,0.22779777777777777,0.05277777777777778,0.4027977777777778,True
2Wiki,SetR count-underselected,SetR incomplete -> DBEC complete,108,3.5925925925925926,2.287037037037037,1.0,0.6157407407407407,1.0,0.38425925925925924,0.0,1.0,1.0,1.0,1.0,1.3333333333333333,1.3333333333333333,0.5903549382716049,0.8773916666666667,0.2870367283950617,0.2037030787037037,0.37345617283950616,True
2Wiki,SetR count-underselected,SetR incomplete -> DBEC incomplete,49,3.4693877551020407,2.0816326530612246,1.0,0.5612244897959183,0.6785714285714286,0.11734693877551021,0.0,0.0,0.0,0.5714285714285714,0.16326530612244897,1.489795918367347,0.6326530612244898,0.41099773242630383,0.6122612244897959,0.20126349206349206,0.06350839002267573,0.34410430839002265,True
2Wiki,gold_doc_count>=4 and SetR count-underselected,SetR incomplete -> DBEC complete,86,4.0,2.616279069767442,1.0,0.6453488372093024,1.0,0.3546511627906977,0.0,1.0,1.0,1.0,1.0,1.4186046511627908,1.4186046511627908,0.6782945736434108,0.9651162790697675,0.2868217054263566,0.1937984496124031,0.38372093023255816,True
2Wiki,gold_doc_count>=4 and SetR count-underselected,SetR incomplete -> DBEC incomplete,36,4.0,2.4722222222222223,1.0,0.5833333333333334,0.7430555555555556,0.1597222222222222,0.0,0.0,0.0,0.7222222222222222,0.16666666666666666,1.6666666666666667,0.8055555555555556,0.5246913580246914,0.8055777777777777,0.2808864197530864,0.08955061728395061,0.4722222222222222,True
HotpotQA,all,SetR complete -> DBEC complete,813,2.0,2.6998769987699878,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7884785586560917,0.7860154981549815,-0.0024630605011101534,-0.01915528529116656,0.0142554892138336,False
HotpotQA,all,SetR complete -> DBEC incomplete,44,2.0,2.9318181818181817,0.0,1.0,0.4772727272727273,-0.5227272727272727,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7455627705627705,0.35806363636363636,-0.3874991341991342,-0.5219689718614718,-0.25795406385281383,True
HotpotQA,all,SetR incomplete -> DBEC complete,117,2.0,2.675213675213675,0.2222222222222222,0.49572649572649574,1.0,0.5042735042735043,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5253961612935972,0.7303623931623932,0.20496623186879595,0.13093178812403175,0.2804595302015173,True
HotpotQA,all,SetR incomplete -> DBEC incomplete,26,2.0,3.9615384615384617,0.23076923076923078,0.4423076923076923,0.4423076923076923,0.0,0.0,0.0,0.0,0.3076923076923077,0.23076923076923078,1.1153846153846154,0.3076923076923077,0.3147812971342383,0.27179230769230767,-0.04298898944193061,-0.1795135331825038,0.08973974358974358,False
HotpotQA,SetR count-underselected,SetR incomplete -> DBEC complete,26,2.0,1.0,1.0,0.4807692307692308,1.0,0.5192307692307693,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5661735700197239,0.6921807692307692,0.12600719921104536,0.010626429980276134,0.26739950690335307,True
HotpotQA,SetR count-underselected,SetR incomplete -> DBEC incomplete,6,2.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,1.0,0.16666666666666666,0.3084967320261438,0.3444333333333333,0.03593660130718953,-0.4640633986928105,0.4999888888888888,False
MuSiQue,all,SetR complete -> DBEC complete,337,2.1543026706231454,3.364985163204748,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7282297661028678,0.706320178041543,-0.02190958806132484,-0.05475921289102473,0.010838188464577443,False
MuSiQue,all,SetR complete -> DBEC incomplete,70,2.4714285714285715,4.4,0.0,1.0,0.5345238095238095,-0.4654761904761905,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6889734075448362,0.26090857142857143,-0.42806483611626467,-0.5452122431457431,-0.3145967998866214,True
MuSiQue,all,SetR incomplete -> DBEC complete,190,2.442105263157895,3.1736842105263157,0.18421052631578946,0.500438596491228,1.0,0.49956140350877193,0.0,1.0,1.0,1.0,1.0,1.2052631578947368,1.2052631578947368,0.3067233643549433,0.5245331578947369,0.21780979353979354,0.15229211747463064,0.28549112621150774,True
MuSiQue,all,SetR incomplete -> DBEC incomplete,403,3.1885856079404467,3.913151364764268,0.23573200992555832,0.4857320099255583,0.521298593879239,0.035566583953680724,0.0,0.0,0.0,0.3920595533498759,0.10669975186104218,1.6401985111662531,0.44168734491315137,0.23506598120446273,0.24529354838709677,0.010227567182634055,-0.03019491078656542,0.049679440623867054,False
MuSiQue,gold_doc_count=2,SetR complete -> DBEC complete,286,2.0,3.104895104895105,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7288098659190803,0.7006622377622378,-0.028147628156842474,-0.06436671620406194,0.0070813494683820526,False
MuSiQue,gold_doc_count=2,SetR complete -> DBEC incomplete,43,2.0,4.093023255813954,0.0,1.0,0.45348837209302323,-0.5465116279069767,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6836001208094231,0.20380232558139535,-0.47979779522802773,-0.6198046479747643,-0.34150259555689794,True
MuSiQue,gold_doc_count=2,SetR incomplete -> DBEC complete,114,2.0,3.017543859649123,0.12280701754385964,0.4780701754385965,1.0,0.5219298245614035,0.0,1.0,1.0,1.0,1.0,1.043859649122807,1.043859649122807,0.3305802384749753,0.5804570175438597,0.2498767790688843,0.15985739766081875,0.34236627079061277,True
MuSiQue,gold_doc_count=2,SetR incomplete -> DBEC incomplete,75,2.0,3.3066666666666666,0.13333333333333333,0.4266666666666667,0.4666666666666667,0.04,0.0,0.0,0.0,0.24,0.09333333333333334,1.1466666666666667,0.24,0.1556068376068376,0.14470933333333333,-0.010897504273504277,-0.07804114554334554,0.05503920952380952,False
MuSiQue,gold_doc_count>=3,SetR complete -> DBEC complete,51,3.019607843137255,4.823529411764706,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7249766573295985,0.7380490196078431,0.013072362278244626,-0.06928179505135389,0.1006562091503268,False
MuSiQue,gold_doc_count>=3,SetR complete -> DBEC incomplete,27,3.2222222222222223,4.888888888888889,0.0,1.0,0.6635802469135802,-0.3364197530864198,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6975308641975309,0.35185555555555553,-0.34567530864197527,-0.5432086419753086,-0.14814444444444444,True
MuSiQue,gold_doc_count>=3,SetR incomplete -> DBEC complete,76,3.1052631578947367,3.4078947368421053,0.27631578947368424,0.5339912280701754,1.0,0.4660087719298246,0.0,1.0,1.0,1.0,1.0,1.4473684210526316,1.4473684210526316,0.2709380531748953,0.4406473684210526,0.16970931524615737,0.07606539242555692,0.2662015880281999,True
MuSiQue,gold_doc_count>=3,SetR incomplete -> DBEC incomplete,328,3.4603658536585367,4.051829268292683,0.25914634146341464,0.49923780487804875,0.5337906504065041,0.034552845528455285,0.0,0.0,0.0,0.4268292682926829,0.10975609756097561,1.7530487804878048,0.4878048780487805,0.2532349926978221,0.26829298780487804,0.015057995107055931,-0.031654188610996975,0.06289260273968963,False
MuSiQue,SetR count-underselected,SetR incomplete -> DBEC complete,35,2.6857142857142855,1.6857142857142857,1.0,0.4952380952380952,1.0,0.5047619047619047,0.0,1.0,1.0,1.0,1.0,1.3714285714285714,1.3714285714285714,0.3001779173207745,0.5045885714285714,0.204410654107797,0.04929862585034015,0.36156358712715847,True
MuSiQue,SetR count-underselected,SetR incomplete -> DBEC incomplete,95,3.357894736842105,2.263157894736842,1.0,0.43859649122807015,0.5210526315789473,0.08245614035087719,0.0,0.0,0.0,0.42105263157894735,0.05263157894736842,1.9052631578947368,0.4631578947368421,0.21157894736842106,0.24842105263157896,0.03684210526315789,-0.038948070175438596,0.11403509649122807,False
MuSiQue,gold_doc_count>=3 and SetR count-underselected,SetR incomplete -> DBEC complete,21,3.142857142857143,2.142857142857143,1.0,0.49206349206349204,1.0,0.507936507936508,0.0,1.0,1.0,1.0,1.0,1.619047619047619,1.619047619047619,0.26220129077271936,0.5756761904761905,0.31347489970347114,0.14285510204081633,0.523808843537415,True
MuSiQue,gold_doc_count>=3 and SetR count-underselected,SetR incomplete -> DBEC incomplete,85,3.5176470588235293,2.411764705882353,1.0,0.4372549019607843,0.5235294117647059,0.08627450980392157,0.0,0.0,0.0,0.4588235294117647,0.058823529411764705,2.0,0.5058823529411764,0.2188235294117647,0.24352941176470588,0.024705882352941178,-0.05725490196078431,0.10745099019607843,False
