rule,rule_description,dataset,n_high,n_low,high_share,mean_gold_doc_count_high,mean_gold_doc_count_low,under_select_rate_high,under_select_rate_low,under_select_high_minus_low,under_select_ci_low,under_select_ci_high,under_select_ci_excludes_zero,df1_high,df1_low,df1_high_minus_low,df1_ci_low,df1_ci_high,df1_ci_excludes_zero
requirement_count>=3,requirement_count >= 3,2Wiki,542,458,0.542,2.867158671586716,2.0,0.22693726937269373,0.07423580786026202,0.15270146151243172,0.11023380976167842,0.19618729757166564,True,0.04944903221010232,0.022732951861336143,0.02671608034876618,-0.016162870301916828,0.07027868590318408,False
requirement_count>=3,requirement_count >= 3,HotpotQA,370,630,0.37,2.0,2.0,0.024324324324324326,0.03650793650793651,-0.012183612183612184,-0.03299442299442299,0.00973830973830974,False,-0.011094094000069232,0.012564635065111254,-0.02365872906518049,-0.06135923566208274,0.013502117982197111,False
requirement_count>=3,requirement_count >= 3,MuSiQue,385,615,0.385,3.2155844155844155,2.292682926829268,0.18701298701298702,0.0943089430894309,0.09270404392355612,0.04821032625910675,0.13848643226692006,True,0.004259637377798288,0.010597626425861718,-0.00633798904806343,-0.06067798336787006,0.04882353360399506,False
requirement_count>=3,requirement_count >= 3,2Wiki+MuSiQue,927,1073,0.4635,3.011866235167206,2.167753960857409,0.21035598705501618,0.08574091332712022,0.12461507372789596,0.09372043620453395,0.15560522021854462,True,0.030681052695067743,0.015777476425346607,0.014903576269721133,-0.02035159959163433,0.04971357433215254,False
requirement_count>=3_and_mean_binding_candidates>=2,requirement_count >= 3 and binding_candidate_count_mean >= 2,2Wiki,76,924,0.076,2.9473684210526314,2.430735930735931,0.2894736842105263,0.1461038961038961,0.14336978810663023,0.04169514695830484,0.2506265664160401,True,0.09446390013495276,0.03250412445899459,0.06195977567595816,-0.06082508673311005,0.18239220926612365,False
requirement_count>=3_and_mean_binding_candidates>=2,requirement_count >= 3 and binding_candidate_count_mean >= 2,HotpotQA,108,892,0.108,2.0,2.0,0.027777777777777776,0.032511210762331835,-0.004733432984554059,-0.033632286995515695,0.031182527819299116,False,-0.03278704608149052,0.008242047407842434,-0.04102909348933296,-0.10375796848775021,0.01807621528039926,False
requirement_count>=3_and_mean_binding_candidates>=2,requirement_count >= 3 and binding_candidate_count_mean >= 2,MuSiQue,32,968,0.032,2.90625,2.6394628099173554,0.21875,0.12706611570247933,0.09168388429752067,-0.042613636363636354,0.24793388429752067,False,-0.02907301136363636,0.009388261369828161,-0.038461272733464516,-0.22368522120702208,0.14875018253458602,False
requirement_count>=3_and_mean_binding_candidates>=2,requirement_count >= 3 and binding_candidate_count_mean >= 2,2Wiki+MuSiQue,108,1892,0.054,2.935185185185185,2.537526427061311,0.26851851851851855,0.13636363636363635,0.1321548821548822,0.050407172500195746,0.218404980032887,True,0.057860370802037465,0.020677403808723394,0.037182966993314054,-0.06155757690559344,0.13769394749850286,False
requirement_count>=3_and_max_binding_candidates>=2,requirement_count >= 3 and binding_candidate_count_max >= 2,2Wiki,167,833,0.167,3.3652694610778444,2.290516206482593,0.3532934131736527,0.11764705882352941,0.2356463543501233,0.1590021637397474,0.31111845935979177,True,0.0692701410366081,0.030786259132357573,0.03848388190425052,-0.03167037091487888,0.11147874759510565,False
requirement_count>=3_and_max_binding_candidates>=2,requirement_count >= 3 and binding_candidate_count_max >= 2,HotpotQA,151,849,0.151,2.0,2.0,0.039735099337748346,0.030624263839811542,0.009110835497936804,-0.02135742088471829,0.04457913088245618,False,-0.02853428216591442,0.009563700727971204,-0.03809798289388562,-0.08641126804659455,0.00977296010975004,False
requirement_count>=3_and_max_binding_candidates>=2,requirement_count >= 3 and binding_candidate_count_max >= 2,MuSiQue,74,926,0.074,3.108108108108108,2.611231101511879,0.1891891891891892,0.12526997840172785,0.06391921078746135,-0.025801908820267356,0.16119899597221413,False,0.016184920934920934,0.007516000532584393,0.00866892040233655,-0.1015370192747276,0.11821418376962418,False
requirement_count>=3_and_max_binding_candidates>=2,requirement_count >= 3 and binding_candidate_count_max >= 2,2Wiki+MuSiQue,241,1759,0.1205,3.2863070539419086,2.459351904491188,0.3029045643153527,0.12166003411028994,0.18124453020506273,0.12161332707427598,0.24064414428228031,True,0.05297011494729337,0.0185359694999585,0.034434145447334856,-0.02669562980436008,0.09575793348181819,False
requirement_count>=3_and_dependent_req_count>=2,requirement_count >= 3 and dependent_req_count >= 2,2Wiki,305,695,0.305,3.5213114754098362,2.0086330935251797,0.39672131147540984,0.051798561151079135,0.34492275032433073,0.28837716711876404,0.4019341903526359,True,0.12393893592746051,-0.0008464863992921544,0.12478542232675267,0.0694796701919642,0.18111633356027546,True
requirement_count>=3_and_dependent_req_count>=2,requirement_count >= 3 and dependent_req_count >= 2,HotpotQA,188,812,0.188,2.0,2.0,0.047872340425531915,0.02832512315270936,0.019547217272822555,-0.011136149250602665,0.05431820563882192,False,-0.009491056374441855,0.006890669839149683,-0.01638172621359154,-0.0604890844637275,0.028498982601738967,False
requirement_count>=3_and_dependent_req_count>=2,requirement_count >= 3 and dependent_req_count >= 2,MuSiQue,345,655,0.345,3.2376811594202897,2.337404580152672,0.19710144927536233,0.09465648854961832,0.10244496072574401,0.05451930523287973,0.14975107865914372,True,0.017160087209918948,0.0034156802365423815,0.01374440697337657,-0.043695897475403346,0.07150268276688022,False
