rule,dataset,gold_slice,n_high,n_low,under_select_high_minus_low,df1_high_minus_low,df1_high,df1_low
requirement_count>=3_and_max_binding_candidates>=2,2Wiki,gold_doc_count=2,53,712,-0.04915730337078652,0.0044246056180998845,0.008607593245329085,0.004182987627229201
requirement_count>=3_and_max_binding_candidates>=2,2Wiki,gold_doc_count>=3,114,121,-0.003117297375670569,-0.08985491920802927,0.0974729044834308,0.18732782369146006
requirement_count>=3_and_max_binding_candidates>=2,2Wiki,gold_doc_count>=4,114,121,-0.003117297375670569,-0.08985491920802927,0.0974729044834308,0.18732782369146006
requirement_count>=3_and_max_binding_candidates>=2,HotpotQA,gold_doc_count=2,151,849,0.009110835497936804,-0.03809798289388562,-0.02853428216591442,0.009563700727971204
requirement_count>=3_and_max_binding_candidates>=2,MuSiQue,gold_doc_count=2,18,500,-0.048,-0.12106903084976026,-0.11881737891737891,0.0022516519323813418
requirement_count>=3_and_max_binding_candidates>=2,MuSiQue,gold_doc_count>=3,56,426,0.034037558685446,0.04588370387239647,0.059578517316017314,0.013694813443620838
requirement_count>=3_and_max_binding_candidates>=2,MuSiQue,gold_doc_count>=4,26,140,0.12032967032967035,-0.18202362209219353,-0.1346153846153846,0.047408237476808904
requirement_count>=3_and_dependent_req_count>=2,2Wiki,gold_doc_count=2,73,692,-0.035434317839892315,0.05595697367360206,0.055106817535584655,-0.0008501561380174094
requirement_count>=3_and_dependent_req_count>=2,2Wiki,gold_doc_count>=3,232,3,-0.14942528735632177,0.14559731800766285,0.14559731800766285,0.0
requirement_count>=3_and_dependent_req_count>=2,2Wiki,gold_doc_count>=4,232,3,-0.14942528735632177,0.14559731800766285,0.14559731800766285,0.0
requirement_count>=3_and_dependent_req_count>=2,HotpotQA,gold_doc_count=2,188,812,0.019547217272822555,-0.01638172621359154,-0.009491056374441855,0.006890669839149683
requirement_count>=3_and_dependent_req_count>=2,MuSiQue,gold_doc_count=2,46,472,-0.026989683124539428,0.002579170701601778,0.0003947523491001733,-0.0021844183525016048
requirement_count>=3_and_dependent_req_count>=2,MuSiQue,gold_doc_count>=3,299,183,0.010965513460167775,0.0018797191283516715,0.019739369496198762,0.01785965036784709
requirement_count>=3_and_dependent_req_count>=2,MuSiQue,gold_doc_count>=4,128,38,-0.07648026315789475,-0.19315553247465256,-0.025317813176406925,0.16783771929824562
requirement_count>=4,2Wiki,gold_doc_count=2,9,756,-0.046296296296296294,0.08290558396629824,0.08641975308641975,0.003514169120121501
requirement_count>=4,2Wiki,gold_doc_count>=3,233,2,0.01931330472102999,0.1449724368144969,0.1449724368144969,0.0
requirement_count>=4,2Wiki,gold_doc_count>=4,233,2,0.01931330472102999,0.1449724368144969,0.1449724368144969,0.0
requirement_count>=4,HotpotQA,gold_doc_count=2,74,926,-0.005370381180316387,-0.0281855334232107,-0.022288898638898637,0.005896634784312066
requirement_count>=4,MuSiQue,gold_doc_count=2,6,512,0.12174479166666666,-0.11043489980709649,-0.1111111111111111,-0.000676211304014615
requirement_count>=4,MuSiQue,gold_doc_count>=3,137,345,-0.011509573680313134,-0.009018923322852172,0.012570246784845326,0.021589170107697498
requirement_count>=4,MuSiQue,gold_doc_count>=4,78,88,-0.09877622377622375,-0.10628572551186188,-0.03744572649572649,0.06883999901613538
