dataset,gold_slice,risk_group,n,share_within_gold_slice,mean_requirement_count,mean_gold_doc_count,mean_setr_selected_count,setr_under_select_rate,delta_f1_dbec_minus_setr,delta_f1_ci_low,delta_f1_ci_high,delta_f1_ci_excludes_zero
2Wiki,gold_doc_count=2,low,458,0.5986928104575163,1.9737991266375545,2.0,2.2685589519650655,0.07423580786026202,0.022732951861336143,-0.005367156846671035,0.051159054510506466,False
2Wiki,gold_doc_count=2,high,307,0.4013071895424837,3.029315960912052,2.0,2.41042345276873,0.003257328990228013,-0.022727043387303976,-0.05990442873449387,0.014427264559544687,False
2Wiki,gold_doc_count>=3,high,235,1.0,3.991489361702128,4.0,3.3957446808510636,0.5191489361702127,0.14373862884160757,0.08794658156028368,0.1995272718676123,True
2Wiki,gold_doc_count>=4,high,235,1.0,3.991489361702128,4.0,3.3957446808510636,0.5191489361702127,0.14373862884160757,0.08747708747044917,0.1990577777777778,True
HotpotQA,gold_doc_count=2,low,630,0.63,1.8158730158730159,2.0,2.6746031746031744,0.03650793650793651,0.012564635065111253,-0.011445837607718563,0.03736301611483754,False
HotpotQA,gold_doc_count=2,high,370,0.37,3.2,2.0,2.8513513513513513,0.024324324324324326,-0.011094094000069235,-0.039554757724659426,0.01777855518580054,False
MuSiQue,gold_doc_count=2,low,466,0.8996138996138996,1.9356223175965666,2.0,3.1781115879828326,0.04935622317596566,0.0013639940006135417,-0.034794707568126845,0.03852540248938695,False
MuSiQue,gold_doc_count=2,high,52,0.10038610038610038,3.1153846153846154,2.0,3.3653846153846154,0.019230769230769232,-0.031702078050154965,-0.15384708333333336,0.09084969322344279,False
MuSiQue,gold_doc_count>=3,low,149,0.3091286307053942,1.9865771812080537,3.208053691275168,4.080536912751678,0.2348993288590604,0.039475966762543946,-0.02954120991797165,0.10824817939703846,False
MuSiQue,gold_doc_count>=3,high,333,0.6908713692946058,3.4114114114114114,3.4054054054054053,4.078078078078078,0.2132132132132132,0.009875280627809008,-0.03893060827493231,0.05633060335081749,False
MuSiQue,gold_doc_count>=4,low,31,0.18674698795180722,1.967741935483871,4.0,4.129032258064516,0.3548387096774194,0.19498494623655915,0.01577309139784946,0.3763451612903226,True
MuSiQue,gold_doc_count>=4,high,135,0.8132530120481928,3.577777777777778,4.0,4.562962962962963,0.26666666666666666,-0.021536148789482124,-0.09052079854096522,0.047101058361391675,False
