dataset,metric,n_high,n_low,delta_mean,ci_low,ci_high,p_delta_gt_0,ci_excludes_zero
2Wiki,SetR under-select rate: high - low,542,458,0.15270146151243172,0.11075750495496223,0.1958136611933805,1.0,True
2Wiki,DBEC-SetR dF1 interaction: high - low,542,458,0.02671608034876618,-0.016568271503305518,0.0706363569514593,0.8868,False
2Wiki,DBEC-SetR dR5_TITLE interaction: high - low,542,458,-0.005615623841827941,-0.032015904220177575,0.020184421276527177,0.3405,False
HotpotQA,SetR under-select rate: high - low,370,630,-0.012183612183612184,-0.03316173316173316,0.009441226941226896,0.1348,False
HotpotQA,DBEC-SetR dF1 interaction: high - low,370,630,-0.02365872906518049,-0.06105063169276217,0.013380069010054787,0.1076,False
HotpotQA,DBEC-SetR dR5_TITLE interaction: high - low,370,630,-0.030287430287430285,-0.05467771342771342,-0.005019305019305018,0.0082,True
MuSiQue,SetR under-select rate: high - low,385,615,0.09270404392355612,0.04884383908774152,0.13751504592968006,1.0,True
MuSiQue,DBEC-SetR dF1 interaction: high - low,385,615,-0.00633798904806343,-0.06270012779747589,0.04813988667008506,0.4046,False
MuSiQue,DBEC-SetR dR5_TITLE interaction: high - low,385,615,0.002057156935205723,-0.032956261218456344,0.03700247245978955,0.5413,False
2Wiki+MuSiQue,SetR under-select rate: high - low,927,1073,0.12461507372789596,0.0939592337566894,0.15644295953134252,1.0,True
2Wiki+MuSiQue,DBEC-SetR dF1 interaction: high - low,927,1073,0.014903576269721133,-0.01962003615595013,0.04996720894894429,0.8017,False
2Wiki+MuSiQue,DBEC-SetR dR5_TITLE interaction: high - low,927,1073,-0.006019494553140339,-0.027680568080635026,0.01646559725108437,0.298,False
