[START] setr_full1000 2026-05-03T23:26:54+08:00
[2026-05-03T23:26:54+08:00] SKIP export_2wikimultihopqa_dense_setr_k20_doc768
[2026-05-03T23:26:54+08:00] SKIP export_hotpotqa_dense_setr_k20_doc768
[2026-05-03T23:26:54+08:00] SKIP export_musique_dense_setr_k20_doc768
[2026-05-03T23:26:54+08:00] SKIP select_2wikimultihopqa_dense_setr_k20_doc768
[2026-05-03T23:26:54+08:00] SKIP select_hotpotqa_dense_setr_k20_doc768
[2026-05-03T23:26:54+08:00] START select_musique_dense_setr_k20_doc768
[2026-05-03T23:26:54+08:00] SKIP apply_2wikimultihopqa_dense_setr_k20_doc768
[2026-05-03T23:26:54+08:00] SKIP apply_hotpotqa_dense_setr_k20_doc768
[2026-05-03T23:26:54+08:00] START eval_2wikimultihopqa_dense_setr_k20_doc768
[2026-05-03T23:26:54+08:00] START eval_hotpotqa_dense_setr_k20_doc768
[2026-05-03T23:27:12+08:00] DONE select_musique_dense_setr_k20_doc768
[2026-05-03T23:27:12+08:00] START apply_musique_dense_setr_k20_doc768
[2026-05-03T23:27:14+08:00] DONE apply_musique_dense_setr_k20_doc768
[2026-05-03T23:27:14+08:00] START eval_musique_dense_setr_k20_doc768
[2026-05-03T23:29:15+08:00] DONE eval_2wikimultihopqa_dense_setr_k20_doc768
[2026-05-03T23:29:15+08:00] START export_2wikimultihopqa_dense_setr_k100_doc160
[2026-05-03T23:29:16+08:00] DONE export_2wikimultihopqa_dense_setr_k100_doc160
[2026-05-03T23:29:16+08:00] START select_2wikimultihopqa_dense_setr_k100_doc160
[2026-05-03T23:29:56+08:00] DONE eval_hotpotqa_dense_setr_k20_doc768
[2026-05-03T23:29:57+08:00] START export_hotpotqa_dense_setr_k100_doc160
[2026-05-03T23:29:59+08:00] DONE export_hotpotqa_dense_setr_k100_doc160
[2026-05-03T23:29:59+08:00] START select_hotpotqa_dense_setr_k100_doc160
[2026-05-03T23:34:51+08:00] DONE eval_musique_dense_setr_k20_doc768
[2026-05-03T23:34:51+08:00] START export_musique_dense_setr_k100_doc160
[2026-05-03T23:34:53+08:00] DONE export_musique_dense_setr_k100_doc160
[2026-05-03T23:34:53+08:00] START select_musique_dense_setr_k100_doc160
[2026-05-03T23:37:23+08:00] DONE select_2wikimultihopqa_dense_setr_k100_doc160
[2026-05-03T23:37:23+08:00] START apply_2wikimultihopqa_dense_setr_k100_doc160
[2026-05-03T23:37:25+08:00] DONE apply_2wikimultihopqa_dense_setr_k100_doc160
[2026-05-03T23:37:25+08:00] START eval_2wikimultihopqa_dense_setr_k100_doc160
[2026-05-03T23:40:03+08:00] DONE select_hotpotqa_dense_setr_k100_doc160
[2026-05-03T23:40:03+08:00] START apply_hotpotqa_dense_setr_k100_doc160
[2026-05-03T23:40:05+08:00] DONE apply_hotpotqa_dense_setr_k100_doc160
[2026-05-03T23:40:05+08:00] START eval_hotpotqa_dense_setr_k100_doc160
[2026-05-03T23:40:26+08:00] DONE eval_2wikimultihopqa_dense_setr_k100_doc160
[2026-05-03T23:40:26+08:00] START select_2wikimultihopqa_dense_setr_windowed_k50_doc768
[2026-05-03T23:44:28+08:00] DONE eval_hotpotqa_dense_setr_k100_doc160
[2026-05-03T23:44:28+08:00] START select_hotpotqa_dense_setr_windowed_k50_doc768
[2026-05-03T23:46:05+08:00] DONE select_musique_dense_setr_k100_doc160
[2026-05-03T23:46:05+08:00] START apply_musique_dense_setr_k100_doc160
[2026-05-03T23:46:06+08:00] DONE apply_musique_dense_setr_k100_doc160
[2026-05-03T23:46:06+08:00] START eval_musique_dense_setr_k100_doc160
[2026-05-03T23:53:29+08:00] DONE select_2wikimultihopqa_dense_setr_windowed_k50_doc768
[2026-05-03T23:53:29+08:00] START apply_2wikimultihopqa_dense_setr_windowed_k50_doc768
[2026-05-03T23:53:31+08:00] DONE apply_2wikimultihopqa_dense_setr_windowed_k50_doc768
[2026-05-03T23:53:31+08:00] START eval_2wikimultihopqa_dense_setr_windowed_k50_doc768
[2026-05-03T23:53:35+08:00] DONE eval_musique_dense_setr_k100_doc160
[2026-05-03T23:53:35+08:00] START select_musique_dense_setr_windowed_k50_doc768
[2026-05-03T23:56:22+08:00] DONE eval_2wikimultihopqa_dense_setr_windowed_k50_doc768
[2026-05-03T23:56:22+08:00] START export_2wikimultihopqa_hipporag_setr_k20_doc768
[2026-05-03T23:56:23+08:00] DONE export_2wikimultihopqa_hipporag_setr_k20_doc768
[2026-05-03T23:56:23+08:00] START select_2wikimultihopqa_hipporag_setr_k20_doc768
[2026-05-03T23:58:19+08:00] DONE select_hotpotqa_dense_setr_windowed_k50_doc768
[2026-05-03T23:58:19+08:00] START apply_hotpotqa_dense_setr_windowed_k50_doc768
[2026-05-03T23:58:21+08:00] DONE apply_hotpotqa_dense_setr_windowed_k50_doc768
[2026-05-03T23:58:21+08:00] START eval_hotpotqa_dense_setr_windowed_k50_doc768
[2026-05-04T00:00:19+08:00] DONE eval_hotpotqa_dense_setr_windowed_k50_doc768
[2026-05-04T00:00:19+08:00] START export_hotpotqa_hipporag_setr_k20_doc768
[2026-05-04T00:00:20+08:00] DONE export_hotpotqa_hipporag_setr_k20_doc768
